SMc02793,RL0001
pgl,pgl
zwf,zwf1
ordL,ordL
SMc00762,RL0755
SMc00763,RL0756
SMc00764,noHit
mcpZ,mcpZ
SMc00766,RL0759
SMc00767,RL0760
aceA,aceA
SMc00769,RL0762
potF,RL0763
potG,RL0764
potH,RL0765
potI,RL0766
SMc00838,RL0767
acsA2,acsA1
fbpB,noHit
cbrA,noHit
SMc00777,RL0770
SMc00778,RL0975
SMc00779,noHit
SMc00780,RL0774
mmsA,iolA
SMc00782,noHit
SMc00783,noHit
fbpA,noHit
rirA,rirA
dppA1,dppA
dppB1,dppB
dppC1,dppC
dppD1,dppD
dppF1,dppF
SMc00791,RL3339
SMc00792,noHit
SMc00793,RL1364
SMc00794,noHit
SMc00795,noHit
SMc00796,pRL90066
SMc00797,RL0784
SMc00798,noHit
SMc00799,RL4097
SMc00800,noHit
SMc00801,noHit
SMc00802,noHit
SMc00803,RL3127
SMc00804,RL3126
SMc00805,RL3125
SMc00806,noHit
SMc00807,noHit
chrA,chrA
SMc00809,noHit
ppx,RL0842
ftsJ,RL0843
SMc00812,RL0844
SMc00813,RL0845
SMc00814,RL0846
SMc00815,guaB
SMc00816,RL0849
dlhH,pRL110484
oxyR,oxyR
katA,noHit
SMc00820,RL0851
SMc00821,RL0852
SMc00822,noHit
SMc00823,noHit
SMc00824,RL0853
gsh1,RL0855
SMc00826,RL0856
pit2,pit1
SMc00828,RL0858
SMc00829,noHit
SMc00830,pRL120684
SMc00831,RL0863
glcD,glcD
glcE,glcE
glcF,glcF
SMc00925,RL0869
SMc00924,RL0870
tag,tag
SMc00922,noHit
SMc00921,RL0875
SMc00931,RL0882
hisS,RL0877
hisZ,hisZ
hisG,hisG
gst11,RL0881
SMc00915,noHit
SMc00914,RL1498
groEL1,groLch1
groES1,groSch1
SMc00911,chrB
SMc00910,RL0885
ribF,ribF
ileS,ileS
SMc00907,RL0890
SMc00906,noHit
tadA,RL0891
SMc00904,RL0892
SMc00902,RL0893
SMc00930,RL0894
SMc00900,pRL100005
SMc00899,pRL100006
kefB1,RL0898
pmbA,RL0899
SMc00896,RL0900
SMc00895,noHit
kdtA,RL0902
SMc00893,gph
lpxK,lpxK
TRm11b,noHit
TRm11a,noHit
SMc00933,noHit
mutL,mutL
SMc00888,RL0911
SMc00887,RL0912
SMc00929,pRL120539
SMc00886,noHit
SMc00885,noHit
ilvD1,noHit
SMc00883,RL0914
dgoA,dgoA
dgoK1,dgoK
fabG2,RL0917
SMc00879,RL0918
SMc00878,noHit
SMc00877,RL0919
SMc00876,RL0920
corA2,RL0921
kup1,kup1
SMc00928,RL0923
atpI,atpI
atpB,atpB
atpE,atpE
atpF2,atpG2
atpF,atpF
rnhB,RL0930
SMc00866,RL0931
SMc00865,RL0932
SMc00864,noHit
moaB,moaB
ispE,RL0935
SMc00861,RL0936
ispB,ispB
SMc00859,RL0938
SMc00858,RL0939
sohB,RL0941
SMc00856,RL0942
glyQ,glyQ
SMc00854,noHit
SMc00853,RL0944
SMc00852,RL0946
glyS,glyS
SMc00850,RL0950
SMc00849,RL0948
purD,purD
SMc00992,noHit
SMc00991,noHit
fsr,pRL90305
SMc00994,noHit
SMc00989,RL0955
ubiA,RL0956
SMc00987,RL0957
SMc00986,pRL120067
pdxR,RL0959
SMc00984,RL0960
SMc00983,RL0961
SMc00982,RL0962
SMc00981,pRL120537
SMc00980,noHit
SMc00979,noHit
SMc00978,RL0964
SMc00977,RL0965
SMc00976,RL0966
mcpU,noHit
SMc00974,rumA
SMc00973,RL0970
dxs,dxs
SMc00971,RL0974
xseB,xseB
SMc00969,RL0977
SMc00968,pRL120366
SMc00967,RL0978
SMc00966,pRL120369
SMc00965,pRL120368
bioB,bioY
bioN,RL1003
bioM,RL1004
SMc00961,RL1005
tldD,tldD
SMc00068,RL1016
SMc00001,RL1015
pdxH,pdxH
SMc00002,RL1013
SMc00003,cbpA
fabI1,fabI2
gpmB,gpmB2
SMc00070,RL1009
aroC,aroC
ribA,ribA
ialB,RL1020
ctaC,ctaC
ctaD,ctaD
ctaB,ctaB
SMc00130,coxF
ctaG,ctaG
ctaE,ctaE
SMc00014,RL1028
surf1,RL1029
ispH,ispH
thrB,thrB
rnhA1,rnhA1
SMc00072,RL1037
SMc00073,RL1036
SMc00019,RL1035
SMc00074,RL1059
rimJ,RL1060
SMc00451,RL1061
thrC1,thrC
SMc00020,RL1063
SMc00078,braC3
SMc00079,RL1064
SMc00080,RL1072
ccrM,RL1075
SMc00081,RL1077
mutY,mutY
SMc00022,RL1079
SMc00023,RL1083
smc,smc
ppdK,ppdK
SMc00083,noHit
SMc00084,RL1089
SMc00026,RL1090
SMc00087,RL1093
SMc00027,noHit
SMc00028,noHit
SMc00088,RL1109
SMc00029,noHit
SMc00089,RL0620
cysN,cysN
cysD,cysD
cysH,RL1262
SMc00030,RL1266
SMc00031,RL1267
betA,betA
betB,betB
betC,betC
betI,RL1272
SMc00032,RL1273
SMc00033,RL1275
SMc00034,RL1276
SMc00096,noHit
SMc00035,ansA
gst1,gstB
lsrA,RL1287
gst2,gst2b
SMc00038,RL1290
SMc00039,noHit
SMc00098,RL1301A
SMc00040,RL1302
phnA,RL2487
SMc00100,RL1311
SMc00041,RL1312
dkgB,pRL120107
tam,tam
dhe,noHit
SMc00104,noHit
SMc00105,RL1325
ilvE2,ilvE
SMc00106,noHit
sodB,sodA
SMc00107,RL1344
SMc00044,RL1345
cycF,cycP
cycG,cycG
SMc00108,RL1349
SMc00109,RL4263
bla,RL1352
gcd,gcd
SMc00453,RL1355
SMc00112,noHit
SMc00454,noHit
ptrB,ptrB
SMc00115,RL1365
SMc00048,uspF
SMc00049,RL1870
SMc00455,RL1367
SMc00116,noHit
msrB1,msrB1
phaA2,RL1372
phaB2,mrpB
phaC2,mrpC
phaD2,mrpD
phaE2,mrpE
phaF2,mrpF
phaG2,mrpG
mucR,rosR
SMc00118,RL1380
SMc00456,noHit
SMc00059,RL1382
SMc00060,RL1383
SMc00061,RL1387
SMc00120,RL1388
SMc00062,noHit
SMc00063,RL2491
SMc00128,RL1391
SMc00457,RL1392
pbp,pbpF
SMc00064,RL1394
SMc00123,noHit
SMc00065,RL1432
feuP,feuP
feuQ,feuQ
lipA,lipA
cycH,cycH
cycJ,cycJ
cycK,ccmF
cycL,ccmH
degP1,degP1
ragA,RL1441
SMc02367,RL1442
glnE,glnE
SMc02369,RL1445
pepN,pepN
SMc02371,RL1448
SMc02372,noHit
SMc02373,noHit
SMc02374,noHit
SMc02375,RL1451
SMc02376,RL1452
etf,RL1457
SMc02378,noHit
SMc02379,qatW3
SMc02380,RL1462
SMc02381,RL1463
SMc02382,RL1465
SMc02383,RL1468
SMc02384,RL1470
SMc02385,RL1472
amn,amn
SMc02387,RL1530
SMc02388,noHit
SMc02389,noHit
gst7,RL2005
SMc02391,RL1479
SMc02392,RL1480
hisC4,hisC3
SMc02394,noHit
SMc02461,noHit
SMc02396,ropA2
SMc02397,noHit
TRm11a,noHit
TRm11b,noHit
SMc02400,noHit
SMc02401,noHit
SMc02403,RL1501
dapA1,mosA
smpB,RL1503
SMc02406,noHit
SMc02422,noHit
SMc02407,RL1504
rpoZ,RL1505
relA,relA
SMc02658,RL3987
SMc02657,RL3988
SMc02656,RL1507
SMc02655,RL1508
acpS,acpS
lepB,sipS
rnc,rnc
era,RL1512
arsH,arsH
arsC,arsC2
aqpS,RL2886
arsR,noHit
SMc02646,RL1291
cfa2,cfa2
SMc02644,RL0952
SMc02642,RL0933
rkpK,rkpK
lpsL,lspL
SMc02639,RL4000
SMc02638,RL3999
SMc02637,noHit
SMc02636,noHit
recO,recO
SMc02634,noHit
SMc02633,noHit
SMc02632,RL1518
SMc02631,RL1517
SMc02603,noHit
nadA,nadA
nadB,nadB
nadC,nadC
sodC,sodC
SMc02661,bltD
SMc02571,noHit
SMc02660,noHit
SMc02565,pRL110618
SMc02561,RL1523
SMc02559,RL1524
SMc02558,RL1525
SMc02557,RL1526
SMc02556,RL1527
SMc02555,RL1528
SMc02554,RL1529
SMc02553,RL1531
SMc02552,noHit
cysS,cysS
SMc02550,RL1542
SMc02549,RL1540
SMc02548,RL1541
pip1,pip1
leuA2,leuA2
SMc02545,RL1537
SMc02544,RL1536
SMc02543,noHit
SMc00550,RL1534
psd,psd
pssA,RL1532
SMc00553,RL1545
purF,purF
cvpA,cvpA
radA,radA
alr,RL1550
SMc00558,RL3265
SMc00559,noHit
SMc00560,noHit
dnaB,dnaC
SMc00562,RL3785
SMc00563,noHit
SMc00564,noHit
rplI,rplI
SMc00566,RL1553
rpsR,rpsR
rpsF,rpsF
SMc00569,pRL110328
SMc00570,RL1556
fabD,fabD
fabG,fabG
acpP,acpP
fabF,fabF1
SMc00575,pabC
SMc00576,RL1562
gmk,gmk
SMc00578,noHit
ksgA,ksgA
pdxA1,pdxA1
SMc00581,RL1566
SMc00582,RL1567
SMc00583,RL1568
SMc00584,RL1569
pepA,pepA
SMc00586,RL1572
gal,RL1574
SMc00589,RL3770
SMc00590,RL1576
SMc00591,noHit
SMc00592,noHit
SMc00593,dinB
ligE,RL1579
ndk,ndk
SMc00596,RL1581
SMc00597,RL1582
SMc00598,RL1583
moaE,moaE
moaD,moaD
pgsA,pgsA
uvrC,uvrC
SMc00603,RL1588
ropB1,RL1589
SMc00605,RL1590
SMc00606,noHit
SMc00607,noHit
SMc00608,RL1591
dmsA,RL1592
SMc00610,nudF
SMc00611,lpiA
SMc00612,noHit
acvB,noHit
purN,purN
purM,purM
perM,RL1597
SMc00617,RL1598
ppk,ppk
ppx,ppx
SMc00620,RL1601
cyaB,cyaA1
rnd,rnd
SMc01754,cumA
SMc01755,noHit
aspS,aspS
SMc01757,noHit
groEL4,noHit
SMc01759,noHit
SMc01760,RL1608
parC,parC
SMc01762,noHit
SMc01763,RL1613A
ate,RL1614
SMc01765,RL1615
hemB,hemB
SMc01767,RL1617
SMc01768,RL1618
SMc01769,RL1618A
glyA1,glyA
nrdR,noHit
ribD,ribG
ribE,ribC
SMc01774,RL1631
SMc01775,noHit
SMc01776,RL1630
ribH1,ribH1
nusB,nusB
SMc01779,noHit
hppA,hppA
SMc01781,RL1635
SMc01782,RL1636
SMc01783,RL1637
plsX,plsX
fabH,fabH
himA,ihfA
SMc01787,RL1641
SMc01788,noHit
SMc01789,noHit
SMc01902,noHit
SMc01790,noHit
SMc01791,RL1660
SMc01792,gmsA
SMc01793,RL1662
SMc01794,RL1663
SMc01795,exoP2
SMc01796,RL1665
SMc01797,noHit
SMc01798,RL3582
SMc01799,noHit
SMc01800,cox15
argC,argC
speB,speB1
rpsI,rpsI
rplM,rplM
SMc01805,noHit
SMc01806,RL1675
SMc01807,RL1676
SMc01808,RL1678
SMc01809,RL1679
SMc01810,RL1680
TRm20N,noHit
TRm20C,noHit
SMc01812,RL1686
SMc01813,pRL110314
SMc04448,noHit
clpP1,clpP1
clpX,clpX
lon,lon
hupB,hupA
SMc01907,RL1693
SMc01908,noHit
SMc01909,noHit
SMc01910,noHit
SMc01911,RL1695
nuoA1,nqo1
nuoB1,nqo6
nuoC1,nqo5
nuoD1,nqo4
SMc01916,noHit
nuoE1,nqo2
nuoF1,nqo1
SMc01919,RL1706
nuoG1,nqo3
nuoH,nuoH
nuoI,nuoI
nuoJ,nqo10
nuoK1,nuoK
nuoL,nqo14
nuoM,nuoM
nuoN,nuoN
birA,birA
SMc01929,RL1716
SMc01930,RL1717
SMc01931,RL1718
SMc01932,noHit
SMc01933,noHit
proS,proS
SMc01935,RL1720
SMc01376,RL1721
dnaE1,dnaE3
SMc01374,RL1724
dinB1,RL1725
SMc01372,RL1728
divK,RL1729
pleD,RL1730
rpmG,rpmG
SMc01368,RL1732
SMc01367,noHit
SMc01366,RL1733
rnr,rnr
topA,topA
smf,smf
SMc01362,RL1737
SMc01361,pyrC2
pyrB,pyrB
aidB,RL1740
SMc01358,noHit
SMc01357,RL2071
SMc01356,RL2072
SMc01355,ruvX
SMc01354,RL2074
gatC,gatC
gatA,gatA
SMc01351,RL2079
gatB,gatB
SMc01349,RL2083
SMc01348,RL2085
SMc01347,RL2086
aat,RL2087
accC,accC1
accB,accB1
aroQ,RL2090
SMc01342,RL2091
SMc01341,noHit
SMc01340,aspB
TRm11a,noHit
TRm11b,noHit
SMc01337,RL3000
rne,RL1741
amiC,RL1742
mrcA1,RL1743
prfB,prfB
SMc01332,RL1754
ppnK,ppnK
SMc04435,noHit
SMc01330,RL2774
azoR,acpD
SMc01328,noHit
SMc01327,rlmB
tufB,tufB1
SMc01325,RL4371
SMc01324,RL1758
secE,secE
nusG,nusG
rplK,rplK
rplA,rplA
rplJ,rplJ
rplL,rplL
rpoB,rpoB
rpoC,rpoC
SMc01315,RL1768
rpsL,rpsL
rpsG,rpsG
fusA1,fus
tufA,noHit
rpsJ,rpsJ
rplC,rplC
rplD,rplD
rplW,rplW
rplB,rplB
rpsS,rpsS
rplV,rplV
rpsC,rpsC
rplP,rplP
rpmC,rpmC
rpsQ,rpsQ
rplN,rplN
rplX,rplX
rplE,rplE
rpsN,rpsN
rpsH,rpsH
rplF,rplF
rplR,rplR
rpsE,rpsE
rpmD,rpmD
rplO,rplO
secY,secY
adk,adk1
rpsM,rpsM
rpsK,rpsK
rpoA,rpoA
rplQ,rplQ
SMc01282,RL1801
SMc01281,RL1802
degP3,degQ
SMc01279,RL1807
sugE,RL2561
SMc01277,RL2565
gph2,RL2566
rluC,rluC
crcB,RL2568
SMc01273,esd
SMc01272,RL4202
SMc01271,RL2560
adhC1,adhI
SMc01269,noHit
lipB,lipB
SMc01267,prkA
SMc01266,RL3273
SMc01265,RL3272
SMc01264,noHit
SMc01263,noHit
def2,def2
SMc01261,RL2551
SMc01260,RL2550
SMc01259,noHit
SMc01258,RL2549
SMc01257,RL2548
sda,sdaA
SMc00995,RL2543
SMc01068,RL2542
SMc00996,RL2541
SMc00997,RL2540
SMc00998,RL2539
SMc00999,RL2537
SMc01000,RL2536
SMc01001,RL2535
SMc01002,RL2534
SMc01003,RL2533
hisI,hisI
folE,folE
