SMc02793,mlr4488
dapB,mlr4642
gpmA,mlr4643
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
SMc02841,mlr3180
SMc02842,mlr3177
nth,mll3176
SMc02844,mlr2419
SMc02845,mll2418
SMc02846,mll5335
SMc02847,noHit
SMc02848,mll5573
gyaR,mlr5574
polA,mlr3298
SMc02851,mll5152
SMc02852,mll3297
SMc02853,mll8344
SMc02854,noHit
SMc02855,noHit
SMc02856,mll3238
dnaK,mll4757
dnaJ,mll4755
SMc02859,mlr8147
SMc02860,mlr8146
pit,mlr8370
SMc02862,mlr8369
recF,mll5578
moeB,mll5577
SMc02865,mll5576
SMc02866,noHit
SMc02867,noHit
SMc02868,noHit
SMc02869,mlr4779
SMc02870,mlr4777
SMc02871,mlr4774
SMc02872,mlr4772
SMc02873,mlr4771
SMc02874,mlr4770
SMc02875,mll4769
SMc02876,mll4768
SMc02877,mll4767
nagA,mll4766
cutC,mlr1122
SMc02880,noHit
SMc02881,noHit
SMc02882,mlr5338
SMc02883,msl3152
SMc02884,mlr3148
msrA1,noHit
SMc02886,mlr3146
SMc02887,noHit
SMc02888,noHit
SMc02889,noHit
SMc02890,noHit
SMc02891,noHit
SMc02892,mlr1142
SMc02893,mll1141
SMc02894,noHit
SMc02895,mll1169
ilvE1,noHit
SMc02897,mll5495
kdsB,mlr5497
pheA,mlr5498
SMc02900,noHit
SMc02901,mll3207
SMc02902,mll3208
SMc02903,mll5500
SMc02904,noHit
dnaX,mlr5503
SMc02906,mlr5504
SMc02907,mll4109
recR,mlr5510
mltB1,mlr5511
SMc02910,mlr2945
SMc02911,mlr5550
nusA,mlr5551
SMc02913,mlr5553
infB,mlr5554
rbfA,mlr5557
truB,mlr5558
SMc00322,noHit
rpsO,msr5561
pnp,mlr5562
rsmC,mlr5563
fabI2,mll5565
fabB,mll5566
fabA,mll5569
irr,mlr5570
SMc00330,mll3219
SMc00331,mll0674
SMc00332,mlr5215
aroA,mll5213
cmk,mll5212
rpsA,mll5210
SMc00336,noHit
SMc00337,noHit
SMc00338,noHit
cyaA,noHit
SMc00340,mlr2095
SMc00341,noHit
rnd2,mll3296
TRm20,noHit
SMc00344,noHit
SMc00345,mll3944
SMc00346,noHit
rnk,mll3994
SMc00348,msr3871
lepA,mlr4536
SMc00350,mll4007
SMc00351,mll1444
SMc00352,mlr4804
exoD,noHit
SMc00354,mlr0220
kamA,mll1971
genX,mlr8260
efp,mll8261
cfa1,noHit
SMc00359,mlr4601
SMc00360,mll4550
SMc00361,mlr5063
infC,mll5061
rpmI,msl5059
rplT,mll5057
pheS,mll5055
pheT,mll5053
SMc00367,noHit
SMc00368,noHit
SMc00369,noHit
SMc00370,mll5050
SMc00371,mlr3134
SMc00372,mlr3115
SMc00373,noHit
SMc00374,mll3531
SMc00375,mll5047
SMc00376,noHit
SMc00377,mll7704
xseA,mll6896
SMc00379,mll1288
pecS,mlr3448
pecM,noHit
SMc00382,mll7396
gst3,mlr1410
SMc00384,mll1407
SMc00385,noHit
SMc00386,mlr7393
tatA,mll0405
SMc00388,mlr2771
SMc00389,noHit
SMc00390,noHit
SMc00391,noHit
SMc00392,noHit
SMc00393,noHit
guaA,mlr6950
pfs,mlr6947
SMc00396,mlr6946
SMc00397,noHit
SMc00460,mlr5529
corA1,mlr2697
SMc00400,mlr5528
SMc00401,mlr5527
SMc00402,mlr5523
sun2,mlr6944
SMc00404,mll4553
SMc00405,mlr4637
SMc00406,mlr4636
gst4,mlr4635
SMc00408,mll4634
SMc00409,noHit
SMc00410,mll5193
SMc00411,msl4750
pyrF,mll4751
SMc00413,mlr7505
pmtA,mll4753
dnaN,mll5580
SMc00416,mlr4632
SMc00418,mlr4633
gshB1,mll4735
SMc00420,noHit
cysK1,mll4616
SMc00422,mll4618
SMc00423,mll8240
SMc00424,mlr3911
SMc00425,mll3910
dnaS,mll5345
prfC,mlr5356
SMc00428,noHit
SMc00429,noHit
SMc00430,mll1234
SMc00431,mll4859
iolB,mll4976
iolE,mlr2437
iolD,mll4981
iolC,mll4982
SMc01164,mll4983
SMc01163,mlr4984
SMc01162,mlr5349
coaBC,mlr3167
SMc01160,noHit
SMc01159,noHit
SMc01158,noHit
SMc01157,mlr0808
aarF,mlr3166
ubiE,mlr3165
mutM,mll5585
SMc01153,mll5584
rpsT,mll5582
dnaA,mll5581
SMc01151,mll2871
SMc01150,mll2869
SMc01149,mlr0110
SMc01148,noHit
SMc01147,mlr4627
SMc01146,mlr4626
SMc01145,mlr4624
rph,mlr4622
hrcA,mll4621
grpE,mll3220
ptsN,mll3194
SMc01140,mll3195
rpoN,mll3196
SMc01138,mll3197
SMc01137,mll3198
SMc01136,mll3200
SMc01135,mlr3201
ihfB,msr3202
SMc01133,mlr3203
SMc01132,mll5403
SMc01131,mlr3209
SMc01130,mlr3210
lspA,mlr3211
SMc01128,mlr3215
olsB,mlr3216
tme,mlr5329
mutS,mll5328
glnD,mll5321
mviN,mll5320
SMc01122,mll3737
trpS,mll5317
SMc01120,mll5316
SMc01119,mll5315
SMc01118,mlr5530
rimI,mlr5531
plsC,mlr5533
miaB,mlr5534
phoH,mlr5535
SMc01113,mlr5536
tlyC,mlr5537
lnt,mlr5543
phrR,mlr5544
metK,mlr5545
trmB,mlr5547
SMc01107,msr3193
SMc01106,mlr3192
iunH,mll3190
mcpX,noHit
rbsK,mlr3185
SMc01102,mlr4857
def1,mll4855
fmt,mll4854
truA,mll4852
TRm19C,noHit
TRm19N,noHit
SMc01097,noHit
dapE,mlr4849
mexF1,noHit
mexE1,noHit
SMc01093,noHit
SMc01092,noHit
SMc01091,noHit
deaD,mlr4393
SMc01089,mlr4846
dapD,mlr4843
SMc01731,mll4842
SMc01730,mlr4841
SMc01729,noHit
ada,mlr1858
SMc01727,mll2772
argB,mlr4826
SMc01725,mll4823
msrB3,mll4820
SMc01723,noHit
SMc01722,mlr4815
SMc01721,mlr4812
rnpA,mlr4810
rpmH,msr4809
mcpT,noHit
SMc01718,noHit
merA1,mll5241
SMc01716,mll4807
SMc01715,noHit
SMc01714,mll1058
SMc01713,noHit
lldD,mll2703
SMc01711,noHit
SMc01710,noHit
SMc01709,noHit
SMc01708,noHit
SMc01707,mll2847
SMc01706,mll2846
SMc01705,mlr1045
SMc01704,mll0909
SMc01703,mll0975
SMc01702,noHit
SMc01701,noHit
putA,mll1160
SMc02180,noHit
SMc02179,mll3631
SMc02178,noHit
SMc02177,noHit
cyaD1,noHit
SMc02175,noHit
SMc02174,mll8170
frcS,mll7581
frcR,mll7583
frcB,mlr7582
frcC,mlr7584
frcA,mlr7585
frcK,mll4957
pyrC,noHit
pyrE,mll5916
frk,mll7580
pgi,mlr5411
fadD,mll5415
SMc02161,noHit
SMc02160,mlr8361
SMc02159,noHit
SMc02158,noHit
cdsA2,noHit
SMc02156,noHit
int,mlr5460
SMc02202,noHit
SMc02201,msr5461
SMc02189,noHit
SMc02200,noHit
SMc02184,msr6108
SMc02199,noHit
SMc02203,noHit
SMc02155,noHit
SMc02154,noHit
SMc04429,noHit
SMc02153,noHit
SMc02152,noHit
SMc02151,noHit
SMc02150,noHit
SMc02149,noHit
SMc02148,mll5641
phoR,mlr5642
pstS,noHit
SMc02145,noHit
SMc02144,mll3722
pstA,noHit
pstB,mll3719
phoU,mlr5643
phoB,mll3716
SMc02139,mll5645
argD,mlr5646
argF1,mlr5647
hslO,mlr5648
apaG,mll5649
SMc02134,noHit
metZ,mll5651
SMc02218,mlr5652
SMc02219,mll5636
SMc02220,noHit
SMc02221,mlr5635
SMc02222,mlr5633
SMc02223,mlr5631
chaA,noHit
SMc02225,mlr3777
SMc02226,mll3558
fadB,mlr5629
fadA,mlr5628
SMc02229,mlr5624
SMc02230,mll5622
SMc02231,noHit
SMc02232,mll5620
SMc02234,mll5621
SMc02235,msl0718
SMc02236,mlr5611
SMc02237,mlr5610
SMc02238,mll1642
SMc02239,mll1641
SMc02240,noHit
SMc02241,mlr5485
SMc02242,mlr5678
SMc02243,mll8234
dinF,mlr5680
pyrD,mll5681
SMc02246,mll5682
SMc02247,mlr5683
SMc02248,mlr5684
SMc02249,mll5691
mscL,mlr4713
SMc02251,mlr5693
galE,mlr5697
pchB,noHit
qxtB,mlr4525
qxtA,mlr4524
hipO2,noHit
SMc02257,mll5199
SMc02258,mll5200
SMc02259,mll5202
SMc02260,mll5204
SMc02261,mlr5206
aspC,mlr1282
ilvB1,mlr5207
SMc02264,noHit
secD2,noHit
SMc02266,noHit
SMc02267,noHit
kpsF3,noHit
rkpJ,noHit
rkpI,noHit
rkpH,noHit
rkpG,noHit
wcbR,noHit
rkpU,noHit
pncA,mlr4882
pncB,mll4892
SMc02277,noHit
SMc02278,noHit
SMc02279,noHit
SMc02280,noHit
SMc02281,noHit
SMc02282,noHit
SMc02283,noHit
SMc02284,noHit
cyaE1,mlr4588
SMc02326,noHit
rnhA2,noHit
SMc02328,noHit
SMc02286,noHit
SMc02287,mlr9265
TRm11b,noHit
TRm11a,mll6383
hsdR,noHit
hsdS,noHit
hsdM,noHit
SMc02297,noHit
TRm1a,noHit
TRm1b,noHit
TRm30.4,mlr6049
TRm30.3,noHit
TRm30.2,mlr6048
TRm30.1,noHit
SMc02303,noHit
SMc02304,noHit
murA,mll6459
SMc02306,noHit
hisD1,mll6456
SMc02308,mll6455
SMc02309,mll6454
infA,msl6453
maf,mll6452
SMc02312,msl6451
SMc04431,noHit
SMc04432,noHit
SMc02313,noHit
SMc02314,noHit
SMc02315,noHit
SMc02316,noHit
SMc02317,mlr0495
SMc02318,mlr8433
SMc02319,noHit
SMc02320,msl3293
rhaI,mlr5709
rhaD,mlr5708
rhaR,mll5707
rhaS,mll5706
rhaT,mll5705
rhaP,mll5704
rhaQ,mll5703
rhaU,mll5702
rhaK,mll5701
icpA,noHit
SMc03005,noHit
cheY1,noHit
cheA,noHit
cheW1,noHit
cheR,noHit
cheB,noHit
cheY2,noHit
cheD,noHit
SMc03013,noHit
fliF,mlr2928
visN,mlr2896
visR,mlr2897
SMc03017,mll2898
flhB,mll2899
fliG,mll2901
fliN,noHit
fliM,mll2904
motA,mll2905
SMc03023,mlr2906
flgF,mlr2907
fliI,mlr2909
SMc03026,noHit
flgB,mlr2911
flgC,mlr2912
fliE,mlr2913
flgG,mlr2915
flgA,mlr2917
flgI,mlr2918
motE,mlr2920
flgH,mlr2921
fliL,mlr2923
fliP,mlr2924
flaA,noHit
flaB,noHit
flaD,noHit
flaC,mlr2925
SMc03041,noHit
motB,mlr2931
motC,noHit
fliK,noHit
SMc03045,mlr2934
rem,mlr2935
flgE,mlr2937
flgK,mlr2938
flgL,mlr2939
flaF,mlr2940
flbT,mlr2941
flgD,mlr2942
fliQ,msr2943
flhA,mlr2957
fliR,mlr2958
SMc03056,noHit
SMc03071,mlr2964
SMc03072,mlr2965
SMc03057,mlr2967
SMc03058,mll6500
folD2,mlr6508
aglR,mlr5115
aglE,mll5113
aglF,mll5112
aglG,mll5110
aglA,mll5109
aglK,mll5107
SMc03066,noHit
TRm22,noHit
edd,mll6512
pgl,mll6514
zwf,mll6516
ordL,mll6520
SMc00762,mll6521
SMc00763,noHit
SMc00764,noHit
mcpZ,noHit
SMc00766,noHit
SMc00767,msl6526
aceA,mll6527
SMc00769,mlr6529
potF,mlr6533
potG,mlr6534
potH,mlr6536
potI,mlr6537
SMc00838,noHit
acsA2,mlr6539
fbpB,noHit
cbrA,noHit
SMc00777,mlr6541
SMc00778,mlr4172
SMc00779,mlr8207
SMc00780,mlr3988
mmsA,mll3987
SMc00782,noHit
SMc00783,noHit
fbpA,noHit
rirA,mlr1147
dppA1,mlr5416
dppB1,mlr5417
dppC1,mlr5418
dppD1,mlr5419
dppF1,mlr5420
SMc00791,mlr8316
SMc00792,noHit
SMc00793,noHit
SMc00794,noHit
SMc00795,mlr3708
SMc00796,msr3702
SMc00797,noHit
SMc00798,noHit
SMc00799,noHit
SMc00800,noHit
SMc00801,noHit
SMc00802,mll3729
SMc00803,noHit
SMc00804,mll1909
SMc00805,noHit
SMc00806,noHit
SMc00807,noHit
chrA,mlr5407
SMc00809,noHit
ppx,mlr8346
ftsJ,mlr8347
SMc00812,noHit
SMc00813,mll8348
SMc00814,mlr1349
SMc00815,mlr8350
SMc00816,mlr8352
dlhH,mll1495
oxyR,mll6938
katA,noHit
SMc00820,mll6897
SMc00821,noHit
SMc00822,mll1857
SMc00823,mll1856
SMc00824,mll6900
gsh1,mll6902
SMc00826,mll6903
pit2,noHit
SMc00828,mll0140
SMc00829,mll6911
SMc00830,mlr6914
SMc00831,mlr1930
glcD,mlr6916
glcE,mlr6919
glcF,mlr6920
SMc00925,noHit
SMc00924,mll6923
tag,mlr6925
SMc00922,mlr0604
SMc00921,mlr5326
SMc00931,noHit
hisS,mlr6928
hisZ,mlr6929
hisG,mlr6931
gst11,mlr4954
SMc00915,noHit
SMc00914,mll5522
groEL1,noHit
groES1,msl5812
SMc00911,mlr5406
SMc00910,mlr8242
ribF,mlr8243
ileS,mlr8250
SMc00907,mlr8251
SMc00906,mll0104
tadA,mll8252
SMc00904,mlr8253
SMc00902,mlr8254
SMc00930,mlr8257
SMc00900,noHit
SMc00899,noHit
kefB1,noHit
pmbA,mlr8264
SMc00896,mlr8265
SMc00895,noHit
kdtA,mlr8269
SMc00893,mlr5413
lpxK,mlr8270
TRm11b,noHit
TRm11a,mll6383
SMc00933,msl8272
mutL,mll8278
SMc00888,noHit
SMc00887,mlr4740
SMc00929,mll8279
SMc00886,noHit
SMc00885,noHit
ilvD1,noHit
SMc00883,mlr4744
dgoA,mlr4743
dgoK1,noHit
fabG2,mlr4741
SMc00879,noHit
SMc00878,noHit
SMc00877,noHit
SMc00876,mlr5402
corA2,noHit
kup1,mll1417
SMc00928,mlr7408
atpI,noHit
atpB,mlr7411
atpE,msr7412
atpF2,mlr7413
atpF,mlr7415
rnhB,mll7416
SMc00866,mll7417
SMc00865,noHit
SMc00864,noHit
moaB,mll7421
ispE,mll7422
SMc00861,mlr7432
ispB,mlr7426
SMc00859,noHit
SMc00858,noHit
sohB,mll7424
SMc00856,msl7423
glyQ,mlr7434
SMc00854,noHit
SMc00853,mll4130
SMc00852,noHit
glyS,mlr7435
SMc00850,mll0105
SMc00849,noHit
purD,mlr7447
SMc00992,noHit
SMc00991,noHit
fsr,mlr2687
SMc00994,mll2686
SMc00989,mlr8248
ubiA,mll7442
SMc00987,mlr7441
SMc00986,noHit
pdxR,mlr7440
SMc00984,mlr7439
SMc00983,noHit
SMc00982,mll5101
SMc00981,mll5100
SMc00980,mll7449
SMc00979,noHit
SMc00978,mll7807
SMc00977,mlr7452
SMc00976,mlr7453
mcpU,noHit
SMc00974,mlr7480
SMc00973,mlr7477
dxs,mlr7474
SMc00971,mlr7473
xseB,msr7470
SMc00969,mlr7469
SMc00968,noHit
SMc00967,noHit
SMc00966,noHit
SMc00965,noHit
bioB,noHit
bioN,noHit
bioM,noHit
SMc00961,mlr1373
tldD,mll7487
SMc00068,noHit
SMc00001,mlr8448
pdxH,mll7454
SMc00002,mlr7455
SMc00003,noHit
fabI1,mlr7458
gpmB,mlr7459
SMc00070,msl7460
aroC,mlr7461
ribA,mlr7463
ialB,mll7488
ctaC,mlr7490
ctaD,mlr7491
ctaB,mlr7493
SMc00130,msr7494
ctaG,mlr7495
ctaE,mlr7496
SMc00014,mlr7498
surf1,mlr7500
ispH,mlr7502
thrB,mlr7503
rnhA1,mlr7504
SMc00072,mll7508
SMc00073,mll7509
SMc00019,mlr7511
SMc00074,noHit
rimJ,mll7514
SMc00451,mll7516
thrC1,mll7517
SMc00020,noHit
SMc00078,noHit
SMc00079,mll7519
SMc00080,mlr4605
ccrM,mlr7520
SMc00081,mll7522
mutY,mll7523
SMc00022,mlr7524
SMc00023,mlr7525
smc,mlr7527
ppdK,mlr7532
SMc00083,noHit
SMc00084,noHit
SMc00026,noHit
SMc00087,mll7547
SMc00027,noHit
SMc00028,noHit
SMc00088,noHit
SMc00029,noHit
SMc00089,noHit
cysN,noHit
cysD,noHit
cysH,mll3228
SMc00030,noHit
SMc00031,noHit
betA,mll7609
betB,mll7608
betC,mll7612
betI,mll7613
SMc00032,mll8244
SMc00033,noHit
SMc00034,mll3767
SMc00096,noHit
SMc00035,mlr7616
gst1,mlr0981
lsrA,mll7397
gst2,noHit
SMc00038,noHit
SMc00039,noHit
SMc00098,mll4280
SMc00040,mll4282
phnA,noHit
SMc00100,mlr7622
SMc00041,mlr6145
dkgB,mll1906
tam,mll1606
dhe,mll7634
SMc00104,noHit
SMc00105,mlr1136
ilvE2,mlr7635
SMc00106,mll1814
sodB,mlr7636
SMc00107,mll4985
SMc00044,mlr4987
cycF,mlr7638
cycG,mlr7639
SMc00108,noHit
SMc00109,mlr2476
bla,noHit
gcd,mll1500
SMc00453,noHit
SMc00112,noHit
SMc00454,noHit
ptrB,mll7643
SMc00115,mlr0078
SMc00048,noHit
SMc00049,noHit
SMc00455,mlr3923
SMc00116,mll0433
msrB1,noHit
phaA2,noHit
phaB2,noHit
phaC2,noHit
phaD2,noHit
phaE2,noHit
phaF2,noHit
phaG2,noHit
mucR,mlr7645
SMc00118,mll7646
SMc00456,mll7648
SMc00059,mlr7649
SMc00060,mlr7650
SMc00061,mlr7652
SMc00120,noHit
SMc00062,noHit
SMc00063,mll3692
SMc00128,mll7655
SMc00457,mll7656
pbp,mll7657
SMc00064,mll2411
SMc00123,noHit
SMc00065,msr7683
feuP,mlr7684
feuQ,mlr7686
lipA,mlr7687
cycH,mlr7688
cycJ,mlr7689
cycK,mlr7690
cycL,mlr7691
degP1,mlr7692
ragA,mlr7695
SMc02367,mlr7697
glnE,mlr7698
SMc02369,noHit
pepN,mll7701
SMc02371,mlr7703
SMc02372,noHit
SMc02373,noHit
SMc02374,noHit
SMc02375,mll7705
SMc02376,noHit
etf,mlr7709
SMc02378,noHit
SMc02379,noHit
SMc02380,mlr7750
SMc02381,mll7749
SMc02382,mlr3686
SMc02383,noHit
SMc02384,mlr7556
SMc02385,noHit
amn,mll7714
SMc02387,mll7841
SMc02388,noHit
SMc02389,noHit
gst7,noHit
SMc02391,mll7718
SMc02392,msr7720
hisC4,mll7737
SMc02394,mlr1577
SMc02461,mlr1576
SMc02396,mll7738
SMc02397,mlr7741
TRm11a,mll6383
TRm11b,noHit
SMc02400,mlr7740
SMc02401,mlr1403
SMc02403,mll7744
dapA1,mlr7746
smpB,mlr7747
SMc02406,noHit
SMc02422,noHit
SMc02407,mll7752
rpoZ,mlr7753
relA,mlr7755
SMc02658,msl3900
SMc02657,noHit
SMc02656,noHit
SMc02655,mlr7760
acpS,mlr7761
lepB,mlr7763
rnc,mlr7765
era,mlr7766
arsH,noHit
arsC,mll2167
aqpS,mll2168
arsR,mll2170
SMc02646,noHit
cfa2,mll7842
SMc02644,mll2881
SMc02642,noHit
rkpK,mlr5265
lpsL,mlr7549
SMc02639,mll3947
SMc02638,mlr3948
SMc02637,noHit
SMc02636,noHit
recO,mlr7769
SMc02634,mll4564
SMc02633,noHit
SMc02632,noHit
SMc02631,noHit
SMc02603,noHit
nadA,mll5835
nadB,mll9103
nadC,mll9102
sodC,noHit
SMc02661,noHit
SMc02571,noHit
SMc02660,noHit
SMc02565,mll9106
SMc02561,mll1302
SMc02559,mll7788
SMc02558,mll7789
SMc02557,mll7791
SMc02556,mll7792
SMc02555,mll7793
SMc02554,mll7794
SMc02553,mlr7795
SMc02552,noHit
cysS,mlr7799
SMc02550,mlr7801
SMc02549,mlr7802
SMc02548,noHit
pip1,mlr7803
leuA2,mlr7805
SMc02545,mlr7806
SMc02544,mll7812
SMc02543,noHit
SMc00550,mlr7818
psd,mlr7821
pssA,mlr7822
SMc00553,mll7832
purF,mll7833
cvpA,mll7834
radA,mll7835
alr,mll3997
SMc00558,mlr6129
SMc00559,mll2427
SMc00560,noHit
dnaB,mll7836
SMc00562,mlr8230
SMc00563,noHit
SMc00564,noHit
rplI,mll7843
SMc00566,noHit
rpsR,msl7844
rpsF,mll7846
SMc00569,noHit
SMc00570,mlr0100
fabD,mlr7849
fabG,mlr7850
acpP,msr7851
fabF,mlr7852
SMc00575,mlr7854
SMc00576,mlr7856
gmk,mlr7857
SMc00578,noHit
ksgA,mll7860
pdxA1,mll7861
SMc00581,mll7863
SMc00582,mll7864
SMc00583,mll7865
SMc00584,mll7866
pepA,mlr7868
SMc00586,mlr7869
gal,mll0280
SMc00589,mll8440
SMc00590,mlr7932
SMc00591,noHit
SMc00592,noHit
SMc00593,mlr7920
ligE,mll7918
ndk,mll7917
SMc00596,mlr5174
SMc00597,mlr5173
SMc00598,mll5172
moaE,mlr7915
moaD,msr7914
pgsA,mlr7913
uvrC,mlr7912
SMc00603,mlr7910
ropB1,mll7908
SMc00605,mlr7905
SMc00606,noHit
SMc00607,mlr7894
SMc00608,mlr7888
dmsA,noHit
SMc00610,mlr0150
SMc00611,noHit
SMc00612,noHit
acvB,noHit
purN,mll7961
purM,mll7962
perM,mlr7966
SMc00617,mlr7968
ppk,mlr8161
ppx,mlr8162
SMc00620,noHit
cyaB,noHit
rnd,mll8354
SMc01754,mlr6496
SMc01755,mll8356
aspS,mlr8358
SMc01757,mlr0536
groEL4,noHit
SMc01759,msr2388
SMc01760,mll8359
parC,mlr8360
SMc01762,noHit
SMc01763,mll8362
ate,mll8364
SMc01765,mll8365
hemB,mll8390
SMc01767,mlr8393
SMc01768,mlr8394
SMc01769,mlr8397
glyA1,mlr8400
nrdR,mlr8403
ribD,mlr8405
ribE,mlr8407
SMc01774,noHit
SMc01775,mll3172
SMc01776,noHit
ribH1,mlr8409
nusB,mlr8411
SMc01779,mlr8412
hppA,mlr8418
SMc01781,mll8419
SMc01782,mlr8420
SMc01783,mlr8421
plsX,mlr8423
fabH,mlr8424
himA,mlr8425
SMc01787,mlr8426
SMc01788,noHit
SMc01789,noHit
SMc01902,noHit
SMc01790,noHit
SMc01791,mll8434
SMc01792,mll8435
SMc01793,mll8436
SMc01794,mll8437
SMc01795,mlr8439
SMc01796,mll8447
SMc01797,mlr4814
SMc01798,mlr2514
SMc01799,msl8449
SMc01800,mlr8450
argC,mll8452
speB,mll8453
rpsI,mll8456
rplM,mll8458
SMc01805,mll8460
SMc01806,mlr8461
SMc01807,mll3062
SMc01808,mlr8464
SMc01809,mlr8465
SMc01810,mlr8466
TRm20N,noHit
TRm20C,noHit
SMc01812,mll8468
SMc01813,mlr2853
SMc04448,mlr9675
clpP1,mlr8472
clpX,mlr8474
lon,mlr8476
hupB,msr8478
SMc01907,noHit
SMc01908,noHit
SMc01909,noHit
SMc01910,noHit
SMc01911,mll2544
nuoA1,mll1372
nuoB1,mll1371
nuoC1,mll1369
nuoD1,mll1367
SMc01916,noHit
nuoE1,mll1366
nuoF1,mll1365
SMc01919,mll1364
nuoG1,mll1362
nuoH,mll1361
nuoI,mll1359
nuoJ,mll1358
nuoK1,mll1357
nuoL,mll1355
nuoM,mll1354
nuoN,mll1352
birA,mll1351
SMc01929,mll1350
SMc01930,mll1346
SMc01931,msl1345
SMc01932,noHit
SMc01933,noHit
proS,mll1344
SMc01935,mll1342
SMc01376,mll1341
dnaE1,mll0870
SMc01374,noHit
dinB1,mlr0866
SMc01372,mlr0862
divK,mll0861
pleD,mll0859
rpmG,msr0848
SMc01368,mlr0845
SMc01367,mlr0843
SMc01366,mlr0842
rnr,mlr0841
topA,mlr0839
smf,mlr0689
SMc01362,mlr0688
SMc01361,mlr0687
pyrB,mlr0686
aidB,mll0685
SMc01358,noHit
SMc01357,noHit
SMc01356,noHit
SMc01355,mlr0681
SMc01354,mll0680
gatC,msl0677
gatA,mll0675
SMc01351,mll0189
gatB,mlr0190
SMc01349,mlr0192
SMc01348,mlr0198
SMc01347,noHit
aat,mll0202
accC,mll0203
accB,mll0206
aroQ,mll0207
SMc01342,mll0208
SMc01341,noHit
SMc01340,mlr0210
TRm11a,mll6383
TRm11b,noHit
SMc01337,noHit
rne,noHit
amiC,mlr0213
mrcA1,mlr0215
prfB,mlr0216
SMc01332,noHit
ppnK,mll0225
SMc04435,noHit
SMc01330,noHit
azoR,mlr2421
SMc01328,noHit
SMc01327,mll0255
tufB,mlr0263
SMc01325,noHit
SMc01324,mll1687
secE,msr0269
nusG,mlr0270
rplK,mlr0271
rplA,mlr0273
rplJ,mlr0274
rplL,mlr0275
rpoB,mlr0276
rpoC,mlr0277
SMc01315,msl0282
rpsL,mlr0283
