SMc02793,DK53_1986
SMc00337,noHit
SMc00338,noHit
cyaA,noHit
SMc00340,noHit
SMc00341,noHit
rnd2,DK53_133
TRm20,noHit
SMc00344,DK53_2202
SMc00345,DK53_2203
SMc00346,noHit
rnk,DK53_2600
SMc00348,noHit
lepA,lepA
SMc00350,noHit
SMc00351,noHit
SMc00352,noHit
exoD,noHit
SMc00354,DK53_1187
kamA,noHit
genX,noHit
efp,efp
cfa1,noHit
SMc00359,DK53_1630
SMc00360,noHit
SMc00361,DK53_2033
infC,infC
rpmI,rpmI
rplT,rplT
pheS,pheS
pheT,pheT
SMc00367,noHit
SMc00368,noHit
SMc00369,noHit
SMc00370,noHit
SMc00371,noHit
SMc00372,noHit
SMc00373,noHit
SMc00374,noHit
SMc00375,DK53_2042
SMc00376,noHit
SMc00377,noHit
xseA,xseA
SMc00379,noHit
pecS,noHit
pecM,noHit
SMc00382,DK53_2062
gst3,noHit
SMc00384,noHit
SMc00385,noHit
SMc00386,DK53_404
tatA,noHit
SMc00388,DK53_327
SMc00389,noHit
SMc00390,noHit
SMc00391,noHit
SMc00392,noHit
SMc00393,noHit
guaA,guaA
pfs,DK53_2801
SMc00396,DK53_2802
SMc00397,noHit
SMc00460,noHit
corA1,DK53_574
SMc00400,noHit
SMc00401,noHit
SMc00402,noHit
sun2,DK53_2803
SMc00404,rlpA
SMc00405,DK53_2196
SMc00406,queG
gst4,DK53_2198
SMc00408,uppP
SMc00409,noHit
SMc00410,DK53_2200
SMc00411,DK53_2047
pyrF,pyrF
SMc00413,noHit
pmtA,DK53_2045
dnaN,dnaN
SMc00416,DK53_187
SMc00418,DK53_188
gshB1,gshB
SMc00420,DK53_2050
cysK1,noHit
SMc00422,noHit
SMc00423,noHit
SMc00424,noHit
SMc00425,noHit
dnaS,dut
prfC,prfC
SMc00428,noHit
SMc00429,noHit
SMc00430,noHit
SMc00431,noHit
iolB,DK53_2505
iolE,DK53_2506
iolD,DK53_2507
iolC,DK53_2508
SMc01164,DK53_2509
SMc01163,DK53_1320
SMc01162,DK53_1629
coaBC,coaBC
SMc01160,noHit
SMc01159,noHit
SMc01158,noHit
SMc01157,noHit
aarF,ubiB
ubiE,DK53_2177
mutM,mutM
SMc01153,DK53_17
rpsT,rpsT
dnaA,dnaA
SMc01151,noHit
SMc01150,noHit
SMc01149,noHit
SMc01148,noHit
SMc01147,DK53_186
SMc01146,rdgB
SMc01145,noHit
rph,rph
hrcA,hrcA
grpE,DK53_180
ptsN,ptsN
SMc01140,raiA
rpoN,rpoN
SMc01138,DK53_169
SMc01137,DK53_168
SMc01136,DK53_167
SMc01135,sppA
ihfB,ihfB
SMc01133,DK53_164
SMc01132,DK53_325
SMc01131,DK53_163
SMc01130,DK53_162
lspA,lspA
SMc01128,noHit
olsB,DK53_160
tme,noHit
mutS,mutS
glnD,glnD
mviN,mviN
SMc01122,noHit
trpS,trpS
SMc01120,DK53_153
SMc01119,DK53_152
SMc01118,yeaZ
rimI,rimI
plsC,DK53_2066
miaB,miaB
phoH,DK53_2068
SMc01113,DK53_2069
tlyC,DK53_2070
lnt,lnt
phrR,DK53_2072
metK,metK
trmB,DK53_2074
SMc01107,DK53_173
SMc01106,DK53_174
iunH,DK53_3124
mcpX,noHit
rbsK,rbsK
SMc01102,DK53_2204
def1,def
fmt,fmt
truA,truA
TRm19C,noHit
TRm19N,noHit
SMc01097,noHit
dapE,dapE
mexF1,bepE
mexE1,noHit
SMc01093,noHit
SMc01092,noHit
SMc01091,noHit
deaD,DK53_136
SMc01089,noHit
dapD,dapD
SMc01731,DK53_2213
SMc01730,DK53_2214
SMc01729,noHit
ada,DK53_2349
SMc01727,noHit
argB,argB
SMc01725,noHit
msrB3,noHit
SMc01723,noHit
SMc01722,ysxC
SMc01721,yidC
rnpA,rnpA
rpmH,noHit
mcpT,noHit
SMc01718,noHit
merA1,noHit
SMc01716,DK53_315
SMc01715,noHit
SMc01714,noHit
SMc01713,noHit
lldD,noHit
SMc01711,noHit
SMc01710,noHit
SMc01709,noHit
SMc01708,noHit
SMc01707,DK53_87
SMc01706,noHit
SMc01705,noHit
SMc01704,noHit
SMc01703,noHit
SMc01702,noHit
SMc01701,DK53_2362
putA,DK53_2500
SMc02180,noHit
SMc02179,noHit
SMc02178,noHit
SMc02177,noHit
cyaD1,noHit
SMc02175,noHit
SMc02174,noHit
frcS,noHit
frcR,noHit
frcB,noHit
frcC,noHit
frcA,noHit
frcK,DK53_76
pyrC,noHit
pyrE,noHit
frk,DK53_128
pgi,DK53_326
fadD,DK53_330
SMc02161,noHit
SMc02160,noHit
SMc02159,noHit
SMc02158,noHit
cdsA2,noHit
SMc02156,noHit
int,DK53_255
SMc02202,noHit
SMc02201,noHit
SMc02189,noHit
SMc02200,noHit
SMc02184,noHit
SMc02199,noHit
SMc02203,noHit
SMc02155,noHit
SMc02154,noHit
SMc04429,noHit
SMc02153,noHit
SMc02152,noHit
SMc02151,noHit
SMc02150,DK53_2398
SMc02149,noHit
SMc02148,ppk2
phoR,DK53_338
pstS,DK53_2054
SMc02145,noHit
SMc02144,pstC
pstA,pstA
pstB,pstB
phoU,phoU
phoB,phoB
SMc02139,DK53_339
argD,argD
argF1,argF
hslO,DK53_342
apaG,DK53_343
SMc02134,noHit
metZ,metZ
SMc02218,DK53_345
SMc02219,DK53_335
SMc02220,noHit
SMc02221,DK53_2438
SMc02222,noHit
SMc02223,DK53_2435
chaA,noHit
SMc02225,noHit
SMc02226,noHit
fadB,DK53_2434
fadA,DK53_2433
SMc02229,DK53_2432
SMc02230,noHit
SMc02231,noHit
SMc02232,DK53_2404
SMc02234,DK53_2403
SMc02235,DK53_116
SMc02236,DK53_2402
SMc02237,DK53_2401
SMc02238,noHit
SMc02239,noHit
SMc02240,DK53_645
SMc02241,noHit
SMc02242,DK53_347
SMc02243,DK53_348
dinF,DK53_349
pyrD,pyrD
SMc02246,DK53_351
SMc02247,DK53_352
SMc02248,DK53_354
SMc02249,DK53_355
mscL,mscL
SMc02251,noHit
galE,noHit
pchB,noHit
qxtB,cydB
qxtA,noHit
hipO2,noHit
SMc02257,noHit
SMc02258,noHit
SMc02259,noHit
SMc02260,noHit
SMc02261,noHit
aspC,noHit
ilvB1,noHit
SMc02264,noHit
secD2,secD
SMc02266,noHit
SMc02267,noHit
kpsF3,noHit
rkpJ,noHit
rkpI,noHit
rkpH,noHit
rkpG,noHit
wcbR,noHit
rkpU,noHit
pncA,DK53_1430
pncB,pncB
SMc02277,noHit
SMc02278,noHit
SMc02279,noHit
SMc02280,noHit
SMc02281,noHit
SMc02282,noHit
SMc02283,noHit
SMc02284,noHit
cyaE1,noHit
SMc02326,noHit
rnhA2,noHit
SMc02328,noHit
SMc02286,noHit
SMc02287,DK53_302
TRm11b,noHit
TRm11a,noHit
hsdR,hsdR
hsdS,noHit
hsdM,hsdM
SMc02297,noHit
TRm1a,noHit
TRm1b,noHit
TRm30.4,noHit
TRm30.3,noHit
TRm30.2,noHit
TRm30.1,noHit
SMc02303,noHit
SMc02304,noHit
murA,murA
SMc02306,DK53_296
hisD1,hisD
SMc02308,DK53_294
SMc02309,DK53_293
infA,infA
maf,maf
SMc02312,DK53_290
SMc04431,DK53_967
SMc04432,DK53_966
SMc02313,noHit
SMc02314,noHit
SMc02315,noHit
SMc02316,noHit
SMc02317,DK53_117
SMc02318,DK53_2653
SMc02319,DK53_78
SMc02320,DK53_1764
rhaI,noHit
rhaD,noHit
rhaR,noHit
rhaS,noHit
rhaT,noHit
rhaP,noHit
rhaQ,noHit
rhaU,noHit
rhaK,noHit
icpA,noHit
SMc03005,noHit
cheY1,noHit
cheA,noHit
cheW1,noHit
cheR,noHit
cheB,noHit
cheY2,noHit
cheD,noHit
SMc03013,noHit
fliF,fliF
visN,noHit
visR,noHit
SMc03017,DK53_3018
flhB,DK53_3016
fliG,noHit
fliN,noHit
fliM,noHit
motA,motA
SMc03023,DK53_3007
flgF,flgF
fliI,fliI
SMc03026,noHit
flgB,flgB
flgC,flgC
fliE,DK53_2986
flgG,flgG
flgA,flgA
flgI,DK53_2983
motE,DK53_2982
flgH,DK53_2981
fliL,DK53_2980
fliP,fliP
flaA,noHit
flaB,noHit
flaD,noHit
flaC,fliC
SMc03041,DK53_2095
motB,DK53_2096
motC,DK53_2097
fliK,noHit
SMc03045,DK53_2099
rem,ftcR
flgE,flgE
flgK,flgK
flgL,DK53_2103
flaF,DK53_2104
flbT,DK53_2105
flgD,DK53_2106
fliQ,fliQ
flhA,flhA
fliR,fliR
SMc03056,noHit
SMc03071,DK53_2112
SMc03072,DK53_2113
SMc03057,noHit
SMc03058,DK53_3031
folD2,DK53_2447
aglR,noHit
aglE,noHit
aglF,noHit
aglG,noHit
aglA,noHit
aglK,noHit
SMc03066,noHit
TRm22,noHit
edd,edd
pgl,pgl
zwf,zwf
ordL,DK53_2458
SMc00762,DK53_2460
SMc00763,DK53_1362
SMc00764,noHit
mcpZ,noHit
SMc00766,noHit
SMc00767,DK53_1566
aceA,aceA
SMc00769,DK53_1563
potF,DK53_1562
potG,DK53_1561
potH,DK53_1560
potI,DK53_1558
SMc00838,noHit
acsA2,noHit
fbpB,DK53_2523
cbrA,noHit
SMc00777,noHit
SMc00778,noHit
SMc00779,noHit
SMc00780,DK53_1762
mmsA,mmsA
SMc00782,noHit
SMc00783,noHit
fbpA,DK53_2522
rirA,DK53_2652
dppA1,noHit
dppB1,DK53_1536
dppC1,DK53_1535
dppD1,DK53_1534
dppF1,DK53_1533
SMc00791,DK53_2249
SMc00792,noHit
SMc00793,noHit
SMc00794,noHit
SMc00795,noHit
SMc00796,DK53_1609
SMc00797,DK53_2586
SMc00798,noHit
SMc00799,DK53_3091
SMc00800,noHit
SMc00801,noHit
SMc00802,noHit
SMc00803,noHit
SMc00804,noHit
SMc00805,noHit
SMc00806,noHit
SMc00807,noHit
chrA,noHit
SMc00809,noHit
ppx,DK53_2536
ftsJ,DK53_2535
SMc00812,noHit
SMc00813,DK53_2534
SMc00814,noHit
SMc00815,guaB
SMc00816,noHit
dlhH,noHit
oxyR,DK53_2807
katA,katA
SMc00820,DK53_2463
SMc00821,noHit
SMc00822,noHit
SMc00823,noHit
SMc00824,noHit
gsh1,DK53_2465
SMc00826,DK53_2466
pit2,noHit
SMc00828,DK53_1031
SMc00829,pdhR
SMc00830,noHit
SMc00831,DK53_2964
glcD,DK53_2963
glcE,DK53_2962
glcF,DK53_2961
SMc00925,noHit
SMc00924,DK53_2959
tag,DK53_2958
SMc00922,noHit
SMc00921,noHit
SMc00931,noHit
hisS,hisS
hisZ,DK53_2955
hisG,hisG
gst11,noHit
SMc00915,noHit
SMc00914,thcD
groEL1,groL
groES1,DK53_2948
SMc00911,noHit
SMc00910,DK53_2947
ribF,ribF
ileS,ileS
SMc00907,DK53_2944
SMc00906,noHit
tadA,codA
SMc00904,DK53_2941
SMc00902,DK53_2940
SMc00930,DK53_2936
SMc00900,noHit
SMc00899,noHit
kefB1,DK53_2935
pmbA,DK53_2934
SMc00896,DK53_2933
SMc00895,DK53_2932
kdtA,DK53_2930
SMc00893,DK53_329
lpxK,lpxK
TRm11b,noHit
TRm11a,noHit
SMc00933,DK53_2928
mutL,mutL
SMc00888,noHit
SMc00887,noHit
SMc00929,noHit
SMc00886,noHit
SMc00885,noHit
ilvD1,noHit
SMc00883,DK53_2048
dgoA,DK53_2299
dgoK1,DK53_2298
fabG2,noHit
SMc00879,noHit
SMc00878,noHit
SMc00877,noHit
SMc00876,DK53_72
corA2,noHit
kup1,kup
SMc00928,DK53_412
atpI,noHit
atpB,atpB
atpE,DK53_415
atpF2,DK53_416
atpF,atpF
rnhB,DK53_418
SMc00866,DK53_419
SMc00865,DK53_420
SMc00864,noHit
moaB,mog
ispE,ispE
SMc00861,DK53_429
ispB,DK53_428
SMc00859,DK53_427
SMc00858,DK53_426
sohB,DK53_425
SMc00856,DK53_424
glyQ,glyQ
SMc00854,noHit
SMc00853,DK53_1753
SMc00852,noHit
glyS,glyS
SMc00850,noHit
SMc00849,noHit
purD,purD
SMc00992,noHit
SMc00991,noHit
fsr,fsr
SMc00994,DK53_666
SMc00989,noHit
ubiA,ubiA
SMc00987,DK53_437
SMc00986,noHit
pdxR,DK53_434
SMc00984,DK53_433
SMc00983,noHit
SMc00982,DK53_1426
SMc00981,DK53_1427
SMc00980,noHit
SMc00979,noHit
SMc00978,noHit
SMc00977,DK53_439
SMc00976,DK53_438
mcpU,noHit
SMc00974,DK53_463
SMc00973,DK53_462
dxs,dxs
SMc00971,DK53_460
xseB,xseB
SMc00969,DK53_455
SMc00968,noHit
SMc00967,noHit
SMc00966,noHit
SMc00965,noHit
bioB,DK53_1665
bioN,noHit
bioM,DK53_1341
SMc00961,noHit
tldD,DK53_487
SMc00068,noHit
SMc00001,noHit
pdxH,pdxH
SMc00002,DK53_444
SMc00003,noHit
fabI1,DK53_446
gpmB,DK53_447
SMc00070,DK53_452
aroC,aroC
ribA,ribB
ialB,DK53_488
ctaC,coxB
ctaD,ctaD
ctaB,cyoE
SMc00130,noHit
ctaG,ctaG
ctaE,ctaE
SMc00014,noHit
surf1,DK53_496
ispH,ispH
thrB,thrB
rnhA1,DK53_499
SMc00072,DK53_500
SMc00073,DK53_501
SMc00019,DK53_502
SMc00074,DK53_503
rimJ,DK53_504
SMc00451,DK53_505
thrC1,thrC
SMc00020,DK53_507
SMc00078,DK53_30
SMc00079,DK53_510
SMc00080,DK53_1841
ccrM,DK53_512
SMc00081,DK53_513
mutY,mutY
SMc00022,DK53_516
SMc00023,DK53_517
smc,smc
ppdK,ppdK
SMc00083,DK53_2061
SMc00084,noHit
SMc00026,DK53_525
SMc00087,DK53_524
SMc00027,noHit
SMc00028,noHit
SMc00088,noHit
SMc00029,noHit
SMc00089,noHit
cysN,noHit
cysD,noHit
cysH,cysH
SMc00030,noHit
SMc00031,noHit
betA,DK53_568
betB,betB
betC,noHit
betI,betI
SMc00032,DK53_2181
SMc00033,noHit
SMc00034,DK53_1682
SMc00096,noHit
SMc00035,DK53_570
gst1,gst
lsrA,noHit
gst2,noHit
SMc00038,noHit
SMc00039,DK53_580
SMc00098,noHit
SMc00040,DK53_2353
phnA,DK53_1428
SMc00100,DK53_579
SMc00041,DK53_578
dkgB,DK53_2960
tam,tam
dhe,dehII
SMc00104,noHit
SMc00105,noHit
ilvE2,DK53_2550
SMc00106,noHit
sodB,sodB
SMc00107,noHit
SMc00044,noHit
cycF,noHit
cycG,noHit
SMc00108,noHit
SMc00109,DK53_1936
bla,noHit
gcd,noHit
SMc00453,noHit
SMc00112,noHit
SMc00454,noHit
ptrB,DK53_585
SMc00115,DK53_844
SMc00048,noHit
SMc00049,noHit
SMc00455,DK53_82
SMc00116,noHit
msrB1,noHit
phaA2,noHit
phaB2,noHit
phaC2,noHit
phaD2,noHit
phaE2,noHit
phaF2,noHit
phaG2,noHit
mucR,ros
SMc00118,DK53_591
SMc00456,noHit
SMc00059,noHit
SMc00060,noHit
SMc00061,DK53_595
SMc00120,noHit
SMc00062,noHit
SMc00063,noHit
SMc00128,DK53_597
SMc00457,DK53_598
pbp,DK53_599
SMc00064,DK53_1442
SMc00123,noHit
SMc00065,DK53_618
feuP,DK53_619
feuQ,DK53_620
lipA,DK53_621
cycH,ccmI
cycJ,DK53_623
cycK,ccmF
cycL,DK53_625
degP1,DK53_626
ragA,DK53_627
SMc02367,DK53_628
glnE,DK53_629
SMc02369,DK53_631
pepN,pepN
SMc02371,DK53_633
SMc02372,DK53_634
SMc02373,noHit
SMc02374,noHit
SMc02375,DK53_635
SMc02376,DK53_411
etf,DK53_636
SMc02378,noHit
SMc02379,noHit
SMc02380,noHit
SMc02381,noHit
SMc02382,noHit
SMc02383,noHit
SMc02384,noHit
SMc02385,noHit
amn,amn
SMc02387,noHit
SMc02388,noHit
SMc02389,noHit
gst7,DK53_641
SMc02391,DK53_642
SMc02392,DK53_644
hisC4,DK53_648
SMc02394,noHit
SMc02461,noHit
SMc02396,omp2b
SMc02397,DK53_649
TRm11a,noHit
TRm11b,noHit
SMc02400,noHit
SMc02401,noHit
SMc02403,DK53_655
dapA1,dapA
smpB,smpB
SMc02406,noHit
SMc02422,noHit
SMc02407,DK53_659
rpoZ,rpoZ
relA,rsh
SMc02658,noHit
SMc02657,noHit
SMc02656,noHit
SMc02655,DK53_667
acpS,acpS
lepB,lepB
rnc,rnc
era,era
arsH,noHit
arsC,arsC
aqpS,noHit
arsR,noHit
SMc02646,noHit
cfa2,DK53_475
SMc02644,DK53_2333
SMc02642,noHit
rkpK,DK53_2665
lpsL,noHit
SMc02639,noHit
SMc02638,noHit
SMc02637,noHit
SMc02636,noHit
recO,recO
SMc02634,noHit
SMc02633,noHit
SMc02632,noHit
SMc02631,noHit
SMc02603,noHit
nadA,noHit
nadB,noHit
nadC,noHit
sodC,noHit
SMc02661,noHit
SMc02571,noHit
SMc02660,noHit
SMc02565,noHit
SMc02561,DK53_672
SMc02559,DK53_674
SMc02558,DK53_675
SMc02557,DK53_677
SMc02556,DK53_678
SMc02555,DK53_679
SMc02554,DK53_680
SMc02553,DK53_681
SMc02552,noHit
cysS,cysS
SMc02550,noHit
SMc02549,noHit
SMc02548,noHit
pip1,pip
leuA2,DK53_685
SMc02545,DK53_686
SMc02544,DK53_464
SMc02543,noHit
SMc00550,DK53_467
psd,DK53_468
pssA,pssA
SMc00553,DK53_470
purF,purF
cvpA,DK53_472
radA,radA
alr,alr
SMc00558,noHit
SMc00559,DK53_2454
SMc00560,DK53_2453
dnaB,dnaB
SMc00562,DK53_1729
SMc00563,DK53_2729
SMc00564,DK53_2728
rplI,rplI
SMc00566,DK53_477
rpsR,rpsR
rpsF,rpsF
SMc00569,noHit
SMc00570,noHit
fabD,fabD
fabG,fabG
acpP,acpP
fabF,fabF
SMc00575,DK53_484
SMc00576,DK53_485
gmk,gmk
SMc00578,noHit
ksgA,ksgA
pdxA1,pdxA
SMc00581,DK53_690
SMc00582,DK53_691
SMc00583,DK53_692
SMc00584,DK53_693
pepA,DK53_694
SMc00586,DK53_695
gal,DK53_2296
SMc00589,noHit
SMc00590,DK53_697
SMc00591,noHit
SMc00592,noHit
SMc00593,DK53_698
ligE,noHit
ndk,DK53_699
SMc00596,noHit
SMc00597,noHit
SMc00598,noHit
moaE,DK53_701
moaD,moaD
pgsA,pgsA
uvrC,uvrC
SMc00603,DK53_705
ropB1,DK53_706
SMc00605,DK53_707
SMc00606,DK53_708
SMc00607,DK53_709
SMc00608,DK53_710
dmsA,DK53_712
SMc00610,noHit
SMc00611,DK53_2628
SMc00612,noHit
acvB,noHit
purN,purN
purM,purM
perM,noHit
SMc00617,noHit
ppk,ppk1
ppx,ppx
SMc00620,noHit
cyaB,noHit
rnd,rnd
SMc01754,noHit
SMc01755,noHit
aspS,aspS
SMc01757,noHit
groEL4,noHit
SMc01759,noHit
SMc01760,noHit
parC,parC
SMc01762,noHit
SMc01763,noHit
ate,DK53_759
SMc01765,DK53_760
hemB,hemB
SMc01767,DK53_763
SMc01768,DK53_764
SMc01769,DK53_765
glyA1,DK53_766
nrdR,nrdR
ribD,ribD
ribE,ribE
SMc01774,noHit
SMc01775,noHit
SMc01776,noHit
ribH1,ribH
nusB,nusB
SMc01779,noHit
hppA,DK53_772
SMc01781,DK53_773
SMc01782,DK53_774
SMc01783,DK53_775
plsX,plsX
fabH,fabH
himA,ihfA
SMc01787,DK53_779
SMc01788,noHit
SMc01789,noHit
SMc01902,noHit
SMc01790,noHit
SMc01791,noHit
SMc01792,DK53_782
SMc01793,noHit
SMc01794,DK53_784
SMc01795,noHit
SMc01796,noHit
SMc01797,noHit
SMc01798,noHit
SMc01799,DK53_786
SMc01800,DK53_787
argC,argC
speB,speB
rpsI,DK53_790
rplM,rplM
SMc01805,DK53_792
SMc01806,noHit
SMc01807,DK53_711
SMc01808,noHit
SMc01809,DK53_793
SMc01810,noHit
TRm20N,noHit
TRm20C,noHit
SMc01812,noHit
SMc01813,DK53_2183
SMc04448,noHit
clpP1,DK53_1101
clpX,clpX
lon,lon
hupB,hupB
SMc01907,DK53_2598
SMc01908,noHit
SMc01909,noHit
SMc01910,noHit
SMc01911,DK53_2734
nuoA1,DK53_803
nuoB1,DK53_804
nuoC1,nqo5
nuoD1,nuoD
SMc01916,noHit
nuoE1,nuoE
nuoF1,nuoF
SMc01919,noHit
nuoG1,nuoG
nuoH,DK53_810
nuoI,DK53_811
nuoJ,DK53_812
nuoK1,DK53_813
nuoL,DK53_814
nuoM,DK53_815
nuoN,DK53_816
birA,DK53_817
SMc01929,DK53_818
SMc01930,mce
SMc01931,DK53_820
SMc01932,noHit
SMc01933,noHit
proS,proS
SMc01935,DK53_822
SMc01376,DK53_823
dnaE1,dnaE
SMc01374,noHit
dinB1,DK53_2599
SMc01372,DK53_2601
divK,divK
pleD,pleD
rpmG,rpmG
SMc01368,DK53_2605
SMc01367,DK53_2606
SMc01366,DK53_2607
rnr,rnr
topA,topA
smf,dprA
SMc01362,plsY
SMc01361,pyrC
pyrB,pyrB
aidB,DK53_2616
SMc01358,noHit
SMc01357,noHit
SMc01356,noHit
SMc01355,DK53_2615
SMc01354,DK53_2617
gatC,gatC
gatA,gatA
SMc01351,noHit
gatB,gatB
SMc01349,DK53_895
SMc01348,DK53_896
SMc01347,DK53_897
aat,aat
accC,accC
accB,accB
aroQ,aroQ
SMc01342,DK53_902
SMc01341,noHit
SMc01340,DK53_904
TRm11a,noHit
TRm11b,noHit
SMc01337,noHit
rne,noHit
amiC,amiB
mrcA1,DK53_907
prfB,prfB
SMc01332,noHit
ppnK,DK53_927
SMc04435,noHit
SMc01330,noHit
azoR,noHit
SMc01328,noHit
SMc01327,DK53_1235
tufB,tuf
SMc01325,noHit
SMc01324,noHit
secE,secE
nusG,nusG
rplK,rplK
rplA,rplA
rplJ,rplJ
rplL,rplL
rpoB,rpoB
rpoC,DK53_1223
SMc01315,DK53_1222
rpsL,rpsL
rpsG,rpsG
fusA1,fusA
tufA,noHit
rpsJ,rpsJ
rplC,rplC
rplD,rplD
rplW,rplW
rplB,rplB
rpsS,rpsS
rplV,rplV
rpsC,rpsC
rplP,rplP
rpmC,rpmC
rpsQ,rpsQ
rplN,rplN
rplX,rplX
rplE,DK53_1204
rpsN,DK53_1203
rpsH,DK53_1202
rplF,rplF
rplR,rplR
rpsE,rpsE
rpmD,rpmD
rplO,rplO
secY,secY
adk,DK53_1195
rpsM,rpsM
rpsK,rpsK
rpoA,rpoA
rplQ,rplQ
SMc01282,DK53_2250
SMc01281,DK53_2251
degP3,DK53_1190
SMc01279,DK53_1189
sugE,sugE
SMc01277,DK53_991
gph2,DK53_990
