SMc02793,Smed_3209
SMc02822,Smed_3357
TRm22,noHit
SMc02824,Smed_3358
pepA2,Smed_3359
SMc02826,Smed_3360
SMc02827,Smed_3361
SMc02828,Smed_3362
SMc02829,Smed_3363
SMc02830,Smed_3364
SMc02831,Smed_3365
SMc02832,Smed_3366
mepA,Smed_3367
mgsA,Smed_3368
glk,Smed_3369
SMc02836,Smed_3370
dapB,Smed_3371
gpmA,Smed_3372
TRm5C,noHit
TRm3,Smed_6034
TRm5N,noHit
SMc02841,Smed_3373
SMc02842,Smed_3374
nth,Smed_3375
SMc02844,Smed_3376
SMc02845,Smed_3377
SMc02846,Smed_3378
SMc02847,Smed_4617
SMc02848,Smed_3379
gyaR,Smed_3380
polA,Smed_3381
SMc02851,Smed_3382
SMc02852,Smed_3383
SMc02853,Smed_3384
SMc02854,Smed_3385
SMc02855,Smed_3386
SMc02856,Smed_3388
dnaK,Smed_3389
dnaJ,Smed_3390
SMc02859,Smed_3391
SMc02860,Smed_3392
pit,Smed_3393
SMc02862,Smed_3394
recF,Smed_3395
moeB,Smed_3396
SMc02865,noHit
SMc02866,Smed_3397
SMc02867,Smed_3398
SMc02868,Smed_3399
SMc02869,Smed_3400
SMc02870,Smed_3401
SMc02871,Smed_3402
SMc02872,Smed_3403
SMc02873,Smed_3405
SMc02874,Smed_3406
SMc02875,Smed_3407
SMc02876,Smed_3408
SMc02877,Smed_3409
nagA,Smed_3410
cutC,Smed_3411
SMc02880,Smed_3412
SMc02881,Smed_3413
SMc02882,Smed_3414
SMc02883,Smed_3415
SMc02884,Smed_3416
msrA1,Smed_3417
SMc02886,Smed_3418
SMc02887,noHit
SMc02888,noHit
SMc02889,noHit
SMc02890,noHit
SMc02891,noHit
SMc02892,noHit
SMc02893,Smed_3422
SMc02894,Smed_3423
SMc02895,Smed_3424
ilvE1,Smed_3425
SMc02897,Smed_3426
kdsB,Smed_3427
pheA,Smed_3428
SMc02900,Smed_3429
SMc02901,noHit
SMc02902,Smed_5970
SMc02903,Smed_3430
SMc02904,noHit
dnaX,Smed_3432
SMc02906,Smed_3433
SMc02907,Smed_3434
recR,Smed_3435
mltB1,Smed_3436
SMc02910,Smed_3437
SMc02911,Smed_3438
nusA,Smed_3439
SMc02913,Smed_3440
infB,Smed_3441
rbfA,Smed_3442
truB,Smed_3443
SMc00322,Smed_3444
rpsO,Smed_3445
pnp,Smed_3446
rsmC,Smed_3447
fabI2,Smed_3448
fabB,Smed_3449
fabA,Smed_3450
irr,Smed_3451
SMc00330,Smed_3452
SMc00331,Smed_3453
SMc00332,Smed_3455
aroA,Smed_3456
cmk,Smed_3457
rpsA,Smed_3458
SMc00336,Smed_3459
SMc00337,Smed_3460
SMc00338,Smed_3461
cyaA,Smed_3462
SMc00340,Smed_4248
SMc00341,Smed_3463
rnd2,Smed_3464
TRm20,noHit
SMc00344,noHit
SMc00345,Smed_3465
SMc00346,Smed_3466
rnk,Smed_3467
SMc00348,noHit
lepA,Smed_3469
SMc00350,Smed_3470
SMc00351,Smed_3471
SMc00352,Smed_3472
exoD,Smed_3473
SMc00354,Smed_3475
kamA,Smed_3476
genX,Smed_3477
efp,Smed_3478
cfa1,Smed_3479
SMc00359,Smed_3480
SMc00360,Smed_3481
SMc00361,Smed_3482
infC,Smed_3483
rpmI,Smed_3484
rplT,Smed_3485
pheS,Smed_3486
pheT,Smed_3487
SMc00367,Smed_3488
SMc00368,Smed_3489
SMc00369,noHit
SMc00370,Smed_3490
SMc00371,Smed_3491
SMc00372,Smed_3492
SMc00373,Smed_3493
SMc00374,Smed_3494
SMc00375,Smed_3495
SMc00376,Smed_3496
SMc00377,Smed_3497
xseA,Smed_3498
SMc00379,Smed_3499
pecS,Smed_3500
pecM,Smed_3501
SMc00382,Smed_3504
gst3,Smed_3505
SMc00384,Smed_3506
SMc00385,Smed_3507
SMc00386,Smed_3508
tatA,Smed_3509
SMc00388,Smed_3510
SMc00389,noHit
SMc00390,noHit
SMc00391,noHit
SMc00392,noHit
SMc00393,noHit
guaA,Smed_3517
pfs,Smed_3518
SMc00396,Smed_3519
SMc00397,Smed_3521
SMc00460,Smed_3522
corA1,noHit
SMc00400,Smed_3527
SMc00401,Smed_3528
SMc00402,Smed_3529
sun2,Smed_3530
SMc00404,Smed_3531
SMc00405,Smed_3533
SMc00406,Smed_3534
gst4,Smed_3535
SMc00408,Smed_3536
SMc00409,Smed_3537
SMc00410,Smed_3538
SMc00411,Smed_3539
pyrF,Smed_3540
SMc00413,Smed_3541
pmtA,Smed_3542
dnaN,Smed_3543
SMc00416,Smed_3544
SMc00418,Smed_3545
gshB1,Smed_3546
SMc00420,Smed_3547
cysK1,Smed_3549
SMc00422,noHit
SMc00423,Smed_3551
SMc00424,Smed_3552
SMc00425,Smed_3553
dnaS,Smed_3554
prfC,Smed_3555
SMc00428,Smed_3556
SMc00429,Smed_3557
SMc00430,noHit
SMc00431,Smed_3558
iolB,Smed_3559
iolE,Smed_3560
iolD,Smed_3561
iolC,Smed_3562
SMc01164,Smed_3563
SMc01163,Smed_3564
SMc01162,Smed_3565
coaBC,Smed_3566
SMc01160,Smed_3567
SMc01159,Smed_3568
SMc01158,Smed_3569
SMc01157,Smed_3570
aarF,Smed_3571
ubiE,Smed_3572
mutM,Smed_3573
SMc01153,Smed_3574
rpsT,Smed_0001
dnaA,Smed_0002
SMc01151,Smed_0003
SMc01150,Smed_0004
SMc01149,Smed_0005
SMc01148,Smed_0006
SMc01147,Smed_0007
SMc01146,Smed_0008
SMc01145,Smed_0009
rph,Smed_0010
hrcA,Smed_0011
grpE,Smed_0012
ptsN,Smed_0013
SMc01140,Smed_0014
rpoN,Smed_0015
SMc01138,Smed_0016
SMc01137,Smed_0017
SMc01136,Smed_0018
SMc01135,Smed_0020
ihfB,Smed_0021
SMc01133,Smed_0022
SMc01132,Smed_0023
SMc01131,Smed_0024
SMc01130,Smed_0025
lspA,Smed_0026
SMc01128,Smed_0027
olsB,Smed_0028
tme,Smed_0029
mutS,Smed_0030
glnD,Smed_0031
mviN,Smed_0032
SMc01122,Smed_0033
trpS,Smed_0034
SMc01120,Smed_0035
SMc01119,Smed_0036
SMc01118,Smed_0037
rimI,Smed_0038
plsC,Smed_0039
miaB,Smed_0040
phoH,Smed_0041
SMc01113,Smed_0042
tlyC,Smed_0043
lnt,Smed_0044
phrR,Smed_0045
metK,Smed_0046
trmB,Smed_0047
SMc01107,Smed_0048
SMc01106,Smed_0049
iunH,Smed_0050
mcpX,Smed_0051
rbsK,Smed_0052
SMc01102,Smed_0053
def1,Smed_0054
fmt,Smed_0055
truA,Smed_0056
TRm19C,noHit
TRm19N,noHit
SMc01097,Smed_0060
dapE,Smed_0061
mexF1,Smed_0062
mexE1,Smed_0063
SMc01093,Smed_0064
SMc01092,Smed_0065
SMc01091,Smed_0066
deaD,Smed_0067
SMc01089,Smed_0068
dapD,Smed_0069
SMc01731,Smed_0070
SMc01730,Smed_0071
SMc01729,Smed_0072
ada,Smed_0073
SMc01727,Smed_0074
argB,Smed_0075
SMc01725,Smed_0076
msrB3,noHit
SMc01723,Smed_0077
SMc01722,Smed_0078
SMc01721,Smed_0079
rnpA,Smed_0080
rpmH,Smed_0081
mcpT,Smed_0082
SMc01718,Smed_0083
merA1,Smed_0084
SMc01716,Smed_0085
SMc01715,Smed_2596
SMc01714,Smed_2595
SMc01713,noHit
lldD,Smed_3514
SMc01711,noHit
SMc01710,noHit
SMc01709,noHit
SMc01708,noHit
SMc01707,Smed_0087
SMc01706,Smed_0088
SMc01705,Smed_0089
SMc01704,noHit
SMc01703,Smed_0090
SMc01702,noHit
SMc01701,Smed_0091
putA,Smed_0092
SMc02180,Smed_0093
SMc02179,Smed_0094
SMc02178,Smed_0095
SMc02177,Smed_0096
cyaD1,Smed_0097
SMc02175,Smed_0098
SMc02174,Smed_0099
frcS,Smed_0100
frcR,Smed_0101
frcB,Smed_0102
frcC,Smed_0103
frcA,Smed_0104
frcK,Smed_0105
pyrC,Smed_0106
pyrE,Smed_0107
frk,Smed_0108
pgi,Smed_0109
fadD,Smed_0110
SMc02161,noHit
SMc02160,Smed_0111
SMc02159,Smed_0112
SMc02158,Smed_0113
cdsA2,Smed_0114
SMc02156,noHit
int,noHit
SMc02202,noHit
SMc02201,noHit
SMc02189,noHit
SMc02200,noHit
SMc02184,Smed_5036
SMc02199,noHit
SMc02203,noHit
SMc02155,noHit
SMc02154,noHit
SMc04429,noHit
SMc02153,noHit
SMc02152,noHit
SMc02151,Smed_2319
SMc02150,Smed_0115
SMc02149,Smed_0116
SMc02148,Smed_0117
phoR,Smed_0118
pstS,Smed_0119
SMc02145,noHit
SMc02144,Smed_0120
pstA,Smed_0121
pstB,Smed_0122
phoU,Smed_0123
phoB,Smed_0124
SMc02139,Smed_0126
argD,Smed_0127
argF1,Smed_0128
hslO,Smed_0129
apaG,Smed_0130
SMc02134,Smed_0132
metZ,Smed_0133
SMc02218,Smed_0134
SMc02219,Smed_0135
SMc02220,Smed_0136
SMc02221,Smed_0137
SMc02222,Smed_0138
SMc02223,Smed_0139
chaA,Smed_0140
SMc02225,Smed_0141
SMc02226,Smed_0142
fadB,Smed_0144
fadA,Smed_0145
SMc02229,Smed_0146
SMc02230,Smed_0147
SMc02231,noHit
SMc02232,Smed_0148
SMc02234,Smed_0149
SMc02235,Smed_0151
SMc02236,Smed_0152
SMc02237,Smed_0153
SMc02238,Smed_0154
SMc02239,Smed_0155
SMc02240,Smed_0156
SMc02241,Smed_0157
SMc02242,Smed_0158
SMc02243,Smed_0159
dinF,Smed_0160
pyrD,Smed_0161
SMc02246,Smed_0162
SMc02247,Smed_0163
SMc02248,Smed_0164
SMc02249,Smed_0165
mscL,Smed_0166
SMc02251,Smed_0167
galE,Smed_0168
pchB,Smed_0169
qxtB,Smed_0170
qxtA,Smed_0171
hipO2,Smed_0172
SMc02257,Smed_0173
SMc02258,Smed_0174
SMc02259,Smed_0175
SMc02260,Smed_0176
SMc02261,Smed_0177
aspC,Smed_0178
ilvB1,Smed_0179
SMc02264,Smed_0180
secD2,Smed_0181
SMc02266,Smed_0182
SMc02267,Smed_0191
kpsF3,Smed_0192
rkpJ,Smed_0193
rkpI,Smed_0194
rkpH,Smed_0195
rkpG,Smed_0196
wcbR,Smed_0197
rkpU,Smed_0198
pncA,Smed_0199
pncB,Smed_0200
SMc02277,Smed_0201
SMc02278,noHit
SMc02279,noHit
SMc02280,noHit
SMc02281,noHit
SMc02282,noHit
SMc02283,noHit
SMc02284,noHit
cyaE1,noHit
SMc02326,noHit
rnhA2,noHit
SMc02328,noHit
SMc02286,noHit
SMc02287,noHit
TRm11b,Smed_1104
TRm11a,noHit
hsdR,noHit
hsdS,noHit
hsdM,noHit
SMc02297,noHit
TRm1a,Smed_5766
TRm1b,noHit
TRm30.4,noHit
TRm30.3,noHit
TRm30.2,noHit
TRm30.1,noHit
SMc02303,noHit
SMc02304,Smed_0205
murA,Smed_0206
SMc02306,Smed_0207
hisD1,Smed_0208
SMc02308,Smed_0209
SMc02309,Smed_0210
infA,Smed_0211
maf,Smed_0212
SMc02312,Smed_0213
SMc04431,noHit
SMc04432,noHit
SMc02313,noHit
SMc02314,Smed_0215
SMc02315,Smed_0216
SMc02316,noHit
SMc02317,Smed_0218
SMc02318,Smed_0219
SMc02319,Smed_0220
SMc02320,Smed_0221
rhaI,Smed_0222
rhaD,Smed_0223
rhaR,Smed_0224
rhaS,Smed_0225
rhaT,Smed_0226
rhaP,Smed_0227
rhaQ,Smed_0228
rhaU,Smed_0229
rhaK,Smed_0230
icpA,Smed_0232
SMc03005,Smed_0233
cheY1,Smed_0234
cheA,Smed_0235
cheW1,Smed_0236
cheR,Smed_0237
cheB,Smed_0238
cheY2,Smed_0239
cheD,Smed_0240
SMc03013,Smed_0241
fliF,Smed_0242
visN,Smed_0243
visR,Smed_0244
SMc03017,Smed_0245
flhB,Smed_0246
fliG,Smed_0247
fliN,Smed_0248
fliM,Smed_0249
motA,Smed_0250
SMc03023,Smed_0251
flgF,Smed_0252
fliI,Smed_0253
SMc03026,Smed_0254
flgB,Smed_0255
flgC,Smed_0256
fliE,Smed_0257
flgG,Smed_0258
flgA,Smed_0259
flgI,Smed_0260
motE,Smed_0261
flgH,Smed_0262
fliL,Smed_0263
fliP,Smed_0264
flaA,Smed_0265
flaB,Smed_0266
flaD,Smed_0267
flaC,Smed_0268
SMc03041,Smed_0270
motB,Smed_0271
motC,Smed_0272
fliK,Smed_0273
SMc03045,Smed_0274
rem,Smed_0275
flgE,Smed_0276
flgK,Smed_0277
flgL,Smed_0278
flaF,Smed_0279
flbT,Smed_0280
flgD,Smed_0281
fliQ,Smed_0282
flhA,Smed_0283
fliR,Smed_0284
SMc03056,Smed_0285
SMc03071,Smed_0286
SMc03072,Smed_0287
SMc03057,Smed_0288
SMc03058,Smed_0289
folD2,Smed_0290
aglR,Smed_0291
aglE,Smed_0292
aglF,Smed_0293
aglG,Smed_0294
aglA,Smed_0295
aglK,Smed_0296
SMc03066,Smed_0297
TRm22,noHit
edd,Smed_0298
pgl,Smed_0299
zwf,Smed_0300
ordL,Smed_0301
SMc00762,Smed_0302
SMc00763,Smed_0303
SMc00764,Smed_0304
mcpZ,Smed_0305
SMc00766,Smed_0306
SMc00767,Smed_0307
aceA,Smed_0308
SMc00769,Smed_0309
potF,Smed_0310
potG,Smed_0311
potH,Smed_0312
potI,Smed_0313
SMc00838,Smed_0314
acsA2,Smed_0315
fbpB,Smed_0317
cbrA,Smed_0318
SMc00777,Smed_0319
SMc00778,Smed_0321
SMc00779,Smed_0322
SMc00780,Smed_0323
mmsA,Smed_0324
SMc00782,Smed_0325
SMc00783,Smed_0326
fbpA,Smed_0327
rirA,Smed_0328
dppA1,Smed_0329
dppB1,Smed_0330
dppC1,Smed_0331
dppD1,Smed_0332
dppF1,Smed_0333
SMc00791,Smed_0334
SMc00792,Smed_0335
SMc00793,Smed_0336
SMc00794,Smed_0337
SMc00795,Smed_0339
SMc00796,Smed_0341
SMc00797,Smed_0342
SMc00798,Smed_0347
SMc00799,Smed_0348
SMc00800,Smed_0349
SMc00801,Smed_0350
SMc00802,Smed_0351
SMc00803,Smed_0353
SMc00804,Smed_0354
SMc00805,Smed_0355
SMc00806,Smed_0356
SMc00807,Smed_5608
chrA,Smed_3651
SMc00809,noHit
ppx,Smed_0372
ftsJ,Smed_0373
SMc00812,Smed_0374
SMc00813,Smed_0377
SMc00814,Smed_0378
SMc00815,Smed_0379
SMc00816,Smed_0380
dlhH,Smed_0381
oxyR,Smed_0382
katA,Smed_0383
SMc00820,Smed_0384
SMc00821,Smed_0385
SMc00822,noHit
SMc00823,noHit
SMc00824,Smed_0386
gsh1,Smed_0387
SMc00826,Smed_0388
pit2,Smed_0389
SMc00828,Smed_0390
SMc00829,Smed_0391
SMc00830,Smed_0392
SMc00831,Smed_0393
glcD,Smed_0394
glcE,Smed_0395
glcF,Smed_0396
SMc00925,Smed_0397
SMc00924,Smed_0398
tag,Smed_0399
SMc00922,Smed_0400
SMc00921,Smed_0401
SMc00931,Smed_0402
hisS,Smed_0403
hisZ,Smed_0404
hisG,Smed_0405
gst11,Smed_0406
SMc00915,noHit
SMc00914,Smed_0407
groEL1,Smed_0408
groES1,Smed_0409
SMc00911,Smed_3650
SMc00910,Smed_0410
ribF,Smed_0411
ileS,Smed_0412
SMc00907,Smed_0413
SMc00906,Smed_0414
tadA,Smed_0415
SMc00904,Smed_0416
SMc00902,Smed_0417
SMc00930,Smed_0418
SMc00900,Smed_5432
SMc00899,Smed_5433
kefB1,Smed_0420
pmbA,Smed_0421
SMc00896,Smed_0422
SMc00895,Smed_0423
kdtA,Smed_0424
SMc00893,Smed_0425
lpxK,Smed_0426
TRm11b,Smed_1104
TRm11a,noHit
SMc00933,Smed_0427
mutL,Smed_0428
SMc00888,Smed_0429
SMc00887,Smed_0430
SMc00929,Smed_0431
SMc00886,Smed_0432
SMc00885,Smed_0433
ilvD1,Smed_0434
SMc00883,Smed_0435
dgoA,Smed_0436
dgoK1,Smed_0437
fabG2,Smed_0438
SMc00879,Smed_0439
SMc00878,Smed_0440
SMc00877,Smed_0441
SMc00876,Smed_0442
corA2,Smed_0443
kup1,Smed_0444
SMc00928,Smed_0445
atpI,Smed_0446
atpB,Smed_0447
atpE,Smed_0448
atpF2,Smed_0449
atpF,Smed_0450
rnhB,Smed_0451
SMc00866,Smed_0452
SMc00865,Smed_0453
SMc00864,Smed_0454
moaB,Smed_0455
ispE,Smed_0456
SMc00861,Smed_0457
ispB,Smed_0458
SMc00859,Smed_0459
SMc00858,Smed_0460
sohB,Smed_0461
SMc00856,Smed_0462
glyQ,Smed_0463
SMc00854,noHit
SMc00853,Smed_0464
SMc00852,Smed_0465
glyS,Smed_0466
SMc00850,Smed_0467
SMc00849,Smed_0470
purD,Smed_0471
SMc00992,Smed_0472
SMc00991,Smed_0473
fsr,Smed_0474
SMc00994,Smed_0475
SMc00989,Smed_0476
ubiA,Smed_0477
SMc00987,Smed_0478
SMc00986,Smed_0479
pdxR,Smed_0480
SMc00984,Smed_0481
SMc00983,Smed_0482
SMc00982,Smed_0483
SMc00981,Smed_0484
SMc00980,Smed_0485
SMc00979,Smed_0486
SMc00978,noHit
SMc00977,Smed_0487
SMc00976,Smed_0488
mcpU,Smed_0489
SMc00974,Smed_0490
SMc00973,Smed_0491
dxs,Smed_0492
SMc00971,Smed_0493
xseB,Smed_0495
SMc00969,Smed_0496
SMc00968,Smed_0497
SMc00967,Smed_0498
SMc00966,Smed_0499
SMc00965,Smed_0500
bioB,Smed_0501
bioN,Smed_0502
bioM,Smed_0503
SMc00961,Smed_0504
tldD,Smed_0505
SMc00068,Smed_0506
SMc00001,Smed_0507
pdxH,Smed_0509
SMc00002,Smed_0510
SMc00003,Smed_0511
fabI1,Smed_0512
gpmB,Smed_0513
SMc00070,Smed_0514
aroC,Smed_0515
ribA,Smed_0516
ialB,Smed_0517
ctaC,Smed_0518
ctaD,Smed_0519
ctaB,Smed_0520
SMc00130,Smed_0521
ctaG,Smed_0522
ctaE,Smed_0523
SMc00014,Smed_0525
surf1,Smed_0526
ispH,Smed_0527
thrB,Smed_0528
rnhA1,Smed_0529
SMc00072,Smed_0530
SMc00073,Smed_0531
SMc00019,Smed_0532
SMc00074,Smed_0533
rimJ,Smed_0534
SMc00451,Smed_0535
thrC1,Smed_0536
SMc00020,Smed_0537
SMc00078,Smed_0538
SMc00079,Smed_0539
SMc00080,Smed_0540
ccrM,Smed_0541
SMc00081,Smed_0542
mutY,Smed_0543
SMc00022,Smed_0544
SMc00023,Smed_0545
smc,Smed_0547
ppdK,Smed_0548
SMc00083,Smed_0549
SMc00084,Smed_0550
SMc00026,Smed_0551
SMc00087,Smed_0552
SMc00027,noHit
SMc00028,Smed_0553
SMc00088,Smed_0554
SMc00029,Smed_0555
SMc00089,noHit
cysN,Smed_0557
cysD,Smed_0558
cysH,Smed_0559
SMc00030,Smed_0560
SMc00031,Smed_0561
betA,Smed_0562
betB,Smed_0563
betC,Smed_0564
betI,Smed_0565
SMc00032,Smed_0566
SMc00033,Smed_0567
SMc00034,Smed_0568
SMc00096,Smed_0569
SMc00035,Smed_0570
gst1,Smed_0571
lsrA,Smed_0572
gst2,Smed_0573
SMc00038,Smed_0574
SMc00039,Smed_0575
SMc00098,Smed_0576
SMc00040,Smed_0577
phnA,noHit
SMc00100,Smed_0578
SMc00041,Smed_0579
dkgB,Smed_0580
tam,Smed_0581
dhe,Smed_0582
SMc00104,Smed_0583
SMc00105,Smed_0584
ilvE2,Smed_0585
SMc00106,Smed_0586
sodB,Smed_0587
SMc00107,Smed_0588
SMc00044,Smed_0589
cycF,Smed_0590
cycG,Smed_0591
SMc00108,Smed_0592
SMc00109,Smed_0593
bla,Smed_0594
gcd,Smed_0595
SMc00453,Smed_0596
SMc00112,noHit
SMc00454,noHit
ptrB,Smed_0599
SMc00115,Smed_0602
SMc00048,Smed_0603
SMc00049,Smed_0604
SMc00455,Smed_0605
SMc00116,Smed_0606
msrB1,noHit
phaA2,Smed_0607
phaB2,Smed_0608
phaC2,Smed_0609
phaD2,Smed_0610
phaE2,Smed_0611
phaF2,Smed_0612
phaG2,Smed_0613
mucR,Smed_0614
SMc00118,Smed_0615
SMc00456,Smed_0616
SMc00059,Smed_0617
SMc00060,Smed_0618
SMc00061,Smed_0619
SMc00120,Smed_0620
SMc00062,Smed_0621
SMc00063,Smed_0622
SMc00128,Smed_0624
SMc00457,Smed_0625
pbp,Smed_0626
SMc00064,Smed_0627
SMc00123,Smed_0628
SMc00065,Smed_0629
feuP,Smed_0630
feuQ,Smed_0631
lipA,Smed_0632
cycH,Smed_0633
cycJ,Smed_0634
cycK,Smed_0635
cycL,Smed_0636
degP1,Smed_0637
ragA,Smed_0638
SMc02367,Smed_0639
glnE,Smed_0640
SMc02369,Smed_0641
pepN,Smed_0642
SMc02371,Smed_0643
SMc02372,Smed_0644
SMc02373,Smed_0645
SMc02374,Smed_0646
SMc02375,Smed_0647
SMc02376,Smed_0648
etf,Smed_0649
SMc02378,Smed_0650
SMc02379,Smed_0651
SMc02380,Smed_0652
SMc02381,Smed_0653
SMc02382,Smed_0654
SMc02383,Smed_0655
SMc02384,Smed_0656
SMc02385,Smed_0657
amn,Smed_0658
SMc02387,Smed_0659
SMc02388,Smed_0660
SMc02389,Smed_0661
gst7,Smed_0662
SMc02391,Smed_0663
SMc02392,Smed_0664
hisC4,Smed_0665
SMc02394,noHit
SMc02461,noHit
SMc02396,Smed_0668
SMc02397,Smed_0669
TRm11a,noHit
TRm11b,Smed_1104
SMc02400,noHit
SMc02401,Smed_0671
SMc02403,Smed_0672
dapA1,Smed_0673
smpB,Smed_0674
SMc02406,noHit
SMc02422,noHit
SMc02407,Smed_0675
rpoZ,Smed_0676
relA,Smed_0677
SMc02658,noHit
SMc02657,noHit
SMc02656,Smed_0678
SMc02655,Smed_0679
acpS,Smed_0680
lepB,Smed_0681
rnc,Smed_0682
era,Smed_0683
arsH,Smed_5053
arsC,Smed_5055
aqpS,noHit
arsR,Smed_5057
SMc02646,Smed_0684
cfa2,Smed_0685
SMc02644,Smed_0686
SMc02642,Smed_0687
rkpK,Smed_0688
lpsL,Smed_0689
SMc02639,Smed_0690
SMc02638,Smed_0691
SMc02637,Smed_0692
SMc02636,noHit
recO,Smed_0693
SMc02634,Smed_0694
SMc02633,Smed_0695
SMc02632,Smed_0696
SMc02631,Smed_0697
SMc02603,Smed_0698
nadA,Smed_0699
nadB,Smed_0700
nadC,Smed_0701
sodC,Smed_0702
SMc02661,Smed_0884
SMc02571,noHit
SMc02660,noHit
SMc02565,Smed_0703
SMc02561,Smed_0704
SMc02559,Smed_0705
SMc02558,Smed_0706
SMc02557,Smed_0707
SMc02556,Smed_0708
SMc02555,Smed_0709
SMc02554,Smed_0710
SMc02553,Smed_0711
SMc02552,Smed_0712
cysS,Smed_0713
SMc02550,Smed_0714
SMc02549,Smed_0715
SMc02548,Smed_0716
pip1,Smed_0717
leuA2,Smed_0718
SMc02545,Smed_0719
SMc02544,Smed_0720
SMc02543,Smed_0721
SMc00550,Smed_0722
psd,Smed_0723
pssA,Smed_0724
SMc00553,Smed_0726
purF,Smed_0727
cvpA,Smed_0728
radA,Smed_0729
alr,Smed_0730
SMc00558,Smed_0731
SMc00559,Smed_0732
SMc00560,Smed_0733
dnaB,Smed_0734
SMc00562,Smed_0735
SMc00563,Smed_0736
SMc00564,Smed_0737
rplI,Smed_0738
SMc00566,Smed_0739
rpsR,Smed_0740
rpsF,Smed_0741
SMc00569,Smed_0742
SMc00570,Smed_0743
fabD,Smed_0744
fabG,Smed_0745
acpP,Smed_0746
fabF,Smed_0747
SMc00575,Smed_0748
SMc00576,Smed_0758
gmk,Smed_0759
SMc00578,noHit
ksgA,Smed_0760
pdxA1,Smed_0761
SMc00581,Smed_0762
SMc00582,Smed_0763
SMc00583,Smed_0764
SMc00584,Smed_0765
pepA,Smed_0766
SMc00586,Smed_0767
gal,Smed_0768
SMc00589,Smed_0769
SMc00590,Smed_0770
SMc00591,Smed_0771
SMc00592,Smed_0772
SMc00593,Smed_0773
ligE,Smed_0774
ndk,Smed_0775
SMc00596,Smed_0776
SMc00597,Smed_0777
