SMc02793,Atu0001
SMc00338,noHit
cyaA,noHit
SMc00340,noHit
SMc00341,noHit
rnd2,rnd
TRm20,noHit
SMc00344,noHit
SMc00345,Atu0228
SMc00346,Atu0229
rnk,noHit
SMc00348,noHit
lepA,lepA
SMc00350,noHit
SMc00351,Atu0245
SMc00352,Atu0246
exoD,exoD
SMc00354,ompA
kamA,kamA
genX,poxA
efp,chvH
cfa1,noHit
SMc00359,Atu0251
SMc00360,Atu0252
SMc00361,Atu0253
infC,infC
rpmI,rpmI
rplT,rplT
pheS,pheS
pheT,pheT
SMc00367,Atu8168
SMc00368,noHit
SMc00369,noHit
SMc00370,Atu0261
SMc00371,Atu4136
SMc00372,Atu2042
SMc00373,noHit
SMc00374,Atu0263
SMc00375,Atu0266
SMc00376,noHit
SMc00377,Atu0743
xseA,xseA
SMc00379,noHit
pecS,pecS
pecM,pecM
SMc00382,ampS
gst3,noHit
SMc00384,noHit
SMc00385,Atu0275
SMc00386,Atu0276
tatA,noHit
SMc00388,noHit
SMc00389,noHit
SMc00390,noHit
SMc00391,noHit
SMc00392,noHit
SMc00393,noHit
guaA,guaA
pfs,pfs
SMc00396,Atu0283
SMc00397,noHit
SMc00460,Atu0285
corA1,noHit
SMc00400,Atu0286
SMc00401,Atu0287
SMc00402,Atu0288
sun2,sun
SMc00404,Atu0290
SMc00405,Atu0291
SMc00406,Atu0292
gst4,Atu0293
SMc00408,bacA
SMc00409,noHit
SMc00410,Atu0296
SMc00411,Atu0297
pyrF,pyrF
SMc00413,Atu0299
pmtA,Atu0300
dnaN,dnaN
SMc00416,Atu0302
SMc00418,Atu0303
gshB1,gshB
SMc00420,Atu0311
cysK1,cysK
SMc00422,Atu0313
SMc00423,noHit
SMc00424,noHit
SMc00425,noHit
dnaS,dut
prfC,prfC
SMc00428,noHit
SMc00429,Atu0865
SMc00430,Atu1626
SMc00431,noHit
iolB,iolB
iolE,iolE
iolD,iolD
iolC,iolC
SMc01164,Atu4514
SMc01163,Atu4508
SMc01162,Atu4080
coaBC,dfp
SMc01160,Atu0237
SMc01159,Atu0238
SMc01158,noHit
SMc01157,Atu0990
aarF,aarF
ubiE,ubiE
mutM,mutM
SMc01153,fadB
rpsT,rpsT
dnaA,dnaA
SMc01151,noHit
SMc01150,noHit
SMc01149,Atu8169
SMc01148,noHit
SMc01147,hemN
SMc01146,ham1
SMc01145,Atu2344
rph,rph
hrcA,hrcA
grpE,grpE
ptsN,ptsN
SMc01140,Atu0331
rpoN,rpoN
SMc01138,Atu0333
SMc01137,Atu0334
SMc01136,Atu0335
SMc01135,sppA
ihfB,ihfB
SMc01133,Atu0339
SMc01132,noHit
SMc01131,Atu0340
SMc01130,trmH
lspA,lspA
SMc01128,barA
olsB,Atu0344
tme,Atu3356
mutS,mutS
glnD,glnD
mviN,mviN
SMc01122,Atu0348
trpS,trpS
SMc01120,Atu8118
SMc01119,Atu0351
SMc01118,Atu0352
rimI,Atu0353
plsC,plsC
miaB,miaB
phoH,phoH
SMc01113,Atu0358
tlyC,Atu0359
lnt,lnt
phrR,Atu0361
metK,metK
trmB,Atu0363
SMc01107,Atu0376
SMc01106,hspC
iunH,iunH
mcpX,Atu0373
rbsK,rbsK
SMc01102,Atu0365
def1,def
fmt,fmt
truA,truA
TRm19C,noHit
TRm19N,noHit
SMc01097,Atu0369
dapE,dapE
mexF1,mexF
mexE1,mexE
SMc01093,Atu2481
SMc01092,Atu2480
SMc01091,noHit
deaD,deaD
SMc01089,noHit
dapD,dapD
SMc01731,Atu0372
SMc01730,Atu0378
SMc01729,Atu0379
ada,ada
SMc01727,noHit
argB,argB
SMc01725,Atu1983
msrB3,noHit
SMc01723,Atu1232
SMc01722,cgpA
SMc01721,yidC
rnpA,rnpA
rpmH,rpmH
mcpT,mcpA
SMc01718,noHit
merA1,noHit
SMc01716,Atu0388
SMc01715,noHit
SMc01714,noHit
SMc01713,noHit
lldD,lldA
SMc01711,noHit
SMc01710,noHit
SMc01709,noHit
SMc01708,noHit
SMc01707,noHit
SMc01706,noHit
SMc01705,noHit
SMc01704,noHit
SMc01703,noHit
SMc01702,noHit
SMc01701,Atu4042
putA,putA
SMc02180,noHit
SMc02179,Atu0395
SMc02178,noHit
SMc02177,noHit
cyaD1,noHit
SMc02175,noHit
SMc02174,Atu0680
frcS,noHit
frcR,frcR
frcB,frcB
frcC,frcC
frcA,frcA
frcK,Atu0066
pyrC,pyrC
pyrE,pyrE
frk,scrK
pgi,pgi
fadD,fadD
SMc02161,Atu1000
SMc02160,Atu1739
SMc02159,noHit
SMc02158,noHit
cdsA2,noHit
SMc02156,noHit
int,noHit
SMc02202,noHit
SMc02201,noHit
SMc02189,noHit
SMc02200,noHit
SMc02184,noHit
SMc02199,noHit
SMc02203,noHit
SMc02155,noHit
SMc02154,noHit
SMc04429,noHit
SMc02153,noHit
SMc02152,noHit
SMc02151,noHit
SMc02150,Atu0415
SMc02149,noHit
SMc02148,Atu0418
phoR,Atu0419
pstS,Atu0420
SMc02145,noHit
SMc02144,pstC
pstA,pstA
pstB,pstB
phoU,phoU
phoB,phoB
SMc02139,noHit
argD,argD
argF1,argF
hslO,hslO
apaG,apaG
SMc02134,noHit
metZ,Atu0432
SMc02218,dcd
SMc02219,Atu0479
SMc02220,noHit
SMc02221,noHit
SMc02222,noHit
SMc02223,c1
chaA,chaA
SMc02225,noHit
SMc02226,noHit
fadB,fadB
fadA,Atu0502
SMc02229,acd
SMc02230,Atu0499
SMc02231,noHit
SMc02232,Atu0498
SMc02234,Atu8130
SMc02235,Atu2558
SMc02236,Atu0495
SMc02237,lhr
SMc02238,Atu0493
SMc02239,Atu0492
SMc02240,Atu0490
SMc02241,Atu0489
SMc02242,Atu0488
SMc02243,Atu8129
dinF,dinF
pyrD,pyrD
SMc02246,Atu0485
SMc02247,noHit
SMc02248,Atu0484
SMc02249,Atu0527
mscL,mscL
SMc02251,aspB
galE,galE
pchB,noHit
qxtB,cydB
qxtA,noHit
hipO2,hipO
SMc02257,Atu2363
SMc02258,Atu2364
SMc02259,Atu2365
SMc02260,nocP1
SMc02261,noHit
aspC,noHit
ilvB1,noHit
SMc02264,noHit
secD2,noHit
SMc02266,Atu2557
SMc02267,Atu3423
kpsF3,noHit
rkpJ,noHit
rkpI,noHit
rkpH,noHit
rkpG,noHit
wcbR,noHit
rkpU,pssN
pncA,pncA
pncB,pncB
SMc02277,noHit
SMc02278,noHit
SMc02279,Atu8195
SMc02280,noHit
SMc02281,noHit
SMc02282,noHit
SMc02283,noHit
SMc02284,noHit
cyaE1,noHit
SMc02326,noHit
rnhA2,noHit
SMc02328,noHit
SMc02286,noHit
SMc02287,noHit
TRm11b,noHit
TRm11a,noHit
hsdR,noHit
hsdS,noHit
hsdM,noHit
SMc02297,noHit
TRm1a,Atu4602
TRm1b,noHit
TRm30.4,noHit
TRm30.3,noHit
TRm30.2,noHit
TRm30.1,noHit
SMc02303,noHit
SMc02304,noHit
murA,murA
SMc02306,Atu0538
hisD1,hisD
SMc02308,Atu0536
SMc02309,Atu0535
infA,infA
maf,maf-2
SMc02312,noHit
SMc04431,noHit
SMc04432,noHit
SMc02313,noHit
SMc02314,noHit
SMc02315,noHit
SMc02316,noHit
SMc02317,Atu0898
SMc02318,Atu0104
SMc02319,noHit
SMc02320,noHit
rhaI,Atu3484
rhaD,Atu3485
rhaR,Atu3486
rhaS,Atu3487
rhaT,Atu3488
rhaP,Atu3489
rhaQ,Atu3490
rhaU,Atu3491
rhaK,Atu3492
icpA,Atu0514
SMc03005,Atu0515
cheY1,cheY
cheA,cheA
cheW1,noHit
cheR,cheR
cheB,cheB
cheY2,cheY
cheD,cheD
SMc03013,Atu0522
fliF,fliF
visN,luxR
visR,agrR
SMc03017,Atu0565
flhB,flhB
fliG,fliG
fliN,fliN
fliM,fliM
motA,motA
SMc03023,Atu0559
flgF,flgF
fliI,fliI
SMc03026,Atu0556
flgB,flgB
flgC,flgC
fliE,fliE
flgG,flgG
flgA,flgA
flgI,flgI
motE,Atu0549
flgH,flgH
fliL,fliL
fliP,fliP
flaA,noHit
flaB,noHit
flaD,flaD
flaC,fla
SMc03041,Atu0568
motB,motB
motC,Atu0570
fliK,noHit
SMc03045,Atu0572
rem,Atu0573
flgE,flgE
flgK,flgK
flgL,flgL
flaF,flaF
flbT,flbT
flgD,flgD
fliQ,fliQ
flhA,flhA
fliR,fliR
SMc03056,Atu0583
SMc03071,Atu0584
SMc03072,Atu0585
SMc03057,Atu8132
SMc03058,exoM
folD2,folD
aglR,aglR
aglE,aglE
aglF,aglF
aglG,aglG
aglA,aglA
aglK,aglK
SMc03066,Atu8133
TRm22,noHit
edd,edd
pgl,pgl
zwf,zwf
ordL,ordL
SMc00762,glnA
SMc00763,Atu0603
SMc00764,noHit
mcpZ,noHit
SMc00766,Atu0605
SMc00767,Atu0606
aceA,aceA
SMc00769,Atu0608
potF,potF
potG,potG
potH,potB
potI,Atu0612
SMc00838,noHit
acsA2,acsA
fbpB,Atu0613
cbrA,noHit
SMc00777,noHit
SMc00778,noHit
SMc00779,noHit
SMc00780,Atu0207
mmsA,mmsA
SMc00782,Atu0204
SMc00783,Atu0203
fbpA,Atu0202
rirA,aau3
dppA1,dppA
dppB1,dppB
dppC1,dppC
dppD1,dppD
dppF1,dppF
SMc00791,Atu2130
SMc00792,noHit
SMc00793,Atu0902
SMc00794,noHit
SMc00795,noHit
SMc00796,noHit
SMc00797,noHit
SMc00798,noHit
SMc00799,Atu4137
SMc00800,noHit
SMc00801,noHit
SMc00802,noHit
SMc00803,Atu0853
SMc00804,noHit
SMc00805,noHit
SMc00806,noHit
SMc00807,noHit
chrA,noHit
SMc00809,noHit
ppx,Atu0619
ftsJ,ftsJ
SMc00812,Atu4267
SMc00813,Atu0621
SMc00814,Atu0622
SMc00815,guaB
SMc00816,Atu8134
dlhH,dlhH
oxyR,oxyR
katA,noHit
SMc00820,Atu0654
SMc00821,Atu8135
SMc00822,noHit
SMc00823,noHit
SMc00824,noHit
gsh1,gsh1
SMc00826,Atu0657
pit2,pit
SMc00828,Atu0659
SMc00829,Atu0662
SMc00830,Atu0663
SMc00831,Atu0664
glcD,glcD
glcE,glcE
glcF,glcF
SMc00925,noHit
SMc00924,Atu0669
tag,tag
SMc00922,noHit
SMc00921,noHit
SMc00931,Atu0681
hisS,hisS-1
hisZ,hisS-2
hisG,hisG
gst11,noHit
SMc00915,noHit
SMc00914,Atu1013
groEL1,groEL
groES1,groES
SMc00911,noHit
SMc00910,Atu0684
ribF,ribF
ileS,ileS
SMc00907,Atu0687
SMc00906,noHit
tadA,codA
SMc00904,rluB
SMc00902,Atu0690
SMc00930,Atu0691
SMc00900,noHit
SMc00899,noHit
kefB1,kefB
pmbA,Atu0693
SMc00896,Atu0694
SMc00895,Atu8086
kdtA,kdtA
SMc00893,Atu0696
lpxK,lpxK
TRm11b,noHit
TRm11a,noHit
SMc00933,Atu0698
mutL,mutL
SMc00888,Atu0700
SMc00887,Atu0701
SMc00929,noHit
SMc00886,noHit
SMc00885,Atu4165
ilvD1,noHit
SMc00883,Atu0702
dgoA,kdgA
dgoK1,dgoK
fabG2,fabG
SMc00879,kdgR
SMc00878,Atu0707
SMc00877,noHit
SMc00876,Atu0709
corA2,corA
kup1,Atu0711
SMc00928,Atu0712
atpI,atpI
atpB,atpA
atpE,atpC
atpF2,atpB
atpF,atpF
rnhB,rnhB
SMc00866,Atu0721
SMc00865,Atu0722
SMc00864,noHit
moaB,moaB
ispE,ipk
SMc00861,Atu0633
ispB,ispB
SMc00859,Atu0635
SMc00858,Atu0636
sohB,sohB
SMc00856,Atu0638
glyQ,glyQ
SMc00854,noHit
SMc00853,Atu0641
SMc00852,Atu0643
glyS,glyS
SMc00850,Atu0645
SMc00849,Atu8084
purD,purD
SMc00992,noHit
SMc00991,noHit
fsr,fsr
SMc00994,Atu3153
SMc00989,Atu0650
ubiA,ubiA
SMc00987,Atu0652
SMc00986,Atu2524
pdxR,Atu0723
SMc00984,Atu0724
SMc00983,Atu0725
SMc00982,Atu0726
SMc00981,Atu0727
SMc00980,noHit
SMc00979,noHit
SMc00978,Atu0731
SMc00977,mmgC
SMc00976,Atu0733
mcpU,mcpA
SMc00974,Atu0735
SMc00973,Atu0736
dxs,dxs
SMc00971,Atu0746
xseB,xseB
SMc00969,Atu0748
SMc00968,Atu5213
SMc00967,noHit
SMc00966,noHit
SMc00965,noHit
bioB,bioY
bioN,Atu0750
bioM,Atu0751
SMc00961,Atu0752
tldD,tldD
SMc00068,Atu2321
SMc00001,noHit
pdxH,pdxH
SMc00002,Atu0759
SMc00003,dnaJ
fabI1,fabI
gpmB,gpmB
SMc00070,Atu0755
aroC,aroC
ribA,ribA
ialB,noHit
ctaC,coxB
ctaD,coxA
ctaB,ctaB
SMc00130,Atu8013
ctaG,coxG
ctaE,coxC
SMc00014,Atu0772
surf1,surf1
ispH,lytB
thrB,thrB
rnhA1,Atu0776
SMc00072,Atu0779
SMc00073,Atu0780
SMc00019,Atu0781
SMc00074,Atu0784
rimJ,rimJ
SMc00451,Atu0786
thrC1,thrC
SMc00020,Atu0788
SMc00078,braC
SMc00079,Atu0790
SMc00080,Atu1335
ccrM,ccrM
SMc00081,Atu0797
mutY,mutY
SMc00022,Atu8137
SMc00023,Atu0800
smc,smc
ppdK,ppdK
SMc00083,noHit
SMc00084,noHit
SMc00026,Atu0806
SMc00087,Atu0807
SMc00027,noHit
SMc00028,noHit
SMc00088,Atu0813
SMc00029,noHit
SMc00089,noHit
cysN,cysN
cysD,Atu0817
cysH,cysH
SMc00030,noHit
SMc00031,noHit
betA,betA
betB,betB
betC,betC
betI,betI
SMc00032,noHit
SMc00033,Atu0826
SMc00034,qor
SMc00096,Atu8139
SMc00035,Atu0834
gst1,gst
lsrA,noHit
gst2,gst
SMc00038,Atu4692
SMc00039,noHit
SMc00098,ohrR
SMc00040,ohr
phnA,phnA
SMc00100,Atu0860
SMc00041,Atu0862
dkgB,Atu0867
tam,tam
dhe,noHit
SMc00104,noHit
SMc00105,adh
ilvE2,ilvE
SMc00106,noHit
sodB,sodBI
SMc00107,Atu0878
SMc00044,Atu0879
cycF,Atu0881
cycG,Atu0882
SMc00108,Atu0887
SMc00109,Atu0888
bla,noHit
gcd,gcd
SMc00453,Atu0945
SMc00112,noHit
SMc00454,noHit
ptrB,ptrB
SMc00115,Atu0903
SMc00048,Atu0904
SMc00049,dskA
SMc00455,Atu0906
SMc00116,noHit
msrB1,Atu0908
phaA2,mnhA
phaB2,mnhB
phaC2,mnhC
phaD2,mnhD
phaE2,mnhE
phaF2,mnhF
phaG2,mnhG
mucR,ros
SMc00118,Atu0919
SMc00456,Atu0920
SMc00059,Atu0921
SMc00060,Atu8087
SMc00061,Atu0922
SMc00120,Atu0923
SMc00062,noHit
SMc00063,noHit
SMc00128,Atu0925
SMc00457,Atu0926
pbp,Atu0931
SMc00064,Atu0932
SMc00123,noHit
SMc00065,Atu8142
feuP,Atu0970
feuQ,Atu0971
lipA,lipA
cycH,cycH
cycJ,cycJ
cycK,cycK
cycL,cycL
degP1,dop
ragA,ragA
SMc02367,ragB
glnE,glnE
SMc02369,Atu0982
pepN,pepN
SMc02371,Atu0985
SMc02372,noHit
SMc02373,noHit
SMc02374,noHit
SMc02375,Atu0987
SMc02376,Atu0988
etf,Atu0994
SMc02378,Atu4046
SMc02379,Atu4045
SMc02380,Atu0996
SMc02381,Atu0997
SMc02382,Atu1001
SMc02383,noHit
SMc02384,Atu2222
SMc02385,noHit
amn,amn
SMc02387,Atu1058
SMc02388,noHit
SMc02389,noHit
gst7,Atu3585
SMc02391,Atu1009
SMc02392,Atu8144
hisC4,hisC
SMc02394,noHit
SMc02461,noHit
SMc02396,noHit
SMc02397,int
TRm11a,noHit
TRm11b,noHit
SMc02400,Atu1020
SMc02401,noHit
SMc02403,Atu1022
dapA1,noHit
smpB,smpB
SMc02406,noHit
SMc02422,noHit
SMc02407,Atu1028
rpoZ,rnpO
relA,Atu1030
SMc02658,Atu3014
SMc02657,Atu3013
SMc02656,Atu1031
SMc02655,Atu1032
acpS,acpS
lepB,sipf
rnc,rnc
era,Atu1036
arsH,Atu5322
arsC,arsC
aqpS,noHit
arsR,Atu1492
SMc02646,noHit
cfa2,cfa
SMc02644,Atu0648
SMc02642,noHit
rkpK,ugdH
lpsL,lspL
SMc02639,noHit
SMc02638,noHit
SMc02637,noHit
SMc02636,noHit
recO,recO
SMc02634,Atu4415
SMc02633,Atu1044
SMc02632,Atu1043
SMc02631,Atu1042
SMc02603,Atu1040
nadA,nadA
nadB,nadB
nadC,nadC
sodC,noHit
SMc02661,noHit
SMc02571,noHit
SMc02660,noHit
SMc02565,Atu4099
SMc02561,Atu1051
SMc02559,Atu1052
SMc02558,gcvT
SMc02557,Atu1054
SMc02556,Atu1055
SMc02555,Atu1056
SMc02554,nudF
SMc02553,Atu1059
SMc02552,noHit
cysS,cysS
SMc02550,Atu1071
SMc02549,Atu1070
SMc02548,noHit
pip1,pip
leuA2,noHit
SMc02545,Atu1068
SMc02544,Atu1066
SMc02543,noHit
SMc00550,Atu1064
psd,psd
pssA,pssA
SMc00553,Atu1074
purF,purF
cvpA,cvpA
radA,radA
alr,alr
SMc00558,Atu1081
SMc00559,Atu1082
SMc00560,Atu1083
dnaB,dnaC
SMc00562,slyA
SMc00563,Atu1086
SMc00564,Atu1087
rplI,rplI
SMc00566,Atu1089
rpsR,rpsR
rpsF,rpsF
SMc00569,noHit
SMc00570,Atu1093
fabD,fabD
fabG,fabG
acpP,acpP
fabF,fabF
SMc00575,Atu1099
SMc00576,Atu1100
gmk,gmk
SMc00578,noHit
ksgA,ksgA
pdxA1,pdxA
SMc00581,Atu1105
SMc00582,ostA
SMc00583,Atu1107
SMc00584,Atu1108
pepA,pepA
SMc00586,holC
gal,Atu1113
SMc00589,noHit
SMc00590,Atu1118
SMc00591,noHit
SMc00592,noHit
SMc00593,Atu3720
ligE,ligE
ndk,ndk
SMc00596,Atu1123
SMc00597,Atu1124
SMc00598,Atu1125
moaE,moaE
moaD,moaD
pgsA,pgsA
uvrC,uvrC
SMc00603,Atu1130
ropB1,ropB
SMc00605,Atu1132
SMc00606,rns
SMc00607,noHit
SMc00608,Atu1135
dmsA,Atu1136
SMc00610,Atu1137
SMc00611,lpiA
SMc00612,noHit
acvB,noHit
purN,purN
purM,garS
perM,Atu1142
SMc00617,Atu1143
ppk,ppk
ppx,ppx
SMc00620,Atu1148
cyaB,cya
rnd,rnd
SMc01754,noHit
SMc01755,Atu1152
aspS,Atu1153
SMc01757,noHit
groEL4,noHit
SMc01759,noHit
SMc01760,Atu1157
parC,parC
SMc01762,noHit
SMc01763,noHit
ate,Atu1159
SMc01765,Atu1160
hemB,hemB
SMc01767,Atu1162
SMc01768,mucS
SMc01769,Atu1164
glyA1,glyA
nrdR,Atu1166
ribD,ribD*
ribE,ribc
SMc01774,noHit
SMc01775,Atu2437
SMc01776,noHit
ribH1,ribH
nusB,nusB
SMc01779,Atu1173
hppA,rrpP
SMc01781,Atu1175
SMc01782,Atu1176
SMc01783,Atu1177
plsX,plsX
fabH,fabH
himA,ihfA
SMc01787,Atu1181
SMc01788,Atu1640
SMc01789,noHit
SMc01902,noHit
SMc01790,noHit
SMc01791,Atu1235
SMc01792,Atu1236
SMc01793,Atu1237
SMc01794,gumB
SMc01795,exoP
SMc01796,Atu1240
SMc01797,attR
SMc01798,Atu2322
SMc01799,Atu1241
SMc01800,cox15
argC,argC
speB,speB
rpsI,rpsI
rplM,rplM
SMc01805,noHit
SMc01806,noHit
SMc01807,Atu1248
SMc01808,Atu1250
SMc01809,cysD
SMc01810,Atu1253
TRm20N,noHit
TRm20C,noHit
SMc01812,Atu1256
SMc01813,Atu2485
SMc04448,Atu1630
clpP1,clpP
clpX,clpX
lon,lon
hupB,hupA
SMc01907,Atu1263
SMc01908,noHit
SMc01909,noHit
SMc01910,noHit
SMc01911,Atu4368
nuoA1,nuoA
nuoB1,nuoB
nuoC1,nuoC
nuoD1,nouD
SMc01916,noHit
nuoE1,nuoE
nuoF1,nuoF
SMc01919,noHit
nuoG1,nuoG
nuoH,nuoH
nuoI,nuoI
nuoJ,nuoJ
nuoK1,nuoK
nuoL,nuoL
nuoM,nuoM
nuoN,nuoN
birA,birA
SMc01929,Atu1285
SMc01930,gloA
SMc01931,Atu1286
SMc01932,noHit
SMc01933,noHit
proS,proS
SMc01935,Atu1289
SMc01376,lolD
dnaE1,dnaE
SMc01374,Atu1293
dinB1,dinP
SMc01372,Atu8152
divK,divK
pleD,pleD
rpmG,rpmG
SMc01368,Atu1300
SMc01367,Atu1301
SMc01366,Atu1302
rnr,rnr
topA,topA
smf,Atu1305
SMc01362,Atu1306
SMc01361,pyrC
pyrB,pyrB
aidB,acd
SMc01358,noHit
SMc01357,noHit
SMc01356,Atu8155
SMc01355,Atu1316
SMc01354,Atu1317
gatC,gatC
gatA,gatA
SMc01351,Atu1321
gatB,gatB
SMc01349,Atu1325
SMc01348,Atu1327
SMc01347,Atu1328
aat,aat
accC,accC
accB,accB
aroQ,aroQ
SMc01342,Atu1333
SMc01341,noHit
SMc01340,aspB
TRm11a,noHit
TRm11b,noHit
SMc01337,noHit
rne,rne
amiC,amiA
mrcA1,mrcA
prfB,prfB
SMc01332,Atu1344
ppnK,Atu1345
SMc04435,Atu0764
SMc01330,noHit
azoR,acpD
SMc01328,Atu8185
SMc01327,Atu1993
tufB,tuf
SMc01325,noHit
SMc01324,galE
secE,secE
nusG,nusG
rplK,rplK
rplA,rplA
rplJ,rplJ
rplL,rplL
rpoB,rpoB
rpoC,rpoC
SMc01315,Atu1952
rpsL,rpsL
rpsG,rpsG
fusA1,fusA
tufA,noHit
rpsJ,rpsJ
rplC,rplC
rplD,rplD
rplW,rplW
rplB,rplB
rpsS,rpsS
rplV,rplV
rpsC,rpsC
rplP,rplP
rpmC,rpmC
rpsQ,rpsQ
rplN,rplN
rplX,rplX
rplE,rplE
rpsN,rpsN
rpsH,rpsH
rplF,rplF
rplR,rplR
rpsE,rpsE
rpmD,rpmD
rplO,rplO
secY,prlA
adk,adk
rpsM,rpsM
rpsK,rpsK
rpoA,rpoA
rplQ,rplQ
SMc01282,Atu1920
SMc01281,Atu1919
degP3,Atu1915
SMc01279,Atu1914
sugE,noHit
SMc01277,Atu1473
gph2,Atu1472
rluC,rluC
crcB,crcB
SMc01273,Atu1476
SMc01272,Atu1477
SMc01271,Atu1478
adhC1,adhC
SMc01269,noHit
lipB,lipB
SMc01267,noHit
SMc01266,noHit
SMc01265,noHit
SMc01264,Atu4134
SMc01263,noHit
def2,def
SMc01261,mgtE
