SMc02793,NGR_c33500
SMc02877,NGR_c35330
nagA,nagA
cutC,NGR_c35350
SMc02880,NGR_c35360
SMc02881,NGR_c35370
SMc02882,NGR_c35380
SMc02883,NGR_c35390
SMc02884,NGR_c35400
msrA1,msrA2
SMc02886,NGR_c35420
SMc02887,noHit
SMc02888,noHit
SMc02889,noHit
SMc02890,noHit
SMc02891,noHit
SMc02892,NGR_b03450
SMc02893,NGR_b03440
SMc02894,NGR_c35470
SMc02895,NGR_c35480
ilvE1,ilvE
SMc02897,NGR_c35500
kdsB,kdsB
pheA,pheA
SMc02900,NGR_c35530
SMc02901,NGR_c35540
SMc02902,NGR_c35550
SMc02903,NGR_c35560
SMc02904,NGR_c35570
dnaX,dnaX
SMc02906,NGR_c35590
SMc02907,noHit
recR,recA1
mltB1,NGR_c35610
SMc02910,NGR_c35640
SMc02911,NGR_c35650
nusA,nusA
SMc02913,NGR_c35670
infB,infB
rbfA,rbfA
truB,truB
SMc00322,NGR_c35710
rpsO,NGR_c35720
pnp,NGR_c35730
rsmC,NGR_c35740
fabI2,fabI2
fabB,fabB
fabA,fabA
irr,NGR_c35780
SMc00330,NGR_c35790
SMc00331,NGR_c35800
SMc00332,NGR_c35820
aroA,aroA
cmk,NGR_c35850
rpsA,NGR_c35860
SMc00336,NGR_c35880
SMc00337,NGR_c35890
SMc00338,noHit
cyaA,NGR_c35920
SMc00340,NGR_c35930
SMc00341,NGR_c35940
rnd2,NGR_c35950
TRm20,noHit
SMc00344,noHit
SMc00345,NGR_c35970
SMc00346,NGR_c35980
rnk,noHit
SMc00348,NGR_c36050
lepA,lepA
SMc00350,NGR_c36070
SMc00351,NGR_c36080
SMc00352,NGR_c36090
exoD,exoD
SMc00354,NGR_c36120
kamA,NGR_c36130
genX,NGR_c36140
efp,NGR_c36150
cfa1,NGR_c36160
SMc00359,NGR_c36170
SMc00360,NGR_c36180
SMc00361,NGR_c36190
infC,NGR_c36200
rpmI,NGR_c36250
rplT,NGR_c36260
pheS,pheS
pheT,pheT
SMc00367,NGR_c36300
SMc00368,noHit
SMc00369,noHit
SMc00370,NGR_b04810
SMc00371,NGR_c36310
SMc00372,NGR_c36320
SMc00373,NGR_c36330
SMc00374,NGR_c36340
SMc00375,NGR_c36350
SMc00376,noHit
SMc00377,noHit
xseA,xseA
SMc00379,NGR_c36370
pecS,NGR_c36390
pecM,NGR_c36400
SMc00382,NGR_c36410
gst3,NGR_c36420
SMc00384,NGR_c36430
SMc00385,NGR_c36440
SMc00386,NGR_c36450
tatA,NGR_c36470
SMc00388,noHit
SMc00389,NGR_c36490
SMc00390,noHit
SMc00391,noHit
SMc00392,NGR_b00470
SMc00393,noHit
guaA,guaA
pfs,NGR_c36530
SMc00396,NGR_c36540
SMc00397,NGR_c36550
SMc00460,NGR_c36560
corA1,corA
SMc00400,NGR_c36580
SMc00401,NGR_c36590
SMc00402,NGR_c36600
sun2,NGR_c36610
SMc00404,NGR_c36620
SMc00405,NGR_c36630
SMc00406,NGR_c36640
gst4,NGR_c36650
SMc00408,NGR_c36660
SMc00409,NGR_c36670
SMc00410,NGR_c36680
SMc00411,NGR_c36690
pyrF,pyrF
SMc00413,NGR_c36710
pmtA,NGR_c36740
dnaN,dnaN
SMc00416,NGR_c36760
SMc00418,NGR_c36770
gshB1,gshB2
SMc00420,NGR_c36840
cysK1,cysK1
SMc00422,noHit
SMc00423,NGR_c36860
SMc00424,NGR_c36890
SMc00425,NGR_c36900
dnaS,NGR_c36910
prfC,NGR_c36920
SMc00428,NGR_c36950
SMc00429,NGR_c36960
SMc00430,NGR_c36980
SMc00431,NGR_c36990
iolB,iolB
iolE,NGR_c37010
iolD,NGR_c37020
iolC,NGR_c37030
SMc01164,NGR_c37040
SMc01163,NGR_c37050
SMc01162,NGR_c37060
coaBC,NGR_c37070
SMc01160,noHit
SMc01159,trxB2
SMc01158,NGR_b09640
SMc01157,NGR_b13130
aarF,NGR_c37120
ubiE,ubiE3
mutM,mutM
SMc01153,NGR_c37150
rpsT,NGR_c37160
dnaA,dnaA
SMc01151,NGR_c00020
SMc01150,NGR_c00030
SMc01149,NGR_c00040
SMc01148,NGR_c00050
SMc01147,NGR_c00070
SMc01146,NGR_c00080
SMc01145,NGR_c00090
rph,NGR_c00100
hrcA,hrcA
grpE,grpE
ptsN,NGR_c00150
SMc01140,NGR_c00160
rpoN,NGR_c00170
SMc01138,NGR_c00180
SMc01137,NGR_c00190
SMc01136,NGR_c00200
SMc01135,sppA
ihfB,NGR_c00220
SMc01133,NGR_c00230
SMc01132,NGR_c00240
SMc01131,NGR_c00250
SMc01130,spoU
lspA,NGR_c00270
SMc01128,NGR_c00280
olsB,NGR_c00290
tme,NGR_c00300
mutS,mutS
glnD,glnD
mviN,mviN
SMc01122,NGR_c00340
trpS,trpS
SMc01120,NGR_c00360
SMc01119,NGR_c00370
SMc01118,NGR_c00380
rimI,NGR_c00390
plsC,NGR_c00400
miaB,miaB
phoH,phoH
SMc01113,NGR_c00430
tlyC,NGR_c00440
lnt,NGR_c00460
phrR,NGR_c00470
metK,metK
trmB,trmB
SMc01107,NGR_c00500
SMc01106,hspH
iunH,NGR_c00520
mcpX,NGR_c00530
rbsK,NGR_c00540
SMc01102,NGR_c00550
def1,NGR_c00570
fmt,NGR_c00580
truA,truA
TRm19C,noHit
TRm19N,noHit
SMc01097,NGR_c00600
dapE,dapE
mexF1,NGR_c00620
mexE1,mexE
SMc01093,NGR_c00640
SMc01092,NGR_c00650
SMc01091,noHit
deaD,NGR_c00660
SMc01089,NGR_c00670
dapD,dapD
SMc01731,NGR_c00690
SMc01730,NGR_c00700
SMc01729,NGR_c00710
ada,noHit
SMc01727,NGR_c00720
argB,argB
SMc01725,NGR_c00760
msrB3,NGR_c00780
SMc01723,NGR_c00790
SMc01722,NGR_c00800
SMc01721,NGR_c00820
rnpA,rnpA
rpmH,NGR_c00840
mcpT,NGR_c00850
SMc01718,NGR_c00860
merA1,NGR_c00870
SMc01716,NGR_c00880
SMc01715,NGR_c29620
SMc01714,NGR_c29610
SMc01713,noHit
lldD,noHit
SMc01711,noHit
SMc01710,noHit
SMc01709,noHit
SMc01708,noHit
SMc01707,noHit
SMc01706,noHit
SMc01705,NGR_c00900
SMc01704,NGR_c00940
SMc01703,NGR_c00950
SMc01702,NGR_c00960
SMc01701,NGR_c00970
putA,putA1
SMc02180,NGR_c00990
SMc02179,NGR_c01000
SMc02178,NGR_c01020
SMc02177,NGR_c01030
cyaD1,NGR_c01040
SMc02175,NGR_c01050
SMc02174,NGR_c01060
frcS,NGR_c01080
frcR,NGR_c01090
frcB,NGR_c01100
frcC,NGR_c01110
frcA,NGR_c01120
frcK,NGR_c01130
pyrC,pyrC
pyrE,pyrE
frk,NGR_c01160
pgi,pgi
fadD,fadD
SMc02161,noHit
SMc02160,NGR_c01190
SMc02159,NGR_c01210
SMc02158,NGR_c01220
cdsA2,NGR_c01230
SMc02156,noHit
int,NGR_c01260
SMc02202,NGR_c01270
SMc02201,NGR_c01280
SMc02189,NGR_c01310
SMc02200,NGR_c01320
SMc02184,NGR_a04070
SMc02199,noHit
SMc02203,noHit
SMc02155,noHit
SMc02154,noHit
SMc04429,noHit
SMc02153,noHit
SMc02152,noHit
SMc02151,noHit
SMc02150,NGR_c01400
SMc02149,NGR_c01410
SMc02148,NGR_c01420
phoR,phoR
pstS,NGR_c01440
SMc02145,noHit
SMc02144,NGR_c01450
pstA,NGR_c01460
pstB,NGR_c01470
phoU,phoU
phoB,phoB
SMc02139,NGR_c01500
argD,argD
argF1,argF
hslO,hslO
apaG,apaG
SMc02134,NGR_c01550
metZ,metZ
SMc02218,dcd
SMc02219,NGR_c01600
SMc02220,noHit
SMc02221,NGR_c01610
SMc02222,NGR_c01620
SMc02223,NGR_c01630
chaA,NGR_a03490
SMc02225,NGR_c01640
SMc02226,noHit
fadB,fadB
fadA,fadA
SMc02229,NGR_c01690
SMc02230,NGR_c01700
SMc02231,noHit
SMc02232,NGR_c01710
SMc02234,NGR_c01720
SMc02235,NGR_c01730
SMc02236,NGR_c01740
SMc02237,NGR_c01750
SMc02238,NGR_b18100
SMc02239,noHit
SMc02240,NGR_c01760
SMc02241,NGR_c01770
SMc02242,NGR_c01780
SMc02243,NGR_c01790
dinF,dinF
pyrD,pyrD
SMc02246,NGR_c01820
SMc02247,NGR_c01830
SMc02248,NGR_c01840
SMc02249,NGR_c01850
mscL,NGR_c01860
SMc02251,NGR_c01870
galE,galE
pchB,NGR_c01890
qxtB,NGR_c01900
qxtA,NGR_c01910
hipO2,NGR_c01920
SMc02257,NGR_c01930
SMc02258,NGR_c01940
SMc02259,NGR_c01950
SMc02260,NGR_c01960
SMc02261,NGR_c01970
aspC,NGR_c01980
ilvB1,NGR_c01990
SMc02264,NGR_c02000
secD2,secD1
SMc02266,NGR_c02030
SMc02267,noHit
kpsF3,kpsF
rkpJ,NGR_c02050
rkpI,NGR_c02060
rkpH,NGR_c02070
rkpG,NGR_c02080
wcbR,NGR_c02090
rkpU,NGR_c02100
pncA,NGR_c02110
pncB,pncB
SMc02277,NGR_c02130
SMc02278,NGR_c02140
SMc02279,noHit
SMc02280,noHit
SMc02281,noHit
SMc02282,noHit
SMc02283,noHit
SMc02284,noHit
cyaE1,NGR_b08240
SMc02326,noHit
rnhA2,noHit
SMc02328,noHit
SMc02286,noHit
SMc02287,NGR_a02590
TRm11b,NGR_b05860
TRm11a,NGR_b05870
hsdR,noHit
hsdS,noHit
hsdM,noHit
SMc02297,noHit
TRm1a,noHit
TRm1b,noHit
TRm30.4,NGR_a02040
TRm30.3,NGR_a02230
TRm30.2,NGR_a02220
TRm30.1,noHit
SMc02303,noHit
SMc02304,NGR_c02210
murA,murA
SMc02306,NGR_c02230
hisD1,hisD2
SMc02308,NGR_c02250
SMc02309,NGR_c02260
infA,NGR_c02270
maf,NGR_c02280
SMc02312,NGR_c02290
SMc04431,noHit
SMc04432,noHit
SMc02313,noHit
SMc02314,noHit
SMc02315,noHit
SMc02316,noHit
SMc02317,noHit
SMc02318,NGR_c02390
SMc02319,NGR_c02400
SMc02320,NGR_c02410
rhaI,NGR_c02420
rhaD,NGR_c02430
rhaR,NGR_c02440
rhaS,NGR_c02450
rhaT,rbsA2
rhaP,NGR_c02470
rhaQ,NGR_c02480
rhaU,NGR_c02490
rhaK,NGR_c02500
icpA,NGR_c02510
SMc03005,NGR_c02520
cheY1,NGR_c02530
cheA,cheA2
cheW1,cheW1
cheR,cheR
cheB,cheB2
cheY2,NGR_c02580
cheD,cheD
SMc03013,NGR_c02600
fliF,fliF
visN,NGR_c02620
visR,NGR_c02630
SMc03017,NGR_c02640
flhB,flhB
fliG,fliG
fliN,fliN
fliM,fliM
motA,motA
SMc03023,NGR_c02700
flgF,flgF
fliI,fliI
SMc03026,NGR_c02730
flgB,flgB
flgC,flgC
fliE,fliE
flgG,flgG
flgA,NGR_c02780
flgI,NGR_c02790
motE,NGR_c02800
flgH,flgH
fliL,fliL
fliP,fliP
flaA,noHit
flaB,noHit
flaD,noHit
flaC,NGR_c02870
SMc03041,NGR_c02880
motB,motB
motC,motC
fliK,motD
SMc03045,NGR_c02920
rem,NGR_c02930
flgE,flgE
flgK,flgK
flgL,flgL
flaF,flaF
flbT,flbT
flgD,flgD
fliQ,fliQ
flhA,flhA
fliR,fliR
SMc03056,NGR_c03030
SMc03071,NGR_c03040
SMc03072,NGR_c03050
SMc03057,NGR_c03060
SMc03058,NGR_c03070
folD2,folD2
aglR,NGR_c03090
aglE,NGR_c03100
aglF,NGR_c03110
aglG,NGR_c03120
aglA,aglA1
aglK,NGR_c03140
SMc03066,NGR_c03150
TRm22,NGR_b14590
edd,NGR_c03170
pgl,NGR_c03180
zwf,NGR_c03190
ordL,ordL
SMc00762,glnA1
SMc00763,NGR_c03220
SMc00764,noHit
mcpZ,NGR_c03230
SMc00766,NGR_c03240
SMc00767,NGR_c03250
aceA,noHit
SMc00769,NGR_c03270
potF,NGR_c03280
potG,NGR_c03290
potH,potH
potI,potI
SMc00838,NGR_c03320
acsA2,acsA
fbpB,NGR_c03340
cbrA,NGR_c03350
SMc00777,NGR_c03360
SMc00778,NGR_c00140
SMc00779,NGR_c00130
SMc00780,NGR_c03380
mmsA,NGR_c03390
SMc00782,NGR_c03410
SMc00783,NGR_c03420
fbpA,NGR_c03440
rirA,NGR_c03450
dppA1,dppA
dppB1,dppB
dppC1,dppC
dppD1,dppD
dppF1,dppF
SMc00791,NGR_c03510
SMc00792,NGR_c03520
SMc00793,NGR_c03530
SMc00794,NGR_c03540
SMc00795,NGR_c03560
SMc00796,NGR_c03580
SMc00797,NGR_c03590
SMc00798,NGR_c03600
SMc00799,NGR_c03610
SMc00800,NGR_c03620
SMc00801,noHit
SMc00802,NGR_c03640
SMc00803,NGR_c03670
SMc00804,NGR_c03680
SMc00805,NGR_c03690
SMc00806,noHit
SMc00807,noHit
chrA,NGR_c04110
SMc00809,noHit
ppx,NGR_c03720
ftsJ,ftsJ
SMc00812,NGR_c03740
SMc00813,NGR_c03750
SMc00814,NGR_c03760
SMc00815,NGR_c03770
SMc00816,NGR_c03780
dlhH,NGR_c03800
oxyR,NGR_c03810
katA,noHit
SMc00820,NGR_c03820
SMc00821,NGR_c03830
SMc00822,noHit
SMc00823,noHit
SMc00824,NGR_c03840
gsh1,NGR_c03850
SMc00826,NGR_c03860
pit2,NGR_c03870
SMc00828,NGR_c03880
SMc00829,NGR_c03890
SMc00830,NGR_c03900
SMc00831,NGR_c03910
glcD,glcD2
glcE,glcE2
glcF,NGR_c03950
SMc00925,NGR_c03960
SMc00924,NGR_c03970
tag,NGR_c03980
SMc00922,noHit
SMc00921,NGR_c03990
SMc00931,NGR_c04000
hisS,NGR_c04010
hisZ,NGR_c04020
hisG,hisG
gst11,NGR_c04040
SMc00915,noHit
SMc00914,NGR_c04050
groEL1,groEL1
groES1,NGR_c04090
SMc00911,NGR_c04100
SMc00910,NGR_c04120
ribF,noHit
ileS,ileS
SMc00907,NGR_c04150
SMc00906,NGR_c04160
tadA,NGR_c04170
SMc00904,NGR_c04180
SMc00902,NGR_c04190
SMc00930,NGR_c04200
SMc00900,NGR_b10110
SMc00899,NGR_b10120
kefB1,kefB
pmbA,NGR_c04220
SMc00896,NGR_c04230
SMc00895,NGR_c04240
kdtA,kdtA
SMc00893,NGR_c04260
lpxK,lpxK
TRm11b,NGR_b05860
TRm11a,NGR_b05870
SMc00933,NGR_c04280
mutL,mutL
SMc00888,NGR_c04300
SMc00887,NGR_c04310
SMc00929,NGR_b23490
SMc00886,NGR_b23480
SMc00885,NGR_c04320
ilvD1,NGR_c04330
SMc00883,NGR_c04340
dgoA,dgoA
dgoK1,dgoK
fabG2,NGR_c04370
SMc00879,NGR_c04380
SMc00878,NGR_c04390
SMc00877,NGR_c04400
SMc00876,NGR_c04410
corA2,NGR_c04430
kup1,NGR_c04440
SMc00928,NGR_c04450
atpI,NGR_c04460
atpB,atpB
atpE,NGR_c04480
atpF2,atpF2
atpF,atpF1
rnhB,rnhB
SMc00866,NGR_c04530
SMc00865,NGR_c04540
SMc00864,NGR_c10060
moaB,NGR_c04550
ispE,ispE
SMc00861,NGR_c04570
ispB,ispB
SMc00859,NGR_c04590
SMc00858,NGR_c04600
sohB,NGR_c04610
SMc00856,NGR_c04620
glyQ,glyQ
SMc00854,noHit
SMc00853,NGR_c04650
SMc00852,NGR_c04660
glyS,glyS
SMc00850,NGR_c04720
SMc00849,NGR_c04730
purD,purD
SMc00992,NGR_c04750
SMc00991,NGR_c04760
fsr,NGR_c04770
SMc00994,NGR_c04780
SMc00989,noHit
ubiA,NGR_c04790
SMc00987,NGR_c04800
SMc00986,NGR_c04810
pdxR,NGR_c04820
SMc00984,NGR_c04830
SMc00983,NGR_c04840
SMc00982,NGR_c04860
SMc00981,NGR_c04870
SMc00980,NGR_c04880
SMc00979,noHit
SMc00978,NGR_c04890
SMc00977,NGR_c04900
SMc00976,NGR_c04910
mcpU,NGR_c04920
SMc00974,NGR_c04930
SMc00973,NGR_c04940
dxs,NGR_c04950
SMc00971,NGR_c04960
xseB,xseB
SMc00969,NGR_c04990
SMc00968,NGR_c05000
SMc00967,NGR_c05010
SMc00966,NGR_c05020
SMc00965,NGR_c05030
bioB,bioY
bioN,bioN
bioM,bioM
SMc00961,NGR_c05070
tldD,NGR_c05080
SMc00068,NGR_c05120
SMc00001,NGR_c05130
pdxH,pdxH
SMc00002,NGR_c05150
SMc00003,dnaJ3
fabI1,fabI3
gpmB,gpmB
SMc00070,NGR_c05190
aroC,aroC
ribA,ribA
ialB,NGR_c05220
ctaC,ctaC
ctaD,ctaD
ctaB,ctaB
SMc00130,NGR_c05260
ctaG,ctaG
ctaE,ctaE
SMc00014,NGR_c05300
surf1,NGR_c05310
ispH,lytB
thrB,thrB
rnhA1,rnhA
SMc00072,NGR_c05370
SMc00073,NGR_c05380
SMc00019,NGR_c05390
SMc00074,NGR_c05400
rimJ,rimJ
SMc00451,NGR_c05420
thrC1,thrC
SMc00020,NGR_c05440
SMc00078,NGR_c05450
SMc00079,NGR_c05460
SMc00080,NGR_c05490
ccrM,ccrM
SMc00081,NGR_c05550
mutY,NGR_c05560
SMc00022,NGR_c05570
SMc00023,NGR_c05580
smc,NGR_c05610
ppdK,ppdK
SMc00083,NGR_c05630
SMc00084,NGR_c05640
SMc00026,NGR_c05650
SMc00087,NGR_c05660
SMc00027,noHit
SMc00028,noHit
SMc00088,NGR_c05720
SMc00029,noHit
SMc00089,noHit
cysN,cysN
cysD,cysD
cysH,cysH
SMc00030,NGR_c06970
SMc00031,NGR_c06980
betA,betA
betB,betB
betC,betC
betI,NGR_c07020
SMc00032,NGR_c07030
SMc00033,NGR_c07040
SMc00034,NGR_c07050
SMc00096,NGR_c07060
SMc00035,NGR_c07070
gst1,NGR_c07090
lsrA,NGR_c07120
gst2,NGR_c07130
SMc00038,noHit
SMc00039,NGR_c07140
SMc00098,NGR_c07150
SMc00040,NGR_c07160
phnA,NGR_c07170
SMc00100,NGR_c07180
SMc00041,NGR_c07190
dkgB,NGR_c07200
tam,NGR_c07210
dhe,NGR_c07220
SMc00104,NGR_c07230
SMc00105,NGR_c07250
ilvE2,NGR_c07270
SMc00106,NGR_c07290
sodB,sodB
SMc00107,NGR_c07310
SMc00044,NGR_c07320
cycF,cycF
cycG,cycG
SMc00108,NGR_c07350
SMc00109,NGR_c07360
bla,NGR_c07370
gcd,NGR_c07380
SMc00453,NGR_c07390
SMc00112,noHit
SMc00454,noHit
ptrB,ptrB
SMc00115,NGR_c07430
SMc00048,NGR_c07450
SMc00049,NGR_c07460
SMc00455,NGR_c07470
SMc00116,NGR_c07480
msrB1,msrB3
phaA2,NGR_c07500
phaB2,NGR_c07510
phaC2,NGR_c07520
phaD2,NGR_c07530
phaE2,NGR_c07540
phaF2,NGR_c07550
phaG2,NGR_c07560
mucR,NGR_c07580
SMc00118,sufE
SMc00456,NGR_c07600
SMc00059,NGR_c07610
SMc00060,NGR_c07620
SMc00061,NGR_c07630
SMc00120,NGR_c07640
SMc00062,NGR_c07650
SMc00063,NGR_c07660
SMc00128,NGR_c07680
SMc00457,NGR_c07690
pbp,NGR_c07700
SMc00064,NGR_c07710
SMc00123,NGR_c07720
SMc00065,NGR_c07750
feuP,NGR_c07760
feuQ,NGR_c07770
lipA,NGR_c07780
cycH,cycH
cycJ,NGR_c07800
cycK,cycK
cycL,cycL
degP1,NGR_c07830
ragA,NGR_c07840
SMc02367,NGR_c07850
glnE,NGR_c07860
SMc02369,NGR_c07870
pepN,NGR_c07880
SMc02371,NGR_c07890
SMc02372,noHit
SMc02373,NGR_c07900
SMc02374,NGR_c07910
SMc02375,NGR_c07920
SMc02376,NGR_c07930
etf,NGR_c07940
SMc02378,NGR_c07950
SMc02379,NGR_c07960
SMc02380,noHit
SMc02381,noHit
SMc02382,NGR_c07990
SMc02383,NGR_c08000
SMc02384,NGR_c08010
SMc02385,NGR_c08020
amn,NGR_c08030
SMc02387,NGR_c08040
SMc02388,NGR_c08050
SMc02389,NGR_c08060
gst7,NGR_c08070
SMc02391,NGR_c08080
SMc02392,NGR_c08090
hisC4,NGR_c08100
SMc02394,noHit
SMc02461,noHit
SMc02396,NGR_c08140
SMc02397,noHit
TRm11a,NGR_b05870
TRm11b,NGR_b05860
SMc02400,noHit
SMc02401,NGR_c19140
SMc02403,NGR_c08190
dapA1,dapA
smpB,NGR_c08210
SMc02406,noHit
SMc02422,noHit
SMc02407,NGR_c08220
rpoZ,noHit
relA,NGR_c08240
SMc02658,NGR_b23590
SMc02657,NGR_b23580
SMc02656,NGR_c08250
SMc02655,NGR_c08260
acpS,NGR_c08270
lepB,NGR_c08280
rnc,NGR_c08290
era,NGR_c08300
arsH,noHit
arsC,NGR_b21790
aqpS,NGR_b21800
arsR,noHit
SMc02646,NGR_c08310
cfa2,NGR_c08330
SMc02644,NGR_c08350
SMc02642,NGR_c08360
rkpK,ugdH
lpsL,NGR_c08380
SMc02639,NGR_c08390
SMc02638,NGR_c08400
SMc02637,NGR_c08410
SMc02636,noHit
recO,recO
SMc02634,NGR_c08440
SMc02633,NGR_c08450
SMc02632,NGR_c08460
SMc02631,NGR_c08470
SMc02603,NGR_c08480
nadA,nadA
nadB,nadB
nadC,nadC
sodC,sodC
SMc02661,noHit
SMc02571,noHit
SMc02660,noHit
SMc02565,NGR_c08530
SMc02561,NGR_c08540
SMc02559,NGR_c08550
SMc02558,NGR_c08560
SMc02557,NGR_c08570
SMc02556,NGR_c08580
SMc02555,NGR_c08590
SMc02554,NGR_c08600
SMc02553,NGR_c08610
SMc02552,noHit
cysS,cysS
SMc02550,NGR_c08630
SMc02549,NGR_c08640
SMc02548,NGR_c08650
pip1,NGR_c08660
leuA2,NGR_c08670
SMc02545,NGR_c08680
SMc02544,NGR_c08690
SMc02543,NGR_c08700
SMc00550,NGR_c08710
psd,NGR_c08720
pssA,pssA
SMc00553,NGR_c08740
purF,NGR_c08750
cvpA,NGR_c08760
radA,racA
alr,NGR_c08780
SMc00558,NGR_c08790
SMc00559,NGR_c08800
SMc00560,NGR_c08810
dnaB,NGR_c08820
SMc00562,noHit
SMc00563,noHit
SMc00564,noHit
rplI,NGR_c08840
SMc00566,NGR_c08850
rpsR,NGR_c08860
rpsF,NGR_c08870
SMc00569,NGR_c08880
SMc00570,NGR_c08890
fabD,NGR_c08900
fabG,NGR_c08910
acpP,NGR_c08920
fabF,NGR_c08930
SMc00575,NGR_c08950
SMc00576,NGR_c08960
gmk,NGR_c08970
SMc00578,noHit
ksgA,ksgA
pdxA1,pdxA3
SMc00581,NGR_c09000
SMc00582,NGR_c09010
SMc00583,NGR_c09020
SMc00584,NGR_c09030
pepA,pepA
SMc00586,NGR_c09050
gal,NGR_c09060
SMc00589,NGR_c09070
SMc00590,NGR_c09080
SMc00591,NGR_c09090
SMc00592,NGR_c09100
SMc00593,NGR_c09110
ligE,NGR_c09120
ndk,NGR_c09130
SMc00596,NGR_c09140
SMc00597,NGR_c09150
