SMc02793,OV14_0877
SMc02867,OV14_1037
SMc02868,OV14_1038
SMc02869,OV14_1039
SMc02870,OV14_1040
SMc02871,OV14_1041
SMc02872,OV14_1042
SMc02873,OV14_1043
SMc02874,OV14_1044
SMc02875,OV14_1045
SMc02876,OV14_1046
SMc02877,OV14_1047
nagA,nagA
cutC,OV14_1049
SMc02880,OV14_1050
SMc02881,OV14_1051
SMc02882,OV14_1052
SMc02883,OV14_1053
SMc02884,OV14_1054
msrA1,msrA2
SMc02886,OV14_1056
SMc02887,noHit
SMc02888,noHit
SMc02889,noHit
SMc02890,noHit
SMc02891,noHit
SMc02892,OV14_a1309
SMc02893,OV14_a1308
SMc02894,OV14_1064
SMc02895,OV14_1065
ilvE1,noHit
SMc02897,OV14_1066
kdsB,kdsB
pheA,pheA
SMc02900,OV14_1069
SMc02901,OV14_1070
SMc02902,OV14_1071
SMc02903,OV14_1072
SMc02904,noHit
dnaX,dnaX
SMc02906,OV14_1075
SMc02907,OV14_1077
recR,recA1
mltB1,OV14_1079
SMc02910,OV14_1080
SMc02911,OV14_1082
nusA,nusA
SMc02913,OV14_1084
infB,infB
rbfA,rbfA
truB,truB
SMc00322,OV14_1090
rpsO,OV14_1093
pnp,OV14_1095
rsmC,OV14_1096
fabI2,fabI2
fabB,fabB
fabA,fabA
irr,OV14_1103
SMc00330,OV14_1104
SMc00331,OV14_1105
SMc00332,OV14_1108
aroA,noHit
cmk,OV14_1113
rpsA,OV14_1114
SMc00336,OV14_1115
SMc00337,OV14_1116
SMc00338,noHit
cyaA,OV14_1124
SMc00340,OV14_1125
SMc00341,OV14_1126
rnd2,OV14_1127
TRm20,noHit
SMc00344,OV14_3760
SMc00345,OV14_1129
SMc00346,OV14_1130
rnk,noHit
SMc00348,OV14_a1626
lepA,lepA
SMc00350,OV14_1137
SMc00351,OV14_1138
SMc00352,OV14_1139
exoD,exoD
SMc00354,OV14_1143
kamA,OV14_1148
genX,OV14_1149
efp,OV14_1150
cfa1,OV14_1151
SMc00359,OV14_1153
SMc00360,OV14_1154
SMc00361,OV14_1155
infC,OV14_1156
rpmI,OV14_1158
rplT,OV14_1159
pheS,pheS
pheT,pheT
SMc00367,OV14_1164
SMc00368,OV14_1165
SMc00369,noHit
SMc00370,OV14_1166
SMc00371,OV14_b0688
SMc00372,OV14_3449
SMc00373,OV14_1167
SMc00374,OV14_1169
SMc00375,OV14_1170
SMc00376,noHit
SMc00377,noHit
xseA,xseA
SMc00379,OV14_1180
pecS,OV14_1181
pecM,OV14_1182
SMc00382,OV14_1183
gst3,OV14_1185
SMc00384,OV14_1186
SMc00385,OV14_1188
SMc00386,OV14_1189
tatA,OV14_1191
SMc00388,noHit
SMc00389,noHit
SMc00390,noHit
SMc00391,noHit
SMc00392,noHit
SMc00393,noHit
guaA,guaA
pfs,OV14_1204
SMc00396,OV14_1205
SMc00397,OV14_1207
SMc00460,OV14_1208
corA1,corA
SMc00400,OV14_1210
SMc00401,OV14_1211
SMc00402,OV14_1212
sun2,OV14_1213
SMc00404,OV14_1215
SMc00405,OV14_1216
SMc00406,OV14_1217
gst4,OV14_1218
SMc00408,OV14_1219
SMc00409,OV14_1220
SMc00410,OV14_1221
SMc00411,OV14_1222
pyrF,pyrF
SMc00413,OV14_1224
pmtA,OV14_1225
dnaN,dnaN
SMc00416,OV14_1227
SMc00418,OV14_1228
gshB1,gshB2
SMc00420,OV14_1237
cysK1,cysK1
SMc00422,OV14_1240
SMc00423,OV14_1241
SMc00424,OV14_1243
SMc00425,OV14_1244
dnaS,OV14_1245
prfC,OV14_1246
SMc00428,OV14_1249
SMc00429,OV14_1251
SMc00430,OV14_0410
SMc00431,OV14_1254
iolB,iolB
iolE,OV14_1256
iolD,OV14_1258
iolC,OV14_1259
SMc01164,OV14_1260
SMc01163,OV14_1261
SMc01162,OV14_1262
coaBC,OV14_1263
SMc01160,noHit
SMc01159,trxB2
SMc01158,OV14_0514
SMc01157,OV14_1271
aarF,OV14_1274
ubiE,ubiE3
mutM,mutM
SMc01153,OV14_1277
rpsT,OV14_1278
dnaA,dnaA
SMc01151,OV14_1282
SMc01150,OV14_1283
SMc01149,OV14_1284
SMc01148,OV14_1285
SMc01147,OV14_1290
SMc01146,OV14_1291
SMc01145,OV14_1292
rph,OV14_1293
hrcA,hrcA
grpE,grpE
ptsN,OV14_1299
SMc01140,OV14_1300
rpoN,OV14_1301
SMc01138,OV14_1302
SMc01137,OV14_1303
SMc01136,OV14_1304
SMc01135,sppA
ihfB,OV14_1306
SMc01133,OV14_1307
SMc01132,OV14_1308
SMc01131,OV14_1309
SMc01130,spoU
lspA,OV14_1311
SMc01128,OV14_1312
olsB,OV14_1313
tme,OV14_1314
mutS,mutS
glnD,glnD
mviN,mviN
SMc01122,OV14_a1526
trpS,trpS
SMc01120,OV14_1320
SMc01119,OV14_1321
SMc01118,OV14_1322
rimI,OV14_1323
plsC,OV14_1325
miaB,miaB
phoH,phoH
SMc01113,OV14_1328
tlyC,OV14_1330
lnt,OV14_1331
phrR,OV14_1332
metK,metK
trmB,trmB
SMc01107,OV14_1337
SMc01106,hspH
iunH,OV14_1339
mcpX,OV14_1340
rbsK,OV14_1342
SMc01102,OV14_1343
def1,OV14_1344
fmt,OV14_1345
truA,truA
TRm19C,noHit
TRm19N,noHit
SMc01097,OV14_1347
dapE,dapE
mexF1,OV14_1349
mexE1,mexE
SMc01093,OV14_1351
SMc01092,OV14_1352
SMc01091,noHit
deaD,OV14_1355
SMc01089,OV14_1356
dapD,dapD
SMc01731,OV14_1359
SMc01730,OV14_1362
SMc01729,OV14_1364
ada,OV14_a1905
SMc01727,OV14_1366
argB,argB
SMc01725,OV14_1369
msrB3,OV14_1371
SMc01723,OV14_1372
SMc01722,OV14_1373
SMc01721,OV14_1374
rnpA,rnpA
rpmH,noHit
mcpT,OV14_1376
SMc01718,OV14_1377
merA1,OV14_1378
SMc01716,OV14_1379
SMc01715,OV14_3364
SMc01714,OV14_3365
SMc01713,noHit
lldD,noHit
SMc01711,noHit
SMc01710,noHit
SMc01709,noHit
SMc01708,noHit
SMc01707,noHit
SMc01706,noHit
SMc01705,OV14_1381
SMc01704,noHit
SMc01703,OV14_1383
SMc01702,OV14_1384
SMc01701,OV14_1385
putA,putA1
SMc02180,OV14_1387
SMc02179,OV14_1388
SMc02178,noHit
SMc02177,OV14_1390
cyaD1,OV14_1391
SMc02175,OV14_1392
SMc02174,OV14_1393
frcS,OV14_1394
frcR,OV14_1395
frcB,OV14_1397
frcC,OV14_1398
frcA,OV14_1399
frcK,OV14_1400
pyrC,pyrC
pyrE,pyrE
frk,OV14_1404
pgi,pgi
fadD,fadD
SMc02161,OV14_1410
SMc02160,OV14_1412
SMc02159,OV14_2510
SMc02158,OV14_2513
cdsA2,OV14_2512
SMc02156,noHit
int,noHit
SMc02202,noHit
SMc02201,noHit
SMc02189,noHit
SMc02200,noHit
SMc02184,noHit
SMc02199,noHit
SMc02203,noHit
SMc02155,noHit
SMc02154,noHit
SMc04429,noHit
SMc02153,noHit
SMc02152,noHit
SMc02151,noHit
SMc02150,OV14_1424
SMc02149,OV14_1425
SMc02148,OV14_1426
phoR,phoR
pstS,OV14_1428
SMc02145,noHit
SMc02144,OV14_1429
pstA,OV14_1430
pstB,OV14_1431
phoU,phoU
phoB,phoB
SMc02139,OV14_1434
argD,argD
argF1,argF
hslO,hslO
apaG,apaG
SMc02134,OV14_1440
metZ,metZ
SMc02218,dcd
SMc02219,OV14_1446
SMc02220,noHit
SMc02221,OV14_1448
SMc02222,OV14_1449
SMc02223,OV14_1450
chaA,OV14_1451
SMc02225,OV14_1452
SMc02226,noHit
fadB,fadB
fadA,fadA
SMc02229,OV14_1460
SMc02230,OV14_1462
SMc02231,noHit
SMc02232,OV14_1463
SMc02234,OV14_1464
SMc02235,OV14_1465
SMc02236,OV14_1467
SMc02237,OV14_1468
SMc02238,OV14_1469
SMc02239,OV14_1470
SMc02240,OV14_1471
SMc02241,OV14_1472
SMc02242,OV14_1473
SMc02243,OV14_1474
dinF,dinF
pyrD,pyrD
SMc02246,OV14_1477
SMc02247,OV14_1478
SMc02248,OV14_1479
SMc02249,OV14_1480
mscL,OV14_1481
SMc02251,OV14_1482
galE,galE
pchB,OV14_1484
qxtB,OV14_1486
qxtA,OV14_1487
hipO2,OV14_1489
SMc02257,OV14_1490
SMc02258,OV14_1491
SMc02259,OV14_1492
SMc02260,OV14_1493
SMc02261,OV14_1494
aspC,OV14_1495
ilvB1,OV14_1496
SMc02264,OV14_1497
secD2,secD1
SMc02266,OV14_1500
SMc02267,OV14_1501
kpsF3,kpsF
rkpJ,OV14_1503
rkpI,OV14_1504
rkpH,OV14_1505
rkpG,OV14_1506
wcbR,OV14_1507
rkpU,OV14_1510
pncA,OV14_1511
pncB,pncB
SMc02277,noHit
SMc02278,noHit
SMc02279,noHit
SMc02280,noHit
SMc02281,OV14_a0395
SMc02282,noHit
SMc02283,OV14_a0393
SMc02284,OV14_a0392
cyaE1,OV14_b0328
SMc02326,noHit
rnhA2,noHit
SMc02328,noHit
SMc02286,noHit
SMc02287,noHit
TRm11b,noHit
TRm11a,noHit
hsdR,noHit
hsdS,noHit
hsdM,noHit
SMc02297,noHit
TRm1a,noHit
TRm1b,noHit
TRm30.4,OV14_a0791
TRm30.3,OV14_a0792
TRm30.2,OV14_a0793
TRm30.1,OV14_a0794
SMc02303,noHit
SMc02304,noHit
murA,murA
SMc02306,OV14_1518
hisD1,hisD2
SMc02308,OV14_1520
SMc02309,OV14_1521
infA,OV14_1522
maf,OV14_1523
SMc02312,OV14_1524
SMc04431,noHit
SMc04432,noHit
SMc02313,noHit
SMc02314,noHit
SMc02315,noHit
SMc02316,noHit
SMc02317,OV14_1527
SMc02318,OV14_1528
SMc02319,OV14_1529
SMc02320,OV14_1530
rhaI,OV14_1531
rhaD,OV14_1532
rhaR,OV14_1533
rhaS,OV14_1534
rhaT,rbsA2
rhaP,OV14_1536
rhaQ,OV14_1537
rhaU,OV14_1538
rhaK,OV14_1539
icpA,OV14_1542
SMc03005,OV14_1543
cheY1,OV14_1544
cheA,cheA2
cheW1,cheW1
cheR,cheR
cheB,cheB2
cheY2,OV14_1549
cheD,cheD
SMc03013,OV14_1551
fliF,fliF
visN,OV14_1554
visR,OV14_1555
SMc03017,OV14_1556
flhB,flhB
fliG,fliG
fliN,fliN
fliM,fliM
motA,motA
SMc03023,OV14_1562
flgF,flgF
fliI,fliI
SMc03026,OV14_1565
flgB,flgB
flgC,flgC
fliE,fliE
flgG,flgG
flgA,OV14_1570
flgI,OV14_1571
motE,OV14_1572
flgH,flgH
fliL,fliL
fliP,fliP
flaA,noHit
flaB,noHit
flaD,noHit
flaC,OV14_1581
SMc03041,OV14_1582
motB,motB
motC,motC
fliK,noHit
SMc03045,OV14_1586
rem,OV14_1587
flgE,flgE
flgK,flgK
flgL,flgL
flaF,flaF
flbT,flbT
flgD,flgD
fliQ,fliQ
flhA,flhA
fliR,fliR
SMc03056,OV14_1597
SMc03071,OV14_1598
SMc03072,OV14_1599
SMc03057,OV14_1600
SMc03058,OV14_1601
folD2,folD2
aglR,OV14_1607
aglE,OV14_1608
aglF,OV14_1610
aglG,OV14_1611
aglA,aglA1
aglK,OV14_1613
SMc03066,OV14_1614
TRm22,noHit
edd,OV14_1616
pgl,OV14_1617
zwf,OV14_1618
ordL,ordL
SMc00762,glnA1
SMc00763,OV14_1621
SMc00764,noHit
mcpZ,OV14_1624
SMc00766,OV14_1625
SMc00767,OV14_1628
aceA,OV14_1629
SMc00769,OV14_1630
potF,OV14_1632
potG,OV14_1633
potH,potH
potI,potI
SMc00838,OV14_1636
acsA2,acsA
fbpB,OV14_1638
cbrA,OV14_1639
SMc00777,OV14_1640
SMc00778,OV14_1297
SMc00779,OV14_1296
SMc00780,OV14_1644
mmsA,OV14_1645
SMc00782,OV14_1647
SMc00783,OV14_1648
fbpA,OV14_1649
rirA,OV14_1650
dppA1,noHit
dppB1,dppB
dppC1,dppC
dppD1,dppD
dppF1,dppF
SMc00791,OV14_1660
SMc00792,noHit
SMc00793,OV14_1662
SMc00794,OV14_1663
SMc00795,noHit
SMc00796,noHit
SMc00797,OV14_1673
SMc00798,noHit
SMc00799,OV14_a0561
SMc00800,noHit
SMc00801,noHit
SMc00802,noHit
SMc00803,OV14_0334
SMc00804,OV14_3249
SMc00805,OV14_3248
SMc00806,noHit
SMc00807,noHit
chrA,OV14_a1275
SMc00809,noHit
ppx,OV14_1684
ftsJ,ftsJ
SMc00812,OV14_1686
SMc00813,OV14_1687
SMc00814,OV14_1688
SMc00815,OV14_1689
SMc00816,OV14_1690
dlhH,OV14_1692
oxyR,OV14_b0544
katA,noHit
SMc00820,OV14_1693
SMc00821,OV14_1694
SMc00822,noHit
SMc00823,noHit
SMc00824,OV14_1696
gsh1,OV14_1697
SMc00826,OV14_1699
pit2,OV14_1700
SMc00828,OV14_1702
SMc00829,OV14_1703
SMc00830,OV14_1704
SMc00831,OV14_1705
glcD,glcD2
glcE,glcE2
glcF,OV14_1709
SMc00925,OV14_1710
SMc00924,OV14_1711
tag,OV14_1712
SMc00922,noHit
SMc00921,OV14_1713
SMc00931,OV14_1722
hisS,OV14_1715
hisZ,OV14_1716
hisG,hisG
gst11,noHit
SMc00915,OV14_1719
SMc00914,OV14_1720
groEL1,groEL1
groES1,OV14_1724
SMc00911,OV14_a1274
SMc00910,OV14_1725
ribF,ribF
ileS,ileS
SMc00907,OV14_1729
SMc00906,OV14_1730
tadA,OV14_1731
SMc00904,OV14_1732
SMc00902,OV14_1733
SMc00930,OV14_1734
SMc00900,OV14_a1655
SMc00899,noHit
kefB1,kefB
pmbA,OV14_1736
SMc00896,OV14_1737
SMc00895,OV14_1738
kdtA,kdtA
SMc00893,OV14_1740
lpxK,lpxK
TRm11b,noHit
TRm11a,noHit
SMc00933,OV14_1744
mutL,mutL
SMc00888,OV14_1746
SMc00887,OV14_1748
SMc00929,OV14_1749
SMc00886,OV14_1750
SMc00885,OV14_1752
ilvD1,OV14_1754
SMc00883,OV14_1755
dgoA,dgoA
dgoK1,dgoK
fabG2,OV14_1758
SMc00879,OV14_1759
SMc00878,OV14_1760
SMc00877,OV14_1761
SMc00876,OV14_1762
corA2,OV14_1763
kup1,OV14_1764
SMc00928,OV14_1765
atpI,OV14_1766
atpB,atpB
atpE,OV14_1768
atpF2,atpF2
atpF,atpF1
rnhB,rnhB
SMc00866,OV14_1772
SMc00865,OV14_1773
SMc00864,noHit
moaB,OV14_1774
ispE,ispE
SMc00861,OV14_1776
ispB,ispB
SMc00859,OV14_1778
SMc00858,OV14_1779
sohB,OV14_1780
SMc00856,OV14_1781
glyQ,glyQ
SMc00854,noHit
SMc00853,OV14_1785
SMc00852,OV14_1787
glyS,glyS
SMc00850,OV14_1789
SMc00849,OV14_1790
purD,purD
SMc00992,OV14_1792
SMc00991,OV14_1793
fsr,OV14_1794
SMc00994,OV14_1796
SMc00989,noHit
ubiA,OV14_1798
SMc00987,OV14_1800
SMc00986,OV14_1801
pdxR,OV14_1802
SMc00984,OV14_1803
SMc00983,OV14_1804
SMc00982,OV14_1805
SMc00981,OV14_1806
SMc00980,OV14_1807
SMc00979,OV14_1808
SMc00978,OV14_1809
SMc00977,OV14_1810
SMc00976,OV14_1811
mcpU,OV14_1812
SMc00974,OV14_1814
SMc00973,OV14_1815
dxs,OV14_1817
SMc00971,OV14_1818
xseB,xseB
SMc00969,OV14_1820
SMc00968,OV14_1821
SMc00967,OV14_1822
SMc00966,OV14_1823
SMc00965,OV14_1824
bioB,bioY
bioN,bioN
bioM,bioM
SMc00961,OV14_1828
tldD,OV14_1829
SMc00068,OV14_1830
SMc00001,OV14_1831
pdxH,pdxH
SMc00002,OV14_1833
SMc00003,dnaJ3
fabI1,fabI3
gpmB,gpmB
SMc00070,OV14_1837
aroC,aroC
ribA,ribA
ialB,OV14_1842
ctaC,ctaC
ctaD,ctaD
ctaB,ctaB
SMc00130,noHit
ctaG,ctaG
ctaE,ctaE
SMc00014,OV14_1850
surf1,OV14_1851
ispH,lytB
thrB,thrB
rnhA1,rnhA
SMc00072,OV14_1856
SMc00073,OV14_1857
SMc00019,OV14_1858
SMc00074,OV14_1859
rimJ,rimJ
SMc00451,OV14_1861
thrC1,thrC
SMc00020,OV14_1864
SMc00078,OV14_1865
SMc00079,OV14_1866
SMc00080,OV14_1870
ccrM,ccrM
SMc00081,OV14_1874
mutY,OV14_1875
SMc00022,OV14_1877
SMc00023,OV14_1878
smc,OV14_1879
ppdK,ppdK
SMc00083,OV14_1884
SMc00084,OV14_1885
SMc00026,OV14_1886
SMc00087,OV14_1889
SMc00027,noHit
SMc00028,noHit
SMc00088,OV14_1893
SMc00029,noHit
SMc00089,noHit
cysN,cysN
cysD,cysD
cysH,cysH
SMc00030,OV14_1906
SMc00031,OV14_1907
betA,betA
betB,betB
betC,noHit
betI,OV14_1914
SMc00032,OV14_1915
SMc00033,OV14_1917
SMc00034,OV14_1921
SMc00096,OV14_1922
SMc00035,OV14_1923
gst1,OV14_1927
lsrA,OV14_1933
gst2,OV14_1934
SMc00038,OV14_1937
SMc00039,OV14_1939
SMc00098,OV14_1940
SMc00040,OV14_1941
phnA,OV14_1942
SMc00100,OV14_1944
SMc00041,noHit
dkgB,OV14_1953
tam,OV14_1956
dhe,OV14_1957
SMc00104,OV14_1958
SMc00105,OV14_1959
ilvE2,OV14_1961
SMc00106,OV14_a0051
sodB,sodB
SMc00107,OV14_1967
SMc00044,OV14_1968
cycF,cycF
cycG,cycG
SMc00108,OV14_1973
SMc00109,OV14_1974
bla,OV14_1976
gcd,OV14_1978
SMc00453,OV14_1983
SMc00112,noHit
SMc00454,noHit
ptrB,ptrB
SMc00115,OV14_1997
SMc00048,OV14_1998
SMc00049,OV14_1999
SMc00455,OV14_2001
SMc00116,OV14_2002
msrB1,msrB3
phaA2,OV14_2006
phaB2,OV14_2007
phaC2,OV14_2008
phaD2,OV14_2009
phaE2,OV14_2010
phaF2,OV14_2011
phaG2,OV14_2012
mucR,OV14_2013
SMc00118,sufE
SMc00456,OV14_2017
SMc00059,OV14_2019
SMc00060,OV14_2020
SMc00061,OV14_2021
SMc00120,OV14_2022
SMc00062,OV14_2023
SMc00063,OV14_2025
SMc00128,OV14_2027
SMc00457,OV14_2028
pbp,OV14_2030
SMc00064,OV14_2031
SMc00123,OV14_2033
SMc00065,OV14_2035
feuP,OV14_2036
feuQ,OV14_2037
lipA,OV14_2039
cycH,cycH
cycJ,OV14_2041
cycK,cycK
cycL,cycL
degP1,OV14_2044
ragA,OV14_2046
SMc02367,OV14_2047
glnE,OV14_2048
SMc02369,OV14_2049
pepN,OV14_2050
SMc02371,OV14_2052
SMc02372,OV14_2053
SMc02373,OV14_2054
SMc02374,OV14_2055
SMc02375,OV14_2056
SMc02376,OV14_2057
etf,noHit
SMc02378,OV14_2060
SMc02379,OV14_2062
SMc02380,OV14_a1277
SMc02381,OV14_a1276
SMc02382,OV14_2066
SMc02383,OV14_2067
SMc02384,OV14_2068
SMc02385,OV14_2069
amn,OV14_2070
SMc02387,OV14_2071
SMc02388,OV14_2072
SMc02389,noHit
gst7,OV14_b1437
SMc02391,OV14_2073
SMc02392,OV14_2074
hisC4,OV14_2075
SMc02394,noHit
SMc02461,noHit
SMc02396,OV14_2080
SMc02397,noHit
TRm11a,noHit
TRm11b,noHit
SMc02400,noHit
SMc02401,noHit
SMc02403,OV14_2082
dapA1,dapA
smpB,OV14_2084
SMc02406,noHit
SMc02422,noHit
SMc02407,OV14_2085
rpoZ,noHit
relA,OV14_2087
SMc02658,noHit
SMc02657,OV14_b0085
SMc02656,OV14_2088
SMc02655,OV14_2090
acpS,OV14_2091
lepB,OV14_2092
rnc,OV14_2093
era,OV14_2094
arsH,noHit
arsC,OV14_2661
aqpS,noHit
arsR,OV14_2658
SMc02646,OV14_2095
cfa2,OV14_2097
SMc02644,OV14_2098
SMc02642,OV14_2099
rkpK,ugdH
lpsL,OV14_2101
SMc02639,OV14_2102
SMc02638,OV14_2103
SMc02637,OV14_2104
SMc02636,OV14_2105
recO,recO
SMc02634,noHit
SMc02633,OV14_2108
SMc02632,OV14_2109
SMc02631,OV14_2110
SMc02603,OV14_2113
nadA,nadA
nadB,nadB
nadC,nadC
sodC,noHit
SMc02661,noHit
SMc02571,noHit
SMc02660,noHit
SMc02565,OV14_2118
SMc02561,OV14_2119
SMc02559,OV14_2120
SMc02558,OV14_2121
SMc02557,OV14_2123
SMc02556,OV14_2124
SMc02555,OV14_2125
SMc02554,OV14_2126
SMc02553,OV14_2127
SMc02552,noHit
cysS,cysS
SMc02550,OV14_2132
SMc02549,OV14_2133
SMc02548,OV14_2134
pip1,OV14_2135
leuA2,OV14_2136
SMc02545,OV14_2137
SMc02544,OV14_2138
SMc02543,OV14_2139
SMc00550,OV14_2140
psd,OV14_2141
pssA,pssA
SMc00553,OV14_2143
purF,OV14_2144
cvpA,OV14_2145
radA,racA
alr,OV14_2147
SMc00558,OV14_2148
SMc00559,OV14_2149
SMc00560,OV14_2150
dnaB,OV14_2151
SMc00562,noHit
SMc00563,OV14_2154
SMc00564,OV14_2155
rplI,OV14_2156
SMc00566,OV14_2157
rpsR,OV14_2158
rpsF,OV14_2159
SMc00569,noHit
SMc00570,OV14_2161
fabD,OV14_2162
fabG,OV14_2163
acpP,OV14_2164
fabF,OV14_2165
SMc00575,OV14_2166
SMc00576,OV14_2167
gmk,OV14_2168
SMc00578,noHit
ksgA,ksgA
pdxA1,pdxA3
SMc00581,OV14_2171
SMc00582,OV14_2173
SMc00583,OV14_2174
SMc00584,OV14_2175
pepA,pepA
SMc00586,OV14_2178
gal,OV14_2179
SMc00589,OV14_2180
SMc00590,OV14_2181
SMc00591,OV14_2182
SMc00592,OV14_2187
SMc00593,noHit
ligE,OV14_2188
ndk,OV14_2189
SMc00596,OV14_2190
SMc00597,OV14_2191
SMc00598,OV14_2192
moaE,OV14_2193
moaD,OV14_2194
pgsA,pgsA
uvrC,uvrC
SMc00603,OV14_2197
ropB1,OV14_2198
SMc00605,OV14_2199
SMc00606,noHit
SMc00607,OV14_2201
SMc00608,OV14_2202
dmsA,OV14_2204
SMc00610,OV14_2206
SMc00611,OV14_2207
SMc00612,noHit
acvB,noHit
purN,purN
purM,OV14_2210
perM,OV14_2211
SMc00617,OV14_2212
ppk,OV14_2213
ppx,OV14_2214
SMc00620,OV14_2215
cyaB,OV14_2220
rnd,rnd
SMc01754,OV14_2222
SMc01755,OV14_2223
aspS,aspS
SMc01757,noHit
groEL4,groEL2
SMc01759,OV14_2226
SMc01760,OV14_2229
parC,parC
SMc01762,noHit
SMc01763,OV14_2233
ate,OV14_2234
SMc01765,OV14_2235
hemB,OV14_2236
SMc01767,OV14_2238
SMc01768,OV14_2239
SMc01769,OV14_2240
glyA1,glyA
nrdR,OV14_2242
ribD,ribD
ribE,OV14_2244
SMc01774,OV14_2245
SMc01775,OV14_2246
SMc01776,OV14_2247
ribH1,ribH2
nusB,nusB
SMc01779,OV14_2251
hppA,OV14_2252
SMc01781,OV14_2253
SMc01782,OV14_2254
SMc01783,OV14_2255
plsX,plsX
fabH,fabH2
himA,OV14_2260
SMc01787,OV14_2261
SMc01788,noHit
SMc01789,noHit
SMc01902,noHit
SMc01790,OV14_2266
SMc01791,OV14_2267
SMc01792,OV14_2268
SMc01793,OV14_2269
SMc01794,OV14_2270
SMc01795,OV14_2271
SMc01796,OV14_2272
SMc01797,OV14_3568
SMc01798,OV14_2274
SMc01799,OV14_2275
SMc01800,OV14_2276
argC,OV14_2277
speB,OV14_2279
rpsI,OV14_2282
