SMc02793,blr0637
dapD,dapD
SMc01731,noHit
SMc01730,blr8103
SMc01729,bll0213
ada,noHit
SMc01727,noHit
argB,argB
SMc01725,noHit
msrB3,bll5855
SMc01723,noHit
SMc01722,blr8099
SMc01721,blr8098
rnpA,rnpA
rpmH,bsr8096
mcpT,noHit
SMc01718,noHit
merA1,noHit
SMc01716,bll8095
SMc01715,noHit
SMc01714,bll6075
SMc01713,noHit
lldD,noHit
SMc01711,noHit
SMc01710,noHit
SMc01709,noHit
SMc01708,noHit
SMc01707,noHit
SMc01706,noHit
SMc01705,blr7331
SMc01704,bll3993
SMc01703,bll4197
SMc01702,noHit
SMc01701,noHit
putA,noHit
SMc02180,blr7852
SMc02179,bll4141
SMc02178,noHit
SMc02177,noHit
cyaD1,noHit
SMc02175,bll0357
SMc02174,noHit
frcS,noHit
frcR,noHit
frcB,noHit
frcC,noHit
frcA,noHit
frcK,noHit
pyrC,noHit
pyrE,noHit
frk,blr3227
pgi,noHit
fadD,fadD
SMc02161,blr4870
SMc02160,blr8064
SMc02159,noHit
SMc02158,noHit
cdsA2,noHit
SMc02156,noHit
int,noHit
SMc02202,noHit
SMc02201,noHit
SMc02189,noHit
SMc02200,noHit
SMc02184,bsr0038
SMc02199,noHit
SMc02203,noHit
SMc02155,noHit
SMc02154,noHit
SMc04429,noHit
SMc02153,noHit
SMc02152,noHit
SMc02151,noHit
SMc02150,blr1327
SMc02149,noHit
SMc02148,noHit
phoR,phoR
pstS,noHit
SMc02145,noHit
SMc02144,pstC
pstA,noHit
pstB,pstB
phoU,phoU
phoB,phoB
SMc02139,bll1097
argD,argD
argF1,argF
hslO,hslO
apaG,apaG
SMc02134,noHit
metZ,metZ
SMc02218,dcd
SMc02219,blr1132
SMc02220,noHit
SMc02221,noHit
SMc02222,noHit
SMc02223,bll1138
chaA,bll7121
SMc02225,noHit
SMc02226,noHit
fadB,fadB
fadA,blr1159
SMc02229,acd
SMc02230,noHit
SMc02231,noHit
SMc02232,bll1154
SMc02234,bll1153
SMc02235,bsr5907
SMc02236,blr1149
SMc02237,lhr
SMc02238,noHit
SMc02239,blr7595
SMc02240,noHit
SMc02241,blr1146
SMc02242,bll1143
SMc02243,noHit
dinF,dinF
pyrD,pyrD
SMc02246,blr1139
SMc02247,noHit
SMc02248,tcsR
SMc02249,bll1199
mscL,mscL
SMc02251,noHit
galE,noHit
pchB,noHit
qxtB,bll0282
qxtA,bll0283
hipO2,noHit
SMc02257,noHit
SMc02258,noHit
SMc02259,noHit
SMc02260,noHit
SMc02261,noHit
aspC,noHit
ilvB1,bll2965
SMc02264,noHit
secD2,secD
SMc02266,noHit
SMc02267,noHit
kpsF3,noHit
rkpJ,noHit
rkpI,noHit
rkpH,noHit
rkpG,noHit
wcbR,noHit
rkpU,noHit
pncA,pncA
pncB,pncB
SMc02277,noHit
SMc02278,noHit
SMc02279,noHit
SMc02280,bsl2212
SMc02281,noHit
SMc02282,noHit
SMc02283,copC
SMc02284,bll2208
cyaE1,noHit
SMc02326,noHit
rnhA2,noHit
SMc02328,noHit
SMc02286,noHit
SMc02287,noHit
TRm11b,noHit
TRm11a,noHit
hsdR,noHit
hsdS,noHit
hsdM,noHit
SMc02297,noHit
TRm1a,noHit
TRm1b,noHit
TRm30.4,bll1703
TRm30.3,noHit
TRm30.2,noHit
TRm30.1,noHit
SMc02303,noHit
SMc02304,blr4224
murA,murA
SMc02306,blr1255
hisD1,hisD
SMc02308,blr1257
SMc02309,blr1258
infA,infA
maf,maf
SMc02312,bsr1260
SMc04431,noHit
SMc04432,noHit
SMc02313,noHit
SMc02314,noHit
SMc02315,noHit
SMc02316,noHit
SMc02317,noHit
SMc02318,blr7561
SMc02319,noHit
SMc02320,bsl7915
rhaI,noHit
rhaD,noHit
rhaR,noHit
rhaS,noHit
rhaT,noHit
rhaP,noHit
rhaQ,noHit
rhaU,noHit
rhaK,noHit
icpA,noHit
SMc03005,noHit
cheY1,cheY
cheA,cheA
cheW1,noHit
cheR,cheR
cheB,cheB
cheY2,bll7479
cheD,noHit
SMc03013,noHit
fliF,fliF
visN,noHit
visR,noHit
SMc03017,noHit
flhB,flhB
fliG,noHit
fliN,noHit
fliM,noHit
motA,motA
SMc03023,blr6883
flgF,flgF
fliI,fliI
SMc03026,noHit
flgB,flgB
flgC,flgC
fliE,fliE
flgG,flgG
flgA,flgA
flgI,flgI
motE,noHit
flgH,flgH
fliL,fliL
fliP,fliP
flaA,noHit
flaB,noHit
flaD,noHit
flaC,fla
SMc03041,noHit
motB,noHit
motC,motC
fliK,noHit
SMc03045,bll6859
rem,blr6846
flgE,flgE
flgK,flgK
flgL,flgL
flaF,fliC
flbT,flbT
flgD,flgD
fliQ,fliQ
flhA,flhA
fliR,fliR
SMc03056,noHit
SMc03071,bll6849
SMc03072,noHit
SMc03057,noHit
SMc03058,exoM
folD2,folD
aglR,noHit
aglE,noHit
aglF,noHit
aglG,noHit
aglA,noHit
aglK,noHit
SMc03066,noHit
TRm22,noHit
edd,noHit
pgl,blr6761
zwf,zwf
ordL,noHit
SMc00762,noHit
SMc00763,noHit
SMc00764,noHit
mcpZ,noHit
SMc00766,noHit
SMc00767,noHit
aceA,noHit
SMc00769,noHit
potF,blr3806
potG,bll7105
potH,bll7104
potI,bll7103
SMc00838,noHit
acsA2,bll4282
fbpB,noHit
cbrA,blr7396
SMc00777,bll7395
SMc00778,noHit
SMc00779,noHit
SMc00780,noHit
mmsA,blr3954
SMc00782,noHit
SMc00783,noHit
fbpA,noHit
rirA,noHit
dppA1,noHit
dppB1,noHit
dppC1,bll2866
dppD1,noHit
dppF1,noHit
SMc00791,bll1127
SMc00792,noHit
SMc00793,bll1467
SMc00794,noHit
SMc00795,noHit
SMc00796,noHit
SMc00797,bll4301
SMc00798,noHit
SMc00799,noHit
SMc00800,noHit
SMc00801,noHit
SMc00802,bll4691
SMc00803,blr0848
SMc00804,blr6641
SMc00805,blr6642
SMc00806,noHit
SMc00807,noHit
chrA,blr5052
SMc00809,noHit
ppx,blr3969
ftsJ,ftsJ
SMc00812,noHit
SMc00813,bll3971
SMc00814,bll4367
SMc00815,guaB
SMc00816,blr3984
dlhH,bll6841
oxyR,bll0777
katA,noHit
SMc00820,noHit
SMc00821,noHit
SMc00822,noHit
SMc00823,noHit
SMc00824,noHit
gsh1,gshA
SMc00826,blr7523
pit2,noHit
SMc00828,noHit
SMc00829,noHit
SMc00830,bll6945
SMc00831,blr6553
glcD,glcD
glcE,glcE
glcF,glcF
SMc00925,bll2621
SMc00924,noHit
tag,tag
SMc00922,noHit
SMc00921,noHit
SMc00931,noHit
hisS,hisS
hisZ,hisZ
hisG,hisG
gst11,blr4031
SMc00915,noHit
SMc00914,blr2831
groEL1,noHit
groES1,groES
SMc00911,blr5051
SMc00910,blr7478
ribF,ribF
ileS,ileS
SMc00907,noHit
SMc00906,bll6511
tadA,blr7496
SMc00904,noHit
SMc00902,bll7494
SMc00930,noHit
SMc00900,noHit
SMc00899,noHit
kefB1,noHit
pmbA,bll7519
SMc00896,bll7518
SMc00895,bsl7517
kdtA,kdtA
SMc00893,noHit
lpxK,lpxK
TRm11b,noHit
TRm11a,noHit
SMc00933,bsr7510
mutL,mutL
SMc00888,noHit
SMc00887,blr6231
SMc00929,blr6829
SMc00886,noHit
SMc00885,noHit
ilvD1,noHit
SMc00883,blr3207
dgoA,dgoA
dgoK1,dgoK
fabG2,blr4846
SMc00879,noHit
SMc00878,noHit
SMc00877,noHit
SMc00876,mrp
corA2,noHit
kup1,blr3802
SMc00928,noHit
atpI,noHit
atpB,atpA
atpE,atpC
atpF2,atpB'
atpF,atpB
rnhB,rnhB
SMc00866,blr2519
SMc00865,bll2513
SMc00864,noHit
moaB,moeB
ispE,ipk
SMc00861,blr2525
ispB,ispB
SMc00859,bsr2531
SMc00858,blr2533
sohB,sohB
SMc00856,noHit
glyQ,glyQ
SMc00854,noHit
SMc00853,bll2494
SMc00852,noHit
glyS,glyS
SMc00850,noHit
SMc00849,noHit
purD,purD
SMc00992,noHit
SMc00991,noHit
fsr,fsr
SMc00994,blr4002
SMc00989,bll5876
ubiA,ubiA
SMc00987,blr7520
SMc00986,noHit
pdxR,bll2569
SMc00984,bll2570
SMc00983,noHit
SMc00982,noHit
SMc00981,noHit
SMc00980,noHit
SMc00979,noHit
SMc00978,blr3946
SMc00977,mmgC
SMc00976,bll7955
mcpU,noHit
SMc00974,bll2648
SMc00973,bll2649
dxs,dxs
SMc00971,bll0813
xseB,bsl2652
SMc00969,bll2653
SMc00968,noHit
SMc00967,noHit
SMc00966,noHit
SMc00965,noHit
bioB,blr4297
bioN,noHit
bioM,noHit
SMc00961,noHit
tldD,tldD
SMc00068,noHit
SMc00001,bll1083
pdxH,pdxH
SMc00002,noHit
SMc00003,noHit
fabI1,fabI
gpmB,gpmB
SMc00070,noHit
aroC,aroC
ribA,ribA
ialB,bll1169
ctaC,coxB
ctaD,coxA
ctaB,coxE
SMc00130,noHit
ctaG,coxG
ctaE,coxC
SMc00014,blr1176
surf1,noHit
ispH,blr1314
thrB,thrB
rnhA1,blr1316
SMc00072,bll1317
SMc00073,noHit
SMc00019,blr1492
SMc00074,bll1502
rimJ,rimJ
SMc00451,mpp
thrC1,thrC
SMc00020,blr1184
SMc00078,noHit
SMc00079,noHit
SMc00080,blr5345
ccrM,gst
SMc00081,noHit
mutY,mutY
SMc00022,bll2498
SMc00023,bll2497
smc,smc
ppdK,ppdK
SMc00083,noHit
SMc00084,noHit
SMc00026,noHit
SMc00087,blr2617
SMc00027,noHit
SMc00028,noHit
SMc00088,noHit
SMc00029,noHit
SMc00089,noHit
cysN,noHit
cysD,noHit
cysH,cysH
SMc00030,noHit
SMc00031,noHit
betA,noHit
betB,noHit
betC,noHit
betI,noHit
SMc00032,blr2987
SMc00033,noHit
SMc00034,qor
SMc00096,noHit
SMc00035,noHit
gst1,gst
lsrA,blr7904
gst2,noHit
SMc00038,bll6545
SMc00039,noHit
SMc00098,blr0736
SMc00040,bll0735
phnA,noHit
SMc00100,blr3062
SMc00041,bll3061
dkgB,bll5249
tam,tam
dhe,dhlB
SMc00104,noHit
SMc00105,noHit
ilvE2,ilvE
SMc00106,bll1110
sodB,sodF
SMc00107,noHit
SMc00044,noHit
cycF,noHit
cycG,bll5908
SMc00108,noHit
SMc00109,noHit
bla,bla
gcd,noHit
SMc00453,bll4142
SMc00112,noHit
SMc00454,noHit
ptrB,ptrB
SMc00115,bll7273
SMc00048,blr5858
SMc00049,noHit
SMc00455,bll7252
SMc00116,noHit
msrB1,blr7044
phaA2,noHit
phaB2,noHit
phaC2,noHit
phaD2,noHit
phaE2,blr7315
phaF2,noHit
phaG2,noHit
mucR,blr3068
SMc00118,bll3069
SMc00456,bll3070
SMc00059,noHit
SMc00060,noHit
SMc00061,blr3074
SMc00120,noHit
SMc00062,blr3561
SMc00063,noHit
SMc00128,noHit
SMc00457,bll3101
pbp,bll3102
SMc00064,blr3103
SMc00123,noHit
SMc00065,noHit
feuP,blr3121
feuQ,blr3122
lipA,noHit
cycH,cycH
cycJ,cycJ
cycK,cycK
cycL,cycL
degP1,dop
ragA,blr3131
SMc02367,blr3132
glnE,glnE
SMc02369,noHit
pepN,noHit
SMc02371,noHit
SMc02372,noHit
SMc02373,noHit
SMc02374,noHit
SMc02375,bll2523
SMc02376,blr3152
etf,blr2524
SMc02378,noHit
SMc02379,noHit
SMc02380,blr5371
SMc02381,bll5370
SMc02382,noHit
SMc02383,noHit
SMc02384,noHit
SMc02385,noHit
amn,amn
SMc02387,noHit
SMc02388,noHit
SMc02389,noHit
gst7,bll5607
SMc02391,noHit
SMc02392,bsl5083
hisC4,noHit
SMc02394,noHit
SMc02461,noHit
SMc02396,noHit
SMc02397,bll0870
TRm11a,noHit
TRm11b,noHit
SMc02400,noHit
SMc02401,noHit
SMc02403,blr5073
dapA1,dapA
smpB,smpB
SMc02406,noHit
SMc02422,noHit
SMc02407,blr5067
rpoZ,rnpO
relA,bll5065
SMc02658,noHit
SMc02657,noHit
SMc02656,noHit
SMc02655,noHit
acpS,acpS
lepB,sipF
rnc,rnc
era,era
arsH,noHit
arsC,arsC
aqpS,noHit
arsR,bll3087
SMc02646,bll4185
cfa2,dnaC
SMc02644,bll7280
SMc02642,noHit
rkpK,ugdH
lpsL,lspL
SMc02639,blr7359
SMc02638,noHit
SMc02637,noHit
SMc02636,blr8186
recO,bll5058
SMc02634,noHit
SMc02633,noHit
SMc02632,noHit
SMc02631,noHit
SMc02603,blr2543
nadA,nadA
nadB,nadB
nadC,nadC
sodC,noHit
SMc02661,bll6293
SMc02571,noHit
SMc02660,noHit
SMc02565,bll2550
SMc02561,bll2551
SMc02559,bll2552
SMc02558,gcvT
SMc02557,noHit
SMc02556,bsl2560
SMc02555,bll2561
SMc02554,noHit
SMc02553,blr2564
SMc02552,noHit
cysS,cysS
SMc02550,bll3055
SMc02549,noHit
SMc02548,noHit
pip1,pip
leuA2,blr3792
SMc02545,noHit
SMc02544,bll3794
SMc02543,noHit
SMc00550,blr3795
psd,blr3796
pssA,pssA
SMc00553,bll4059
purF,purF
cvpA,cvpA
radA,radA
alr,alr
SMc00558,bll1135
SMc00559,noHit
SMc00560,noHit
dnaB,alr
SMc00562,bll0933
SMc00563,noHit
SMc00564,noHit
rplI,rplI
SMc00566,noHit
rpsR,rpsR
rpsF,rpsF
SMc00569,noHit
SMc00570,noHit
fabD,fabD
fabG,fabG
acpP,acpP
fabF,fabF
SMc00575,blr4086
SMc00576,blr4087
gmk,gmk
SMc00578,noHit
ksgA,ksgA
pdxA1,pdxA
SMc00581,noHit
SMc00582,bll4105
SMc00583,bll4106
SMc00584,bll4107
pepA,pepA
SMc00586,blr4109
gal,blr3205
SMc00589,blr5295
SMc00590,bll4118
SMc00591,noHit
SMc00592,noHit
SMc00593,noHit
ligE,ligE
ndk,ndk
SMc00596,noHit
SMc00597,noHit
SMc00598,noHit
moaE,moaE
moaD,moaD
pgsA,pgsA
uvrC,uvrC
SMc00603,noHit
ropB1,bll7469
SMc00605,blr7892
SMc00606,blr7466
SMc00607,noHit
SMc00608,blr7467
dmsA,bll6044
SMc00610,bll2567
SMc00611,noHit
SMc00612,noHit
acvB,noHit
purN,purN
purM,garS
perM,noHit
SMc00617,bll4123
ppk,ppk
ppx,bll4121
SMc00620,blr7070
cyaB,noHit
rnd,rnd
SMc01754,noHit
SMc01755,noHit
aspS,blr4143
SMc01757,bll6691
groEL4,noHit
SMc01759,bsl1405
SMc01760,noHit
parC,gyrA
SMc01762,noHit
SMc01763,noHit
ate,blr5039
SMc01765,blr5038
hemB,noHit
SMc01767,noHit
SMc01768,mucS
SMc01769,bll2784
glyA1,glyA
nrdR,bll5032
ribD,ribD
ribE,ribE
SMc01774,noHit
SMc01775,noHit
SMc01776,noHit
ribH1,ribH
nusB,nusB
SMc01779,blr1017
hppA,rrpP
SMc01781,blr5024
SMc01782,bll5023
SMc01783,bll5022
plsX,plsX
fabH,fabH
himA,ihfA
SMc01787,bll5018
SMc01788,noHit
SMc01789,noHit
SMc01902,noHit
SMc01790,noHit
SMc01791,blr4975
SMc01792,blr4974
SMc01793,blr4973
SMc01794,noHit
SMc01795,bll4972
SMc01796,noHit
SMc01797,noHit
SMc01798,blr0749
SMc01799,bsr4969
SMc01800,cox15
argC,noHit
speB,noHit
rpsI,rpsI
rplM,rplM
SMc01805,bll4964
SMc01806,fadB
SMc01807,noHit
SMc01808,blr4966
SMc01809,cysD
SMc01810,noHit
TRm20N,noHit
TRm20C,noHit
SMc01812,bll6537
SMc01813,noHit
SMc04448,noHit
clpP1,clpP
clpX,clpX
lon,lon
hupB,noHit
SMc01907,noHit
SMc01908,noHit
SMc01909,noHit
SMc01910,noHit
SMc01911,bll4598
nuoA1,nuoA
nuoB1,nuoB
nuoC1,nuoC
nuoD1,nouD
SMc01916,noHit
nuoE1,bll4914
nuoF1,nuoF
SMc01919,noHit
nuoG1,nuoG
nuoH,nuoH
nuoI,nuoI
nuoJ,nuoJ
nuoK1,bll4907
nuoL,nuoL
nuoM,nuoM
nuoN,nuoN
birA,birA
SMc01929,bll4902
SMc01930,bll4901
SMc01931,noHit
SMc01932,noHit
SMc01933,noHit
proS,proS
SMc01935,bll4876
SMc01376,bll4875
dnaE1,dnaE
SMc01374,noHit
dinB1,blr5126
SMc01372,blr5125
divK,bll5124
pleD,bll5123
rpmG,rpmG
SMc01368,noHit
SMc01367,blr5114
SMc01366,blr5113
rnr,rnr
topA,topA
smf,smf
SMc01362,blr5101
SMc01361,blr5100
pyrB,pyrB
aidB,aidB
SMc01358,blr5095
SMc01357,noHit
SMc01356,noHit
SMc01355,blr5094
SMc01354,noHit
gatC,gatC
gatA,noHit
SMc01351,noHit
gatB,gatB
SMc01349,noHit
SMc01348,blr4279
SMc01347,noHit
aat,aat
accC,accC
accB,accB
aroQ,aroQ
SMc01342,bll4294
SMc01341,noHit
SMc01340,aspB
TRm11a,noHit
TRm11b,noHit
SMc01337,noHit
rne,noHit
amiC,blr4306
mrcA1,mrcA
prfB,prfB
SMc01332,noHit
ppnK,noHit
SMc04435,noHit
SMc01330,noHit
azoR,acpD
SMc01328,noHit
SMc01327,blr5499
tufB,tuf
SMc01325,noHit
SMc01324,noHit
secE,secE
nusG,nusG
rplK,rplK
rplA,rplA
rplJ,rplJ
rplL,rplL
rpoB,rpoB
rpoC,rpoC
SMc01315,noHit
rpsL,rpsL
rpsG,rpsG
fusA1,fusA
tufA,noHit
rpsJ,rpsJ
rplC,rplC
rplD,rplD
rplW,rplW
rplB,rplB
rpsS,rpsS
rplV,rplV
rpsC,rpsC
rplP,rplP
rpmC,rpmC
rpsQ,rpsQ
rplN,rplN
rplX,rplX
rplE,rplE
rpsN,rpsN
rpsH,rpsH
rplF,rplF
rplR,rplR
rpsE,rpsE
rpmD,rpmD
rplO,rplO
secY,prlA
adk,bll5379
rpsM,rpsM
rpsK,rpsK
rpoA,rpoA
rplQ,rplQ
SMc01282,noHit
SMc01281,noHit
degP3,bll5368
SMc01279,bll5367
sugE,bll4044
SMc01277,bll5364
gph2,noHit
rluC,bll5366
crcB,bll2639
SMc01273,blr6186
SMc01272,bll0945
SMc01271,bll3966
adhC1,noHit
SMc01269,noHit
lipB,lipB
SMc01267,bll6756
SMc01266,bll6755
SMc01265,bll6754
SMc01264,noHit
SMc01263,noHit
def2,def
SMc01261,bll5251
SMc01260,noHit
SMc01259,noHit
SMc01258,noHit
SMc01257,blr5168
sda,noHit
SMc00995,bll5163
SMc01068,noHit
SMc00996,noHit
SMc00997,noHit
SMc00998,blr5569
SMc00999,blr5568
SMc01000,blr5553
SMc01001,noHit
SMc01002,bll5551
SMc01003,blr5550
hisI,hisI
folE,folE
SMc01006,blr5523
SMc01007,blr5525
SMc01008,noHit
SMc01009,noHit
thrS,thrS
SMc01011,bll5549
SMc01012,blr5540
SMc01013,blr2425
SMc01014,noHit
SMc01015,bll5519
SMc01016,noHit
SMc01017,noHit
parE,gyrB
SMc01019,noHit
SMc01020,noHit
SMc01021,noHit
SMc01022,bll5701
tpiA,tpiA
SMc01024,secG
pyrG,pyrG
SMc01026,noHit
kdsA,kdsA
eno,eno
SMc01029,bll4786
pdhAa,pdhA
pdhAb,pdhB
pdhC,bll4779
SMc01033,noHit
SMc01034,noHit
lpdA1,bll4778
SMc01036,noHit
lipA,lipA
SMc04865,noHit
SMc01038,blr4478
SMc01039,bll4484
ispDF,bll4485
dusB,nifR
ntrB,ntrB
ntrC,ntrC
