SMc02793,RHE_CH00001
pgi,pgi
fadD,fadD
SMc02161,RHE_CH01313
SMc02160,RHE_CH02189
SMc02159,pgsAb
SMc02158,RHE_PB00100
cdsA2,cdsAb
SMc02156,noHit
int,noHit
SMc02202,noHit
SMc02201,noHit
SMc02189,noHit
SMc02200,noHit
SMc02184,RHE_PA00165
SMc02199,noHit
SMc02203,noHit
SMc02155,noHit
SMc02154,noHit
SMc04429,noHit
SMc02153,noHit
SMc02152,noHit
SMc02151,noHit
SMc02150,RHE_CH00505
SMc02149,noHit
SMc02148,RHE_CH00507
phoR,phoR
pstS,pstS
SMc02145,noHit
SMc02144,pstC
pstA,pstA
pstB,pstB
phoU,phoU
phoB,phoB
SMc02139,RHE_CH00515
argD,argD1
argF1,argF
hslO,hsp33
apaG,apaG
SMc02134,noHit
metZ,metZ
SMc02218,dcd
SMc02219,RHE_CH00533
SMc02220,RHE_PF00492
SMc02221,RHE_CH00534
SMc02222,noHit
SMc02223,RHE_CH00536
chaA,chaA
SMc02225,RHE_CH02578
SMc02226,RHE_CH02426
fadB,fadB2
fadA,fadA
SMc02229,acd1
SMc02230,RHE_CH00555
SMc02231,noHit
SMc02232,RHE_CH00554
SMc02234,RHE_CH00553
SMc02235,RHE_CH04051
SMc02236,RHE_CH00550
SMc02237,lhr
SMc02238,RHE_CH00547
SMc02239,RHE_CH00546
SMc02240,RHE_CH00545
SMc02241,RHE_CH00544
SMc02242,RHE_CH00543
SMc02243,RHE_CH00542
dinF,dinF
pyrD,pyrD
SMc02246,RHE_CH00539
SMc02247,RHE_CH00538
SMc02248,RHE_CH00537
SMc02249,RHE_CH00566
mscL,mscL
SMc02251,aspB1
galE,galE2
pchB,noHit
qxtB,noHit
qxtA,noHit
hipO2,RHE_PC00005
SMc02257,RHE_PC00162
SMc02258,RHE_PC00161
SMc02259,RHE_PC00160
SMc02260,RHE_PC00159
SMc02261,noHit
aspC,noHit
ilvB1,ilvB
SMc02264,noHit
secD2,secD1
SMc02266,RHE_CH00223
SMc02267,RHE_CH03364
kpsF3,noHit
rkpJ,noHit
rkpI,noHit
rkpH,noHit
rkpG,noHit
wcbR,noHit
rkpU,pssN
pncA,pncA
pncB,pncB
SMc02277,noHit
SMc02278,noHit
SMc02279,RHE_CH02516
SMc02280,noHit
SMc02281,noHit
SMc02282,noHit
SMc02283,noHit
SMc02284,noHit
cyaE1,noHit
SMc02326,noHit
rnhA2,noHit
SMc02328,noHit
SMc02286,noHit
SMc02287,RHE_CH00235
TRm11b,RHE_CH00520
TRm11a,RHE_PD00094
hsdR,noHit
hsdS,noHit
hsdM,noHit
SMc02297,noHit
TRm1a,noHit
TRm1b,noHit
TRm30.4,RHE_PA00038
TRm30.3,noHit
TRm30.2,noHit
TRm30.1,noHit
SMc02303,noHit
SMc02304,RHE_CH00578
murA,murA
SMc02306,RHE_CH00580
hisD1,hisD
SMc02308,RHE_CH00582
SMc02309,RHE_CH00583
infA,infA
maf,maf
SMc02312,RHE_CH00586
SMc04431,noHit
SMc04432,noHit
SMc02313,noHit
SMc02314,noHit
SMc02315,noHit
SMc02316,noHit
SMc02317,RHE_CH01227
SMc02318,RHE_PB00140
SMc02319,noHit
SMc02320,RHE_CH01939
rhaI,RHE_PE00292
rhaD,RHE_PE00291
rhaR,RHE_PE00290
rhaS,RHE_PE00289
rhaT,RHE_PE00288
rhaP,RHE_PE00287
rhaQ,RHE_PE00286
rhaU,RHE_PE00285
rhaK,RHE_PE00284
icpA,mcpE
SMc03005,RHE_CH00637
cheY1,cheY1
cheA,cheA
cheW1,cheRch1
cheR,cheRch1
cheB,cheY2
cheY2,cheD
cheD,cheD
SMc03013,RHE_CH00645
fliF,fliF
visN,RHE_CH00647
visR,RHE_CH00648
SMc03017,RHE_CH00649
flhB,flhB
fliG,fliG
fliN,fliN
fliM,fliM
motA,motA
SMc03023,noHit
flgF,flgF
fliI,fliI
SMc03026,RHE_CH00657
flgB,flgB
flgC,flgC
fliE,fliE
flgG,flgG
flgA,flgA
flgI,flgI
motE,RHE_CH00664
flgH,flgH
fliL,fliL
fliP,fliP
flaA,noHit
flaB,noHit
flaD,noHit
flaC,flaCch4
SMc03041,RHE_CH00673
motB,motB
motC,motC
fliK,noHit
SMc03045,RHE_CH00677
rem,RHE_CH00678
flgE,flgEch
flgK,flgKch
flgL,flgLch
flaF,flaF
flbT,flbT
flgD,flgD
fliQ,fliQ
flhA,flhA
fliR,fliR
SMc03056,RHE_CH00688
SMc03071,RHE_CH00689
SMc03072,RHE_CH00690
SMc03057,RHE_CH00691
SMc03058,noHit
folD2,folDch
aglR,aglR
aglE,aglE
aglF,aglF
aglG,aglG
aglA,aglA
aglK,aglK
SMc03066,RHE_CH00701
TRm22,RHE_PA00071
edd,edd
pgl,pgl
zwf,zwf1
ordL,ordL
SMc00762,glnA1
SMc00763,RHE_CH00707
SMc00764,noHit
mcpZ,mcpZch1
SMc00766,RHE_CH00710
SMc00767,RHE_CH00711
aceA,aceA
SMc00769,RHE_CH00713
potF,potF
potG,potG
potH,potH
potI,potI
SMc00838,RHE_CH00718
acsA2,acsA1
fbpB,noHit
cbrA,RHE_CH00720
SMc00777,RHE_CH00721
SMc00778,noHit
SMc00779,noHit
SMc00780,RHE_CH00729
mmsA,iolA
SMc00782,noHit
SMc00783,noHit
fbpA,noHit
rirA,rirA
dppA1,dppAch1
dppB1,dppBch1
dppC1,dppCch1
dppD1,dppDch1
dppF1,dppFch1
SMc00791,RHE_CH02879
SMc00792,noHit
SMc00793,RHE_CH01230
SMc00794,noHit
SMc00795,noHit
SMc00796,noHit
SMc00797,RHE_CH00742
SMc00798,noHit
SMc00799,noHit
SMc00800,noHit
SMc00801,noHit
SMc00802,noHit
SMc00803,RHE_CH02672
SMc00804,RHE_CH02671
SMc00805,RHE_CH02670
SMc00806,noHit
SMc00807,RHE_PE00231
chrA,chrA
SMc00809,noHit
ppx,ppx1
ftsJ,ftsJ
SMc00812,RHE_CH00791
SMc00813,RHE_CH00792
SMc00814,RHE_CH00793
SMc00815,guaB
SMc00816,RHE_CH00798
dlhH,RHE_PE00366
oxyR,oxyR
katA,noHit
SMc00820,RHE_CH00800
SMc00821,RHE_CH00801
SMc00822,noHit
SMc00823,noHit
SMc00824,RHE_CH00802
gsh1,gsh
SMc00826,RHE_CH00804
pit2,RHE_CH00805
SMc00828,RHE_CH00806
SMc00829,noHit
SMc00830,RHE_PF00298
SMc00831,RHE_CH00807
glcD,glcD
glcE,glcE
glcF,glcF
SMc00925,RHE_CH00813
SMc00924,RHE_CH00814
tag,tag
SMc00922,RHE_PF00282
SMc00921,noHit
SMc00931,RHE_CH00826
hisS,hisS
hisZ,hisZ
hisG,hisG
gst11,gstch3
SMc00915,noHit
SMc00914,RHE_CH01347
groEL1,groELch1
groES1,groESch1
SMc00911,RHE_CH02717
SMc00910,RHE_CH00830
ribF,ribF
ileS,ileS
SMc00907,RHE_CH00833
SMc00906,noHit
tadA,codAch1
SMc00904,rluB
SMc00902,RHE_CH00836
SMc00930,RHE_CH00837
SMc00900,noHit
SMc00899,noHit
kefB1,kefB
pmbA,pmbA
SMc00896,RHE_CH00842
SMc00895,RHE_CH00843
kdtA,kdtA
SMc00893,RHE_CH00845
lpxK,lpxK
TRm11b,RHE_CH00520
TRm11a,RHE_PD00094
SMc00933,RHE_CH00847
mutL,mutL
SMc00888,RHE_CH00849
SMc00887,RHE_CH00850
SMc00929,noHit
SMc00886,noHit
SMc00885,RHE_CH00851
ilvD1,noHit
SMc00883,RHE_CH00852
dgoA,kdgA
dgoK1,dgoK
fabG2,fabG1
SMc00879,RHE_CH00856
SMc00878,RHE_CH00857
SMc00877,noHit
SMc00876,RHE_CH00859
corA2,corAch
kup1,kupch1
SMc00928,RHE_CH00862
atpI,atpI
atpB,atpB
atpE,atpE
atpF2,atpF1
atpF,atpF2
rnhB,rnhB
SMc00866,RHE_CH00869
SMc00865,RHE_CH00870
SMc00864,noHit
moaB,moaB
ispE,ispE
SMc00861,RHE_CH00874
ispB,ispB
SMc00859,RHE_CH00876
SMc00858,RHE_CH00877
sohB,sohB
SMc00856,RHE_CH00880
glyQ,glyQ
SMc00854,noHit
SMc00853,RHE_CH00883
SMc00852,RHE_CH00885
glyS,glyS
SMc00850,RHE_CH00889
SMc00849,RHE_CH00887
purD,purD
SMc00992,noHit
SMc00991,noHit
fsr,RHE_PB00161
SMc00994,noHit
SMc00989,RHE_CH00894
ubiA,ubiA
SMc00987,RHE_CH00896
SMc00986,RHE_PF00168
pdxR,RHE_CH00898
SMc00984,RHE_CH00899
SMc00983,RHE_CH00900
SMc00982,RHE_CH00901
SMc00981,RHE_PF00389
SMc00980,noHit
SMc00979,noHit
SMc00978,RHE_CH00904
SMc00977,RHE_CH00905
SMc00976,RHE_CH00906
mcpU,noHit
SMc00974,RHE_CH00910
SMc00973,tlyA
dxs,dxs
SMc00971,RHE_CH00914
xseB,RHE_CH00916
SMc00969,RHE_CH00917
SMc00968,RHE_PF00011
SMc00967,RHE_CH00918
SMc00966,phbAf
SMc00965,RHE_PF00013
bioB,bioY
bioN,bioN
bioM,bioM
SMc00961,RHE_CH00931
tldD,tldD
SMc00068,dacF1
SMc00001,RHE_CH00942
pdxH,pdxH
SMc00002,RHE_CH00940
SMc00003,dnaJ2
fabI1,fabI2
gpmB,gpmB
SMc00070,RHE_CH00936
aroC,aroC
ribA,RHE_PD00121
ialB,noHit
ctaC,ctaC
ctaD,ctaD
ctaB,ctaB
SMc00130,noHit
ctaG,ctaG
ctaE,ctaE
SMc00014,RHE_CH00959
surf1,RHE_CH00960
ispH,lytB
thrB,thrB
rnhA1,rnhA
SMc00072,RHE_CH00968
SMc00073,RHE_CH00967
SMc00019,RHE_CH00966
SMc00074,RHE_CH00976
rimJ,rimJ
SMc00451,RHE_CH00978
thrC1,thrC
SMc00020,RHE_CH00980
SMc00078,braC1
SMc00079,RHE_CH00986
SMc00080,RHE_CH00992
ccrM,ccrM
SMc00081,RHE_CH00996
mutY,mutY
SMc00022,RHE_CH00998
SMc00023,RHE_CH00999
smc,smc
ppdK,ppdK
SMc00083,noHit
SMc00084,RHE_CH01006
SMc00026,RHE_CH01007
SMc00087,RHE_CH01013
SMc00027,noHit
SMc00028,noHit
SMc00088,RHE_CH01025
SMc00029,noHit
SMc00089,noHit
cysN,cysN
cysD,cysD
cysH,cysH
SMc00030,RHE_CH01134
SMc00031,RHE_CH01135
betA,betA
betB,betB
betC,betC
betI,betI
SMc00032,RHE_CH01139
SMc00033,noHit
SMc00034,RHE_CH01141
SMc00096,noHit
SMc00035,RHE_CH01144
gst1,gstch6
lsrA,RHE_CH01154
gst2,noHit
SMc00038,RHE_CH01159
SMc00039,noHit
SMc00098,RHE_CH01173
SMc00040,RHE_CH01174
phnA,phnA
SMc00100,RHE_CH01181
SMc00041,RHE_CH01182
dkgB,RHE_CH03966
tam,tam
dhe,noHit
SMc00104,noHit
SMc00105,RHE_CH01189
ilvE2,ilvE1
SMc00106,noHit
sodB,sodB
SMc00107,RHE_CH01205
SMc00044,RHE_CH01206
cycF,cycF
cycG,cycG
SMc00108,RHE_CH01217
SMc00109,RHE_CH03720
bla,bla
gcd,gcd
SMc00453,RHE_CH01223
SMc00112,noHit
SMc00454,noHit
ptrB,ptrB
SMc00115,RHE_CH01232
SMc00048,RHE_CH01233
SMc00049,noHit
SMc00455,RHE_CH01234
SMc00116,noHit
msrB1,msrB
phaA2,noHit
phaB2,noHit
phaC2,noHit
phaD2,noHit
phaE2,noHit
phaF2,noHit
phaG2,noHit
mucR,rosR
SMc00118,RHE_CH01250
SMc00456,noHit
SMc00059,RHE_CH01252
SMc00060,RHE_CH01253
SMc00061,RHE_CH01255
SMc00120,RHE_CH01256
SMc00062,noHit
SMc00063,RHE_CH02172
SMc00128,RHE_CH01259
SMc00457,RHE_CH01260
pbp,pbp
SMc00064,RHE_CH01262
SMc00123,noHit
SMc00065,RHE_CH01285
feuP,feuP
feuQ,feuQ
lipA,lppA
cycH,cycH
cycJ,cycJ
cycK,cycK
cycL,cycL
degP1,degPch2
ragA,ragA
SMc02367,ragB
glnE,glnE
SMc02369,RHE_CH01297
pepN,pepN
SMc02371,RHE_CH01299
SMc02372,noHit
SMc02373,noHit
SMc02374,RHE_CH01301
SMc02375,RHE_CH01302
SMc02376,RHE_CH01303
etf,etf
SMc02378,noHit
SMc02379,RHE_PF00411
SMc02380,RHE_PF00156
SMc02381,RHE_PF00155
SMc02382,RHE_CH01314
SMc02383,RHE_CH01320
SMc02384,RHE_CH01319
SMc02385,RHE_CH01321
amn,amn
SMc02387,RHE_CH01408
SMc02388,noHit
SMc02389,noHit
gst7,RHE_PB00095
SMc02391,noHit
SMc02392,RHE_CH01329
hisC4,hisCch1
SMc02394,RHE_PF00116
SMc02461,noHit
SMc02396,ropAch1
SMc02397,noHit
TRm11a,RHE_PD00094
TRm11b,RHE_CH00520
SMc02400,noHit
SMc02401,noHit
SMc02403,RHE_CH01380
dapA1,dapAch2
smpB,smpB
SMc02406,noHit
SMc02422,noHit
SMc02407,RHE_CH01383
rpoZ,rpoZ
relA,relA
SMc02658,RHE_PF00220
SMc02657,RHE_CH03480
SMc02656,RHE_CH01386
SMc02655,RHE_CH01387
acpS,acpS
lepB,lepB
rnc,rnc
era,era
arsH,arsH
arsC,arsC
aqpS,RHE_CH02533
arsR,noHit
SMc02646,noHit
cfa2,cfa
SMc02644,RHE_CH00891
SMc02642,RHE_CH00871
rkpK,rkpK
lpsL,lpsL
SMc02639,RHE_CH03490
SMc02638,RHE_CH03489
SMc02637,noHit
SMc02636,noHit
recO,recO
SMc02634,noHit
SMc02633,noHit
SMc02632,RHE_CH01397
SMc02631,RHE_CH01396
SMc02603,noHit
nadA,nadA
nadB,nadB
nadC,nadC
sodC,sodC
SMc02661,RHE_CH01377
SMc02571,noHit
SMc02660,noHit
SMc02565,RHE_PE00442
SMc02561,RHE_CH01402
SMc02559,RHE_CH01403
SMc02558,RHE_CH01404
SMc02557,RHE_CH01405
SMc02556,noHit
SMc02555,RHE_CH01406
SMc02554,RHE_CH01407
SMc02553,RHE_CH01409
SMc02552,noHit
cysS,cysS
SMc02550,RHE_CH01423
SMc02549,RHE_CH01421
SMc02548,RHE_CH01422
pip1,pipch1
leuA2,leuA1
SMc02545,RHE_CH01418
SMc02544,RHE_CH01417
SMc02543,noHit
SMc00550,RHE_CH01415
psd,psd
pssA,pssA1
SMc00553,RHE_CH01427
purF,purF
cvpA,cvpA
radA,radA
alr,alr
SMc00558,RHE_CH01433
SMc00559,azlC
SMc00560,RHE_CH01435
dnaB,dnaB
SMc00562,noHit
SMc00563,noHit
SMc00564,noHit
rplI,rplI
SMc00566,RHE_CH01438
rpsR,rpsR
rpsF,rpsF
SMc00569,RHE_CH02512
SMc00570,RHE_CH01441
fabD,fabD
fabG,fabG2
acpP,acpP
fabF,fabF1
SMc00575,RHE_CH01446
SMc00576,RHE_CH01447
gmk,gmk2
SMc00578,noHit
ksgA,ksgA
pdxA1,pdxAch
SMc00581,RHE_CH01451
SMc00582,RHE_CH01452
SMc00583,RHE_CH01453
SMc00584,RHE_CH01454
pepA,pepA
SMc00586,RHE_CH01457
gal,gal
SMc00589,RHE_CH03346
SMc00590,RHE_CH01468
SMc00591,noHit
SMc00592,RHE_PE00160
SMc00593,RHE_CH01470
ligE,ligE
ndk,ndk
SMc00596,RHE_CH01473
SMc00597,RHE_CH01474
SMc00598,RHE_CH01475
moaE,moaE
moaD,moaD
pgsA,pgsAch
uvrC,uvrC
SMc00603,RHE_CH01480
ropB1,ropB1
SMc00605,gstch7
SMc00606,noHit
SMc00607,noHit
SMc00608,RHE_CH01483
dmsA,RHE_CH01484
SMc00610,RHE_CH01485
SMc00611,RHE_CH03486
SMc00612,noHit
acvB,noHit
purN,purN
purM,purM
perM,RHE_CH01489
SMc00617,RHE_CH01490
ppk,ppk
ppx,ppx2
SMc00620,RHE_CH01493
cyaB,cyaB
rnd,rnd2
SMc01754,RHE_CH01496
SMc01755,noHit
aspS,aspS
SMc01757,noHit
groEL4,noHit
SMc01759,RHE_CH01243
SMc01760,RHE_PF00432
parC,parC
SMc01762,noHit
SMc01763,RHE_CH01501
ate,ate
SMc01765,RHE_CH01503
hemB,hemB
SMc01767,RHE_CH01505
SMc01768,RHE_CH01506
SMc01769,RHE_CH01507
glyA1,glyA
nrdR,RHE_CH01509
ribD,ribD
ribE,ribE
SMc01774,RHE_CH01524
SMc01775,RHE_CH01522
SMc01776,RHE_CH01523
ribH1,ribH1
nusB,nusB
SMc01779,noHit
hppA,rrpP
SMc01781,RHE_CH01528
SMc01782,RHE_CH01529
SMc01783,RHE_CH01530
plsX,plsX
fabH,fabH
himA,himA
