Locus,Rhizobium_etli_CFN_42,Brucella_abortus_C68,Ensifer_adhaerens_OV14,Bradyrhizobium_diazoefficiens_USDA_110,Sinorhizobium_fredii_NGR234,Sinorhizobium_meliloti_Rm1021,Liberibacter_crescens_BT-0,Sinorhizobium_medicae_WSM419,Rhizobium_leguminosarum_bv_viciae_3841,Agrobacterium_fabrum_C58,Mesorhizobium_loti_MAFF303099,Locus,,,,,SMc02793,SMc02793
SMc02776,RHE_CH00495,DK53_2422,OV14_0894,blr2974,NGR_c33660,SMc02776,noHit,Smed_3225,RL0521,Atu3817,mlr3330,SMc02776,,,,,SMc02775,SMc02775
SMc02775,RHE_CH00494,noHit,OV14_0895,noHit,NGR_c33670,SMc02775,noHit,Smed_3226,RL0520,Atu3528,mlr3332,SMc02775,,,,,SMc02774,SMc02774
SMc02774,RHE_CH00492,noHit,OV14_0896,noHit,NGR_c33680,SMc02774,noHit,Smed_3227,RL0518,rbsB,mlr3334,SMc02774,,,,,SMc02773,SMc02773
SMc02773,RHE_CH00491,noHit,OV14_0897,noHit,NGR_c33690,SMc02773,noHit,Smed_3228,RL0517,noHit,mlr3336,SMc02773,,,,,SMc02772,SMc02772
SMc02772,RHE_CH00490,noHit,OV14_0898,noHit,NGR_c33700,SMc02772,noHit,Smed_3229,RL0516,noHit,mlr3338,SMc02772,,,,,SMc02771,SMc02771
SMc02771,RHE_CH00489,noHit,OV14_0900,noHit,NGR_c33710,SMc02771,noHit,Smed_3230,RL0515,Atu2814,mlr3340,SMc02771,,,,,SMc02770,SMc02770
SMc02770,RHE_CH00017,noHit,OV14_0902,blr0908,NGR_c33730,SMc02770,noHit,Smed_3233,RL0017,depA,mll4552,SMc02770,,,,,SMc02769,SMc02769
SMc02769,RHE_CH00018,DK53_2030,OV14_0903,bll7160,NGR_c33750,SMc02769,noHit,Smed_3234,RL0018,noHit,mlr5066,SMc02769,,,,,SMc02768,SMc02768
SMc02768,RHE_CH00019,DK53_2029,OV14_0904,blr0909,NGR_c33760,SMc02768,noHit,Smed_3235,RL0019,Atu0016,mlr5068,SMc02768,,,,,trpF,SMc02767
trpF,trpF,DK53_2027,trpF,trpF,trpF,trpF,noHit,Smed_3236,RL0020,trpF,mlr5070,SMc02767,,,,,trpB,SMc02766
trpB,trpB,trpB,trpB,trpB,trpB,trpB,noHit,Smed_3237,trpB,trpB,mlr5071,SMc02766,,,,,trpA,SMc02765
trpA,trpA,trpA,trpA,trpA,trpA,trpA,RL73_06610,Smed_3238,trpA,trpA,mlr5073,SMc02765,,,,,accD,SMc02764
accD,accD,accD,accD,accD,accD,accD,RL73_00125,Smed_3239,RL0023,accD,mlr5075,SMc02764,,,,,folC,SMc02763
folC,folC,folC,folC,folC,folC,folC,RL73_00120,Smed_3240,folC2,folC,mlr5076,SMc02763,,,,,TRm22,SMc02762
TRm22,RHE_PA00071,noHit,noHit,noHit,NGR_b14590,TRm22,noHit,noHit,noHit,noHit,noHit,SMc02762,,,,,trxA,SMc02761
trxA,trxA1,trxA,trxA,trxA,trxA,trxA,RL73_00115,Smed_3241,RL0025,trxA,mll5082,SMc02761,,,,,SMc02760,SMc02760
SMc02760,RHE_CH00026,addA,OV14_0913,bll0752,NGR_c33830,SMc02760,RL73_00110,Smed_3242,RL0026,uvrD,mll5083,SMc02760,,,,,SMc02759,SMc02759
SMc02759,RHE_CH00027,addB,OV14_0914,bll0753,NGR_c33840,SMc02759,RL73_00105,Smed_3243,RL0027,Atu0024,mll5084,SMc02759,,,,,SMc02758,SMc02758
SMc02758,RHE_CH00028,DK53_2018,OV14_0915,galF,NGR_c33850,SMc02758,noHit,Smed_3244,RL0028,Atu0025,mll5085,SMc02758,,,,,SMc02757,SMc02757
SMc02757,RHE_CH00029,DK53_2017,OV14_0916,bll0756,NGR_c33860,SMc02757,noHit,Smed_3245,RL0029,Atu0026,mll5086,SMc02757,,,,,SMc02756,SMc02756
SMc02756,RHE_CH00030,DK53_2016,OV14_0917,bdfA,NGR_c33870,SMc02756,RL73_00095,Smed_3246,RL0030,Atu0027,mll5087,SMc02756,,,,,ahcY,SMc02755
ahcY,ahcY,ahcY,noHit,ahcY,ahcY,ahcY,noHit,Smed_3247,RL0031,ahcY,mll5088,SMc02755,,,,,SMc02754,SMc02754
SMc02754,RHE_CH00032,DK53_2014,OV14_0919,ptsH,NGR_c33890,SMc02754,RL73_00090,Smed_3248,RL0032,ptsH,msl5090,SMc02754,,,,,SMc02753,SMc02753
SMc02753,RHE_CH00033,DK53_2013,noHit,blr8147,NGR_c33900,SMc02753,RL73_00085,Smed_3249,RL0033,Atu0031,mll5091,SMc02753,,,,,SMc02752,SMc02752
SMc02752,RHE_CH00034,DK53_2012,OV14_0922,blr8146,NGR_c33910,SMc02752,RL73_00080,Smed_3250,RL0034,Atu0032,mll5093,SMc02752,,,,,chvG,SMc04446
chvG,chvG,DK53_2011,chvG,blr8145,NGR_c33920,chvG,RL73_00075,Smed_3251,RL0035,chvG,mll5094,SMc04446,,,,,chvI,SMc02560
chvI,chvI,DK53_2010,chvI,blr8144,NGR_c33930,chvI,RL73_00070,Smed_3252,RL0036,chvI,mll5095,SMc02560,,,,,pckA,SMc02562
pckA,pckA,pckA,pckA,pckA,pckA,pckA,RL73_00065,Smed_3253,pckA,pckA,mlr5096,SMc02562,,,,,SMc02563,SMc02563
SMc02563,RHE_CH00038,DK53_2007,OV14_0926,blr7486,NGR_c33950,SMc02563,noHit,Smed_3254,RL0038,Atu0036,mlr5097,SMc02563,,,,,SMc02564,SMc02564
SMc02564,noHit,noHit,OV14_0927,noHit,NGR_c33960,SMc02564,noHit,Smed_3255,noHit,noHit,noHit,SMc02564,,,,,alkB,SMc02566
alkB,alkB,alkB,OV14_0929,alkB,NGR_c33970,alkB,noHit,Smed_3256,RL0039,noHit,mlr5099,SMc02566,,,,,coaA,SMc02567
coaA,coaA,coaA,coaA,panK,coaA,coaA,RL73_00060,Smed_3257,coaA,panK,mlr5019,SMc02567,,,,,hisE,SMc02568
hisE,hisE,hisE,hisE,hisE,hisE,hisE,RL73_00055,Smed_3258,RL0041,hisE,mlr5018,SMc02568,,,,,hisF,SMc02569
hisF,hisF,hisF,hisF,hisF,hisF,hisF,RL73_00050,Smed_3259,hisF,hisF,mlr5016,SMc02569,,,,,hisA,SMc02570
hisA,hisA,hisA,hisA,hisA,hisA,hisA,RL73_00045,Smed_3260,hisA,hisA,mlr5014,SMc02570,,,,,hisH,SMc02572
hisH,hisH,hisH,hisH,hisH,hisH,hisH,RL73_00040,Smed_3261,hisH,hisH,mlr5011,SMc02572,,,,,SMc02573,SMc02573
SMc02573,RHE_CH00046,DK53_2001,OV14_0935,noHit,NGR_c34030,SMc02573,noHit,Smed_3262,RL0047,Atu8115,mlr5010,SMc02573,,,,,hisB,SMc02574
hisB,hisB,DK53_2000,hisB,hisB,hisB,hisB,RL73_00035,Smed_3263,hisB,hisB,mlr5008,SMc02574,,,,,hslV,SMc02575
hslV,hslV,hslV,hslV,hslV,hslV,hslV,RL73_00030,Smed_3264,hslV,hslV,mll5007,SMc02575,,,,,SMc02576,SMc02576
SMc02576,noHit,noHit,OV14_0938,bll0648,NGR_c34060,SMc02576,noHit,Smed_3265,RL0050,noHit,mll5006,SMc02576,,,,,hslU,SMc02577
hslU,hslU,hslU,hslU,hslU,hslU,hslU,RL73_00025,Smed_3266,hslU,hslU,mll5004,SMc02577,,,,,SMc02578,SMc02578
SMc02578,RHE_CH00051,DK53_1997,OV14_0941,noHit,NGR_c34080,SMc02578,noHit,Smed_3267,RL0052,Atu0046,mll5001,SMc02578,,,,,SMc02579,SMc02579
SMc02579,RHE_CH00051,noHit,OV14_0942,bll0557,NGR_c34090,SMc02579,noHit,Smed_3268,RL0053,cyc,mlr5192,SMc02579,,,,,SMc02580,SMc02580
SMc02580,noHit,noHit,OV14_0944,noHit,NGR_c34100,SMc02580,noHit,Smed_3269,noHit,noHit,mlr4662,SMc02580,,,,,glcB,SMc02581
glcB,glcB,glcB,glcB,glcB,glcB,glcB,noHit,Smed_3270,glcB,glcB,mlr4664,SMc02581,,,,,SMc02582,SMc02582
SMc02582,RHE_CH00053,DK53_151,OV14_0948,noHit,NGR_c34120,SMc02582,noHit,Smed_3271,RL0055,Atu0048,mlr5313,SMc02582,,,,,SMc02583,SMc02583
SMc02583,RHE_CH00054,DK53_150,OV14_0949,blr0903,NGR_c34130,SMc02583,noHit,Smed_3272,RL0056,Atu0049,mll5310,SMc02583,,,,,actR,SMc02584
actR,actR,regA,OV14_0950,regR,NGR_c34140,actR,noHit,Smed_3273,actR,actR,mlr5308,SMc02584,,,,,actS,SMc02585
actS,actS,regB,OV14_0951,regS,NGR_c34150,actS,noHit,Smed_3274,actS,actS,mlr5307,SMc02585,,,,,helO,SMc02586
helO,helO,hrpB,OV14_0952,bll8128,NGR_c34160,helO,noHit,Smed_3275,helO,hrpB,mlr5306,SMc02586,,,,,SMc02587,SMc02587
SMc02587,noHit,noHit,OV14_0953,noHit,NGR_c34170,SMc02587,noHit,Smed_3276,noHit,noHit,noHit,SMc02587,,,,,SMc02588,SMc02588
SMc02588,noHit,noHit,OV14_0954,noHit,NGR_c34180,SMc02588,noHit,Smed_3277,noHit,noHit,noHit,SMc02588,,,,,SMc02589,SMc02589
SMc02589,noHit,noHit,OV14_0955,noHit,NGR_c34190,SMc02589,noHit,Smed_3278,noHit,noHit,noHit,SMc02589,,,,,SMc02590,SMc02590
SMc02590,noHit,noHit,noHit,noHit,noHit,SMc02590,noHit,Smed_6302,noHit,noHit,mll2144,SMc02590,,,,,SMc02591,SMc02591
SMc02591,noHit,noHit,noHit,noHit,noHit,SMc02591,noHit,Smed_6303,noHit,noHit,noHit,SMc02591,,,,,SMc02592,SMc02592
SMc02592,noHit,noHit,noHit,noHit,noHit,SMc02592,noHit,Smed_6304,noHit,noHit,noHit,SMc02592,,,,,SMc02593,SMc02593
SMc02593,noHit,noHit,noHit,noHit,noHit,SMc02593,noHit,Smed_6305,noHit,noHit,noHit,SMc02593,,,,,SMc02594,SMc02594
SMc02594,noHit,noHit,noHit,noHit,noHit,SMc02594,noHit,Smed_5372,noHit,noHit,mll0364,SMc02594,,,,,metB,SMc02595
metB,noHit,noHit,metZ,noHit,noHit,metB,RL73_00495,Smed_4014,noHit,noHit,mll4503,SMc02595,,,,,SMc02596,SMc02596
SMc02596,noHit,noHit,noHit,noHit,noHit,SMc02596,noHit,Smed_5373,noHit,noHit,mlr7346,SMc02596,,,,,SMc04463,SMc04463
SMc04463,noHit,noHit,OV14_3282,blr5564,NGR_c04690,SMc04463,noHit,noHit,RL0593,noHit,mll4305,SMc04463,,,,,SMc02600,SMc02600
SMc02600,RHE_PF00331,noHit,OV14_a0525,noHit,NGR_b14070,SMc02600,noHit,Smed_5364,pRL120639,Atu1509,mll8143,SMc02600,,,,,SMc02602,SMc02602
SMc02602,noHit,noHit,noHit,noHit,noHit,SMc02602,noHit,Smed_5365,noHit,noHit,noHit,SMc02602,,,,,folD1,SMc02604
folD1,noHit,noHit,noHit,noHit,noHit,folD1,noHit,noHit,noHit,noHit,noHit,SMc02604,,,,,soxG,SMc02605
soxG,soxGe,noHit,soxG2,noHit,soxG2,soxG,noHit,Smed_3286,soxG2,Atu4221,mll6237,SMc02605,,,,,soxA1,SMc02606
soxA1,soxAe,noHit,soxA2,noHit,soxA2,soxA1,noHit,Smed_3287,soxA2,soxA,mll6238,SMc02606,,,,,soxD,SMc02607
soxD,soxDe,noHit,soxD2,noHit,soxD2,soxD,noHit,Smed_3288,soxD2,soxD,msl6239,SMc02607,,,,,soxB,SMc02608
soxB,soxBe,noHit,soxB2,noHit,soxB2,soxB,noHit,Smed_3289,soxB2,soxB,mll6240,SMc02608,,,,,glxA,SMc02609
glxA,glxA,noHit,noHit,noHit,NGR_c14370,glxA,noHit,Smed_3290,pRL110559,glxA,mlr6241,SMc02609,,,,,glxB,SMc02610
glxB,glxB,noHit,noHit,noHit,glxB,glxB,noHit,Smed_3291,glxB,purF,mll7311,SMc02610,,,,,glxC,SMc02611
glxC,glxC,noHit,noHit,noHit,glxC,glxC,noHit,Smed_3292,glxC,fwdC,mll7310,SMc02611,,,,,glxD,SMc02612
glxD,glxD,noHit,noHit,noHit,glxD,glxD,noHit,Smed_3293,glxD,gltB,mll7308,SMc02612,,,,,glnT,SMc02613
glnT,glnT,noHit,noHit,noHit,glnT,glnT,noHit,Smed_3294,glnT,glnA,mll7307,SMc02613,,,,,SMc02614,SMc02614
SMc02614,noHit,noHit,noHit,noHit,noHit,SMc02614,noHit,Smed_3295,noHit,noHit,mll7312,SMc02614,,,,,SMc02615,SMc02615
SMc02615,noHit,noHit,noHit,noHit,noHit,SMc02615,noHit,Smed_3296,noHit,noHit,noHit,SMc02615,,,,,SMc02616,SMc02616
SMc02616,noHit,noHit,noHit,noHit,noHit,SMc02616,noHit,Smed_3297,eutP,noHit,mll7315,SMc02616,,,,,SMc02617,SMc02617
SMc02617,noHit,noHit,noHit,noHit,noHit,SMc02617,noHit,Smed_3298,noHit,noHit,msl7316,SMc02617,,,,,SMc02618,SMc02618
SMc02618,noHit,noHit,noHit,noHit,noHit,SMc02618,noHit,Smed_3299,noHit,noHit,mll7317,SMc02618,,,,,SMc02619,SMc02619
SMc02619,noHit,noHit,noHit,noHit,noHit,SMc02619,noHit,Smed_3300,noHit,noHit,mll7319,SMc02619,,,,,SMc02620,SMc02620
SMc02620,RHE_PE00422,noHit,OV14_b0245,noHit,NGR_c14430,SMc02620,noHit,Smed_3301,pRL110558,Atu4226,mll7326,SMc02620,,,,,purU2,SMc04154
purU2,purUe,purU,noHit,purU,purU2,purU2,noHit,Smed_3310,purU,purU,noHit,SMc04154,,,,,SMc04153,SMc04153
SMc04153,RHE_PE00415,noHit,noHit,noHit,noHit,SMc04153,noHit,Smed_3311,pRL110552,noHit,mlr7320,SMc04153,,,,,SMc04152,SMc04152
SMc04152,RHE_PE00414,noHit,noHit,noHit,noHit,SMc04152,noHit,Smed_3312,pRL110551,noHit,mlr7321,SMc04152,,,,,SMc04151,SMc04151
SMc04151,RHE_PE00413,noHit,noHit,noHit,noHit,SMc04151,noHit,Smed_3313,pRL110550,noHit,mlr7322,SMc04151,,,,,SMc04150,SMc04150
SMc04150,RHE_PE00412,noHit,noHit,noHit,noHit,SMc04150,noHit,Smed_3314,pRL110549,noHit,mlr7324,SMc04150,,,,,SMc04149,SMc04149
SMc04149,RHE_PE00411,noHit,noHit,noHit,noHit,SMc04149,noHit,Smed_3315,pRL110548,noHit,mlr7328,SMc04149,,,,,SMc04148,SMc04148
SMc04148,RHE_PE00406,noHit,noHit,noHit,noHit,SMc04148,noHit,Smed_3316,pRL110541,noHit,noHit,SMc04148,,,,,SMc04147,SMc04147
SMc04147,RHE_PE00405,noHit,noHit,noHit,noHit,SMc04147,noHit,Smed_3317,pRL110540,noHit,mll7301,SMc04147,,,,,SMc04146,SMc04146
SMc04146,noHit,noHit,OV14_a0006,bll2518,NGR_c05700,SMc04146,noHit,Smed_2995,RL0066,noHit,mlr6575,SMc04146,,,,,SMc04145,SMc04145
SMc04145,RHE_PF00236,noHit,OV14_a1866,blr2818,NGR_b22180,SMc04145,noHit,Smed_3319,pRL120778,Atu3143,noHit,SMc04145,,,,,ilvD3,SMc04144
ilvD3,noHit,noHit,noHit,ilvD,noHit,ilvD3,noHit,Smed_3320,noHit,noHit,noHit,SMc04144,,,,,SMc04143,SMc04143
SMc04143,RHE_PF00235,noHit,noHit,noHit,NGR_b22170,SMc04143,noHit,Smed_3321,noHit,Atu4191,noHit,SMc04143,,,,,SMc04142,SMc04142
SMc04142,RHE_PF00237,noHit,noHit,noHit,NGR_b22160,SMc04142,noHit,Smed_3322,pRL120777,Atu4190,noHit,SMc04142,,,,,gst9,SMc04141
gst9,gstch5,noHit,noHit,noHit,noHit,gst9,noHit,Smed_3323,RL1212,noHit,mll1903,SMc04141,,,,,SMc04140,SMc04140
SMc04140,RHE_CH00086,noHit,OV14_b0199,blr1895,NGR_b18040,SMc04140,noHit,Smed_3324,RL0095,Atu3111,noHit,SMc04140,,,,,SMc04139,SMc04139
SMc04139,RHE_CH00085,noHit,noHit,noHit,NGR_b18030,SMc04139,noHit,Smed_3325,RL0094,Atu3966,noHit,SMc04139,,,,,SMc04138,SMc04138
SMc04138,RHE_PB00155,noHit,noHit,noHit,NGR_b18020,SMc04138,noHit,Smed_3326,pRL90297,Atu3965,noHit,SMc04138,,,,,SMc04137,SMc04137
SMc04137,RHE_CH00084,noHit,OV14_b0200,noHit,NGR_b18010,SMc04137,noHit,Smed_3327,RL0093,Atu3112,noHit,SMc04137,,,,,SMc04136,SMc04136
SMc04136,RHE_CH00083,noHit,OV14_b0201,noHit,NGR_b18000,SMc04136,noHit,Smed_3328,RL0092,Atu3113,noHit,SMc04136,,,,,SMc04135,SMc04135
SMc04135,RHE_CH00082,noHit,noHit,noHit,NGR_b17990,SMc04135,noHit,Smed_3329,RL0091,Atu3114,noHit,SMc04135,,,,,SMc04134,SMc04134
SMc04134,RHE_CH00081,noHit,noHit,blr2835,NGR_b17980,SMc04134,noHit,Smed_3330,RL0090,Atu3115,noHit,SMc04134,,,,,SMc04133,SMc04133
SMc04133,RHE_CH00080,noHit,noHit,blr2840,NGR_b17970,SMc04133,noHit,Smed_3331,RL0089,Atu3116,noHit,SMc04133,,,,,SMc04132,SMc04132
SMc04132,RHE_CH00079,noHit,noHit,blr2841,NGR_b17960,SMc04132,noHit,Smed_3332,RL0088,Atu3117,noHit,SMc04132,,,,,SMc04131,SMc04131
SMc04131,noHit,noHit,noHit,blr2839,NGR_b17950,SMc04131,noHit,Smed_3333,pRL100285,noHit,noHit,SMc04131,,,,,SMc04130,SMc04130
SMc04130,RHE_CH00078,noHit,noHit,blr2842,NGR_b17940,SMc04130,noHit,Smed_3334,RL0087,Atu3118,noHit,SMc04130,,,,,SMc04129,SMc04129
SMc04129,RHE_CH00077,noHit,noHit,noHit,NGR_b17930,SMc04129,noHit,Smed_3335,RL0086,Atu3119,noHit,SMc04129,,,,,SMc04128,SMc04128
SMc04128,RHE_CH03719,noHit,OV14_0962,noHit,NGR_c34490,SMc04128,noHit,Smed_3336,RL4262,noHit,mll2475,SMc04128,,,,,SMc04127,SMc04127
SMc04127,RHE_CH00188,DK53_3121,OV14_0963,blr6152,NGR_c34500,SMc04127,noHit,Smed_3337,RL0197,Atu0127,mlr3154,SMc04127,,,,,SMc04126,SMc04126
SMc04126,RHE_CH00189,noHit,OV14_0964,noHit,NGR_c34510,SMc04126,noHit,Smed_3338,RL0198,Atu0128,mlr3155,SMc04126,,,,,SMc04125,SMc04125
SMc04125,RHE_CH00190,noHit,OV14_0965,noHit,NGR_c34520,SMc04125,noHit,Smed_3339,RL0199,Atu0129,mlr3157,SMc04125,,,,,cdd,SMc04124
cdd,cdd,noHit,OV14_0966,noHit,NGR_c34530,cdd,noHit,Smed_3340,cdd,cdd,mlr3158,SMc04124,,,,,deoD,SMc04123
deoD,deoD,noHit,deoD,blr0960,deoD,deoD,noHit,Smed_3341,punA,deoD,mlr3159,SMc04123,,,,,deoA,SMc04122
deoA,deoA,noHit,deoA,noHit,deoA,deoA,noHit,Smed_3342,deoA,deoA,mlr3160,SMc04122,,,,,upp,SMc04121
upp,upp,upp,OV14_0970,upp,NGR_c34570,upp,noHit,Smed_3343,upp,upp,mll3162,SMc04121,,,,,add,SMc04120
add,add,noHit,OV14_0971,noHit,NGR_c34590,add,noHit,Smed_3344,RL0206,add,mll3163,SMc04120,,,,,deoB,SMc04119
deoB,deoB,noHit,deoB,noHit,deoB,deoB,noHit,Smed_3345,deoB,drm,mll5587,SMc04119,,,,,SMc04118,SMc04118
SMc04118,RHE_CH00199,noHit,tadE1,noHit,tadE1,SMc04118,noHit,Smed_3346,RL0208,Atu0147,noHit,SMc04118,,,,,SMc04117,SMc04117
SMc04117,RHE_CH00200,noHit,tadG1,noHit,tadG1,SMc04117,RL73_05470,Smed_3347,RL0209,Atu0148,noHit,SMc04117,,,,,TRm22,SMc04116
TRm22,RHE_PA00071,noHit,noHit,noHit,NGR_b14590,TRm22,noHit,noHit,noHit,noHit,noHit,SMc02762,,,,,SMc04115,SMc04115
SMc04115,RHE_CH00201,noHit,pilQ1,noHit,pilQ1,SMc04115,RL73_06540,Smed_3348,pilQ,Atu0226,mll5591,SMc04115,,,,,pilA1,SMc04114
pilA1,noHit,noHit,pilA1,noHit,pilA1,pilA1,RL73_06505,Smed_3349,pilA,ctpA,msr5593,SMc04114,,,,,cpaA1,SMc04113
cpaA1,cpaA,noHit,noHit,noHit,capA1,cpaA1,RL73_06495,Smed_3350,cpaA,ctpB,mlr5594,SMc04113,,,,,cpaB1,SMc04112
cpaB1,cpaB,noHit,cpaB1,ctpC,cpaB1,cpaB1,RL73_06490,Smed_3351,cpaB,ctpC,mlr5595,SMc04112,,,,,cpaC1,SMc04111
cpaC1,cpaC,noHit,cpaC1,ctpD,cpaC1,cpaC1,RL73_06485,Smed_3352,rcpA,ctpD,mlr5597,SMc04111,,,,,cpaD1,SMc04110
cpaD1,cpaD,noHit,cpaD,ctpE,cpaD,cpaD1,noHit,Smed_3353,cpaD,ctpE,mlr5598,SMc04110,,,,,cpaE1,SMc04109
cpaE1,cpaE,noHit,cpaE1,ctpF,cpaE1,cpaE1,RL73_06475,Smed_3354,cpaE,ctpF,mlr5600,SMc04109,,,,,cpaF1,SMc02820
cpaF1,cpaF,noHit,cpaF2,noHit,cpaF2,cpaF1,RL73_06470,Smed_3355,cpaF,ctpG,mlr5602,SMc02820,,,,,SMc02821,SMc02821
SMc02821,RHE_CH00209,noHit,OV14_0982,ctpH,NGR_c34710,SMc02821,RL73_06465,Smed_3356,RL0218,ctpH,mlr5603,SMc02821,,,,,SMc02822,SMc02822
SMc02822,RHE_CH00210,noHit,tadC1,ctpI,tadC1,SMc02822,RL73_06460,Smed_3357,tadC,ctpI,mlr5604,SMc02822,,,,,TRm22,SMc02823
TRm22,RHE_PA00071,noHit,noHit,noHit,NGR_b14590,TRm22,noHit,noHit,noHit,noHit,noHit,SMc02762,,,,,SMc02824,SMc02824
SMc02824,RHE_CH00212,noHit,OV14_0984,blr1433,NGR_c34740,SMc02824,RL73_05790,Smed_3358,RL0221,Atu0215,mll5605,SMc02824,,,,,pepA2,SMc02825
pepA2,RHE_CH00213,DK53_14,OV14_0985,bll1431,NGR_c34750,pepA2,noHit,Smed_3359,RL0222,Atu0214,mlr5606,SMc02825,,,,,SMc02826,SMc02826
SMc02826,RHE_CH00216,DK53_13,OV14_0987,noHit,NGR_c34760,SMc02826,noHit,Smed_3360,RL0223,Atu0210,mlr5607,SMc02826,,,,,SMc02827,SMc02827
SMc02827,RHE_CH00217,DK53_12,OV14_0988,bll1430,NGR_c34770,SMc02827,noHit,Smed_3361,RL0224,Atu0211,mlr5608,SMc02827,,,,,SMc02828,SMc02828
SMc02828,RHE_CH00179,DK53_23,OV14_0989,blr7172,NGR_c34780,SMc02828,noHit,Smed_3362,RL0189,noHit,mll5489,SMc02828,,,,,SMc02829,SMc02829
SMc02829,RHE_CH00178,nikE,OV14_0990,blr1428,NGR_c34790,SMc02829,noHit,Smed_3363,RL0188,Atu0190,mll5490,SMc02829,,,,,SMc02830,SMc02830
SMc02830,RHE_CH00177,DK53_25,OV14_0991,blr1427,NGR_c34800,SMc02830,noHit,Smed_3364,RL0187,Atu0189,mll5492,SMc02830,,,,,SMc02831,SMc02831
SMc02831,RHE_CH00176,DK53_26,OV14_0992,blr1426,NGR_c34810,SMc02831,noHit,Smed_3365,RL0186,Atu0188,mll5491,SMc02831,,,,,SMc02832,SMc02832
SMc02832,RHE_CH00175,DK53_28,OV14_0994,blr1424,NGR_a00920,SMc02832,noHit,Smed_3366,RL0185,Atu0187,mll5494,SMc02832,,,,,mepA,SMc02833
mepA,mepA,DK53_2195,OV14_0996,mepA,NGR_c34830,mepA,noHit,Smed_3367,RL0184,mepA,mlr4639,SMc02833,,,,,mgsA,SMc02834
mgsA,mgsA,mgsA,mgsA,noHit,mgsA,mgsA,noHit,Smed_3368,RL0183,mgsA,noHit,SMc02834,,,,,glk,SMc02835
glk,glk,glk,glk,blr4550,glk,glk,RL73_03575,Smed_3369,glk,glk,mlr4640,SMc02835,,,,,SMc02836,SMc02836
