Locus,Sinorhizobium_meliloti_Rm1021,pSymAB
SMc02600,SMc02600,noHit
SMc02602,SMc02602,noHit
SMc02604,SMc02604,noHit
SMc02605,SMc02605,noHit
SMc02606,SMc02606,noHit
SMc02607,SMc02607,noHit
SMc02608,SMc02608,noHit
SMc02609,SMc02609,noHit
SMc02610,SMc02610,noHit
SMc02611,SMc02611,noHit
SMc02612,SMc02612,noHit
SMc02613,SMc02613,noHit
SMc02614,SMc02614,noHit
SMc02615,SMc02615,noHit
SMc02616,SMc02616,noHit
SMc02617,SMc02617,noHit
SMc02618,SMc02618,noHit
SMc02619,SMc02619,noHit
SMc02620,SMc02620,noHit
SMc04154,SMc04154,SMa2141
SMc04153,SMc04153,noHit
SMc04152,SMc04152,noHit
SMc04151,SMc04151,noHit
SMc04150,SMc04150,noHit
SMc04149,SMc04149,noHit
SMc04148,SMc04148,noHit
SMc04147,SMc04147,noHit
SMc04146,SMc04146,SMa1084
SMc04145,SMc04145,SMa0715
SMc04144,SMc04144,SM_b20115
SMc04143,SMc04143,SM_b20106
SMc04142,SMc04142,noHit
SMc04141,SMc04141,noHit
SMc04140,SMc04140,SM_b21605
SMc04139,SMc04139,noHit
SMc04138,SMc04138,noHit
SMc04137,SMc04137,SM_b20969
SMc04136,SMc04136,SM_b20970
SMc04135,SMc04135,SM_b20538
SMc04134,SMc04134,SMa1428
SMc04133,SMc04133,noHit
SMc04132,SMc04132,SMa1397
SMc04131,SMc04131,noHit
SMc04130,SMc04130,SMa1394
SMc04129,SMc04129,noHit
SMc04128,SMc04128,SMa1087
SMc04127,SMc04127,SM_b20124
SMc04126,SMc04126,noHit
SMc04125,SMc04125,SM_b20125
SMc04124,SMc04124,noHit
SMc04123,SMc04123,noHit
SMc04122,SMc04122,noHit
SMc04121,SMc04121,noHit
SMc04120,SMc04120,noHit
SMc04119,SMc04119,noHit
SMc04118,SMc04118,noHit
SMc04117,SMc04117,noHit
SMc04116,noHit,noHit
SMc04115,SMc04115,noHit
SMc04114,SMc04114,SMa1570
SMc04113,SMc04113,SMa1578
SMc04112,SMc04112,SMa1576
SMc04111,SMc04111,SMa0163
SMc04110,SMc04110,noHit
SMc04109,SMc04109,SMa1573
SMc02820,SMc02820,SMa1568
SMc02821,SMc02821,SMa1564
SMc02822,SMc02822,SMa1562
SMc02823,noHit,noHit
SMc02824,SMc02824,noHit
SMc02825,SMc02825,noHit
SMc02826,SMc02826,noHit
SMc02827,SMc02827,noHit
SMc02828,SMc02828,SMa1838
SMc02829,SMc02829,SM_b21199
SMc02830,SMc02830,noHit
SMc02831,SMc02831,noHit
SMc02832,SMc02832,noHit
SMc02833,SMc02833,noHit
SMc02834,SMc02834,noHit
SMc02835,SMc02835,noHit
SMc02836,SMc02836,SM_b20813
SMc02837,SMc02837,noHit
SMc02838,SMc02838,noHit
SMc02937,SMc02937,noHit
SMc02839,SMc02839,SMa0384
SMc02840,SMc02840,noHit
SMc02841,SMc02841,noHit
SMc02842,SMc02842,noHit
SMc02843,SMc02843,noHit
SMc02844,SMc02844,noHit
SMc02845,SMc02845,noHit
SMc02846,SMc02846,noHit
SMc02847,SMc02847,noHit
SMc02848,SMc02848,noHit
SMc02849,SMc02849,noHit
SMc02850,SMc02850,noHit
SMc02851,SMc02851,noHit
SMc02852,SMc02852,noHit
SMc02853,SMc02853,noHit
SMc02854,SMc02854,noHit
SMc02855,SMc02855,SM_b20705
SMc02856,SMc02856,SMa1905
SMc02857,SMc02857,noHit
SMc02858,SMc02858,SMa0116
SMc02859,SMc02859,noHit
SMc02860,SMc02860,SMa0407
SMc02861,SMc02861,noHit
SMc02862,SMc02862,noHit
SMc02863,SMc02863,noHit
SMc02864,SMc02864,noHit
SMc02865,SMc02865,noHit
SMc02866,SMc02866,noHit
SMc02867,SMc02867,noHit
SMc02868,SMc02868,SM_b21497
SMc02869,SMc02869,SM_b20328
SMc02870,SMc02870,noHit
SMc02871,SMc02871,noHit
SMc02872,SMc02872,noHit
SMc02873,SMc02873,noHit
SMc02874,SMc02874,noHit
SMc02875,SMc02875,noHit
SMc02876,SMc02876,noHit
SMc02877,SMc02877,noHit
SMc02878,SMc02878,noHit
SMc02879,SMc02879,noHit
SMc02880,SMc02880,noHit
SMc02881,SMc02881,noHit
SMc02882,SMc02882,noHit
SMc02883,SMc02883,noHit
SMc02884,SMc02884,noHit
SMc02885,SMc02885,SMa1896
SMc02886,SMc02886,noHit
SMc02887,SMc02887,noHit
SMc02888,SMc02888,noHit
SMc02889,SMc02889,SMa2337
SMc02890,SMc02890,noHit
SMc02891,SMc02891,noHit
SMc02892,SMc02892,noHit
SMc02893,SMc02893,SMa0849
SMc02894,SMc02894,noHit
SMc02895,SMc02895,noHit
SMc02896,SMc02896,noHit
SMc02897,SMc02897,noHit
SMc02898,SMc02898,noHit
SMc02899,SMc02899,noHit
SMc02900,SMc02900,noHit
SMc02901,SMc02901,noHit
SMc02902,SMc02902,noHit
SMc02903,SMc02903,noHit
SMc02904,SMc02904,noHit
SMc02905,SMc02905,noHit
SMc02906,SMc02906,noHit
SMc02907,SMc02907,noHit
SMc02908,SMc02908,noHit
SMc02909,SMc02909,noHit
SMc02910,SMc02910,SMa1814
SMc02911,SMc02911,noHit
SMc02912,SMc02912,noHit
SMc02913,SMc02913,noHit
SMc02914,SMc02914,noHit
SMc00320,SMc00320,noHit
SMc00321,SMc00321,noHit
SMc00322,SMc00322,noHit
SMc00323,SMc00323,noHit
SMc00324,SMc00324,noHit
SMc00325,SMc00325,noHit
SMc00326,SMc00326,noHit
SMc00327,SMc00327,noHit
SMc00328,SMc00328,noHit
SMc00329,SMc00329,noHit
SMc00330,SMc00330,noHit
SMc00331,SMc00331,noHit
SMc00332,SMc00332,noHit
SMc00333,SMc00333,noHit
SMc00334,SMc00334,noHit
SMc00335,SMc00335,noHit
SMc00336,SMc00336,noHit
SMc00337,SMc00337,noHit
SMc00338,SMc00338,noHit
SMc00339,SMc00339,noHit
SMc00340,SMc00340,noHit
SMc00341,SMc00341,noHit
SMc00342,SMc00342,noHit
SMc00343,SMc00343,SM_b20905
SMc00344,SMc00344,noHit
SMc00345,SMc00345,noHit
SMc00346,SMc00346,noHit
SMc00347,SMc00347,SMa0229
SMc00348,SMc00348,noHit
SMc00349,SMc00349,noHit
SMc00350,SMc00350,noHit
SMc00351,SMc00351,noHit
SMc00352,SMc00352,noHit
SMc00353,SMc00353,noHit
SMc00354,SMc00354,noHit
SMc00355,SMc00355,noHit
SMc00356,SMc00356,noHit
SMc00357,SMc00357,noHit
SMc00358,SMc00358,noHit
SMc00359,SMc00359,noHit
SMc00360,SMc00360,noHit
SMc00361,SMc00361,noHit
SMc00362,SMc00362,noHit
SMc00363,SMc00363,noHit
SMc00364,SMc00364,noHit
SMc00365,SMc00365,noHit
SMc00366,SMc00366,noHit
SMc00367,SMc00367,noHit
SMc00368,SMc00368,SMa0563
SMc00369,SMc00369,noHit
SMc00370,SMc00370,SMa1493
SMc00371,SMc00371,noHit
SMc00372,SMc00372,noHit
SMc00373,SMc00373,noHit
SMc00374,SMc00374,noHit
SMc00375,SMc00375,noHit
SMc00376,SMc00376,noHit
SMc00377,SMc00377,noHit
SMc00378,SMc00378,noHit
SMc00379,SMc00379,noHit
SMc00380,SMc00380,noHit
SMc00381,SMc00381,noHit
SMc00382,SMc00382,noHit
SMc00383,SMc00383,noHit
SMc00384,SMc00384,noHit
SMc00385,SMc00385,noHit
SMc00386,SMc00386,noHit
SMc00387,SMc00387,noHit
SMc00388,SMc00388,noHit
SMc00389,SMc00389,noHit
SMc00390,SMc00390,noHit
SMc00391,SMc00391,noHit
SMc00392,SMc00392,noHit
SMc00393,SMc00393,noHit
SMc00394,SMc00394,noHit
SMc00395,SMc00395,noHit
SMc00396,SMc00396,noHit
SMc00397,SMc00397,noHit
SMc00460,SMc00460,noHit
SMc00399,SMc00399,noHit
SMc00400,SMc00400,noHit
SMc00401,SMc00401,noHit
SMc00402,SMc00402,noHit
SMc00403,SMc00403,noHit
SMc00404,SMc00404,noHit
SMc00405,SMc00405,noHit
SMc00406,SMc00406,noHit
SMc00407,SMc00407,noHit
SMc00408,SMc00408,noHit
SMc00409,SMc00409,noHit
SMc00410,SMc00410,noHit
SMc00411,SMc00411,SMa0323
SMc00412,SMc00412,noHit
SMc00413,SMc00413,noHit
SMc00414,SMc00414,noHit
SMc00415,SMc00415,noHit
SMc00416,SMc00416,noHit
SMc00418,SMc00418,noHit
SMc00419,SMc00419,SM_b21586
SMc00420,SMc00420,noHit
SMc00421,SMc00421,noHit
SMc00422,SMc00422,noHit
SMc00423,SMc00423,noHit
SMc00424,SMc00424,noHit
SMc00425,SMc00425,noHit
SMc00461,SMc00461,noHit
SMc00427,SMc00427,noHit
SMc00428,SMc00428,noHit
SMc00429,SMc00429,noHit
SMc00430,SMc00430,noHit
SMc00431,SMc00431,noHit
SMc00432,SMc00432,noHit
SMc00433,SMc00433,noHit
SMc01166,SMc01166,noHit
SMc01165,SMc01165,noHit
SMc01164,SMc01164,noHit
SMc01163,SMc01163,noHit
SMc01162,SMc01162,noHit
SMc01161,SMc01161,noHit
SMc01160,SMc01160,noHit
SMc01159,SMc01159,noHit
SMc01158,SMc01158,noHit
SMc01157,SMc01157,noHit
SMc01156,SMc01156,noHit
SMc01155,SMc01155,noHit
SMc01154,SMc01154,noHit
SMc01153,SMc01153,noHit
SMc01152,SMc01152,noHit
SMc01167,SMc01167,noHit
SMc01151,SMc01151,noHit
SMc01150,SMc01150,noHit
SMc01149,SMc01149,SM_b20607
SMc01148,SMc01148,noHit
SMc01147,SMc01147,noHit
SMc01146,SMc01146,noHit
SMc01145,SMc01145,noHit
SMc01144,SMc01144,noHit
SMc01143,SMc01143,noHit
SMc01142,SMc01142,noHit
SMc01141,SMc01141,noHit
SMc01140,SMc01140,noHit
SMc01139,SMc01139,noHit
SMc01138,SMc01138,noHit
SMc01137,SMc01137,noHit
SMc01136,SMc01136,noHit
SMc01135,SMc01135,noHit
SMc01134,SMc01134,noHit
SMc01133,SMc01133,noHit
SMc01132,SMc01132,noHit
SMc01131,SMc01131,noHit
SMc01130,SMc01130,noHit
SMc01129,SMc01129,noHit
SMc01128,SMc01128,noHit
SMc01127,SMc01127,noHit
SMc01126,SMc01126,noHit
SMc01125,SMc01125,noHit
SMc01124,SMc01124,noHit
SMc01123,SMc01123,noHit
SMc01122,SMc01122,noHit
SMc01121,SMc01121,noHit
SMc01120,SMc01120,noHit
SMc01119,SMc01119,noHit
SMc01118,SMc01118,noHit
SMc01117,SMc01117,noHit
SMc01116,SMc01116,noHit
SMc01115,SMc01115,noHit
SMc01114,SMc01114,noHit
SMc01113,SMc01113,noHit
SMc01112,SMc01112,noHit
SMc01111,SMc01111,noHit
SMc01110,SMc01110,SM_b21117
SMc01109,SMc01109,noHit
SMc01108,SMc01108,noHit
SMc01107,SMc01107,noHit
SMc01106,SMc01106,noHit
SMc01105,SMc01105,SM_b21277
SMc01104,SMc01104,noHit
SMc01103,SMc01103,noHit
SMc01102,SMc01102,noHit
SMc01101,SMc01101,noHit
SMc01100,SMc01100,noHit
SMc01099,SMc01099,noHit
SMc01098,SMc01098,noHit
SMc01394,SMc01394,noHit
SMc01097,SMc01097,noHit
SMc01096,SMc01096,noHit
SMc01095,SMc01095,SM_b21498
SMc01094,SMc01094,noHit
SMc01093,SMc01093,noHit
SMc01092,SMc01092,SM_b20494
SMc01091,SMc01091,noHit
SMc01090,SMc01090,noHit
SMc01089,SMc01089,noHit
SMc01732,SMc01732,noHit
SMc01731,SMc01731,noHit
SMc01730,SMc01730,noHit
SMc01729,SMc01729,noHit
SMc01728,SMc01728,noHit
SMc01727,SMc01727,noHit
SMc01726,SMc01726,noHit
SMc01725,SMc01725,noHit
SMc01724,SMc01724,noHit
SMc01723,SMc01723,SMa1672
SMc01722,SMc01722,noHit
SMc01721,SMc01721,noHit
SMc01720,SMc01720,noHit
SMc04434,SMc04434,noHit
SMc01719,SMc01719,noHit
SMc01718,SMc01718,noHit
SMc01717,SMc01717,noHit
SMc01716,SMc01716,noHit
SMc01715,SMc01715,noHit
SMc01714,SMc01714,SMa0089
SMc01713,SMc01713,noHit
SMc01712,SMc01712,SMa0404
SMc01711,SMc01711,noHit
SMc01710,SMc01710,noHit
SMc01709,SMc01709,noHit
SMc01708,SMc01708,noHit
SMc01707,SMc01707,noHit
SMc01706,SMc01706,noHit
SMc01705,SMc01705,noHit
SMc01704,SMc01704,noHit
SMc01703,SMc01703,noHit
SMc01702,SMc01702,SM_b20648
SMc01701,SMc01701,noHit
SMc02181,SMc02181,noHit
SMc02180,SMc02180,noHit
SMc02179,SMc02179,noHit
SMc02178,SMc02178,noHit
SMc02177,SMc02177,noHit
SMc02176,SMc02176,noHit
SMc02175,SMc02175,noHit
SMc02174,SMc02174,SM_b20597
SMc02173,SMc02173,SM_b21302
SMc02172,SMc02172,SMa2004
SMc02171,SMc02171,noHit
SMc02170,SMc02170,noHit
SMc02169,SMc02169,SM_b20904
SMc02167,SMc02167,noHit
SMc02166,SMc02166,noHit
SMc02165,SMc02165,noHit
SMc02164,SMc02164,noHit
SMc02163,SMc02163,noHit
SMc02162,SMc02162,noHit
SMc02161,SMc02161,SM_b20071
SMc02160,SMc02160,SMa0447
SMc02159,SMc02159,noHit
SMc02158,SMc02158,noHit
SMc02157,SMc02157,noHit
SMc02156,SMc02156,noHit
SMc02187,SMc02187,noHit
SMc02202,SMc02202,noHit
SMc02201,SMc02201,noHit
SMc02189,SMc02189,noHit
SMc02200,SMc02200,noHit
SMc02184,SMc02184,noHit
SMc02199,SMc02199,noHit
SMc02203,SMc02203,noHit
SMc02155,SMc02155,noHit
SMc02154,SMc02154,noHit
SMc04429,SMc04429,noHit
SMc02153,SMc02153,noHit
SMc02152,SMc02152,noHit
SMc02151,SMc02151,noHit
SMc02150,SMc02150,noHit
SMc02149,SMc02149,noHit
SMc02148,SMc02148,SMa0172
SMc02147,SMc02147,noHit
SMc02146,SMc02146,noHit
SMc02145,SMc02145,noHit
SMc02144,SMc02144,noHit
SMc02143,SMc02143,noHit
SMc02142,SMc02142,noHit
SMc02141,SMc02141,noHit
SMc02140,SMc02140,SM_b21561
SMc02139,SMc02139,noHit
SMc02138,SMc02138,SM_b21186
SMc02137,SMc02137,SMa0695
SMc02136,SMc02136,noHit
SMc02135,SMc02135,noHit
SMc02134,SMc02134,noHit
SMc02217,SMc02217,noHit
SMc02218,SMc02218,noHit
SMc02219,SMc02219,noHit
SMc02220,SMc02220,noHit
SMc02221,SMc02221,noHit
SMc02222,SMc02222,noHit
SMc02223,SMc02223,noHit
SMc02224,SMc02224,noHit
SMc02225,SMc02225,SMa1960
SMc02226,SMc02226,noHit
SMc02227,SMc02227,noHit
SMc02228,SMc02228,noHit
SMc02229,SMc02229,noHit
SMc02230,SMc02230,noHit
SMc02231,SMc02231,noHit
SMc02232,SMc02232,noHit
SMc02234,SMc02234,noHit
SMc02235,SMc02235,noHit
SMc02236,SMc02236,noHit
SMc02237,SMc02237,noHit
SMc02238,SMc02238,noHit
SMc02239,SMc02239,SM_b20029
SMc02240,SMc02240,noHit
SMc02241,SMc02241,noHit
SMc02242,SMc02242,noHit
SMc02243,SMc02243,noHit
SMc02244,SMc02244,noHit
SMc02245,SMc02245,noHit
SMc02246,SMc02246,noHit
SMc02247,SMc02247,noHit
SMc02248,SMc02248,SM_b20162
SMc02249,SMc02249,noHit
SMc02250,SMc02250,noHit
SMc02251,SMc02251,noHit
SMc02252,SMc02252,SM_b20942
SMc02253,SMc02253,noHit
SMc02254,SMc02254,noHit
SMc02255,SMc02255,noHit
SMc02256,SMc02256,SM_b21279
SMc02257,SMc02257,noHit
SMc02258,SMc02258,noHit
SMc02259,SMc02259,noHit
SMc02260,SMc02260,noHit
SMc02261,SMc02261,noHit
SMc02262,SMc02262,noHit
SMc02263,SMc02263,noHit
SMc02264,SMc02264,noHit
SMc02265,SMc02265,noHit
SMc02266,SMc02266,noHit
SMc02267,SMc02267,SM_b20994
SMc02268,SMc02268,SM_b20830
SMc02269,SMc02269,noHit
SMc02270,SMc02270,noHit
SMc02271,SMc02271,noHit
SMc02272,SMc02272,noHit
SMc02273,SMc02273,noHit
SMc02274,SMc02274,noHit
SMc02275,SMc02275,noHit
SMc02276,SMc02276,noHit
SMc02277,SMc02277,noHit
SMc02278,SMc02278,noHit
SMc02279,SMc02279,SMa1033
SMc02280,SMc02280,SMa1036
SMc02281,SMc02281,SMa1037
SMc02282,SMc02282,SMa1038
SMc02283,SMc02283,SMa1041
SMc02284,SMc02284,SMa1043
SMc02285,SMc02285,SMa1046
SMc02326,SMc02326,noHit
SMc02327,SMc02327,noHit
SMc02328,SMc02328,noHit
SMc02286,SMc02286,noHit
SMc02287,SMc02287,noHit
SMc02289,noHit,noHit
SMc02291,noHit,noHit
SMc02292,SMc02292,noHit
SMc02295,SMc02295,noHit
SMc02296,SMc02296,noHit
SMc02297,SMc02297,noHit
SMc02298,SMc02298,SM_b20918
SMc02329,SMc02329,noHit
SMc02300,SMc02300,SMa0785
SMc02301,SMc02301,SMa0783
SMc02302,SMc02302,SMa0781
SMc04430,SMc04430,noHit
SMc02303,SMc02303,noHit
SMc02304,SMc02304,noHit
SMc02305,SMc02305,noHit
SMc02306,SMc02306,noHit
SMc02307,SMc02307,SMa0398
SMc02308,SMc02308,noHit
SMc02309,SMc02309,noHit
SMc02310,SMc02310,noHit
SMc02311,SMc02311,noHit
SMc02312,SMc02312,noHit
SMc04431,SMc04431,noHit
SMc04432,SMc04432,noHit
SMc02313,SMc02313,noHit
SMc02314,SMc02314,noHit
SMc02315,SMc02315,noHit
SMc02316,SMc02316,SM_b20910
SMc02317,SMc02317,noHit
SMc02318,SMc02318,noHit
SMc02319,SMc02319,noHit
SMc02320,SMc02320,SMa1766
SMc02321,SMc02321,noHit
SMc02322,SMc02322,noHit
SMc02323,SMc02323,noHit
SMc02324,SMc02324,SM_b21016
SMc02325,SMc02325,SM_b20713
SMc03000,SMc03000,noHit
SMc03001,SMc03001,noHit
SMc03002,SMc03002,SM_b21108
SMc03003,SMc03003,SM_b20489
SMc03004,SMc03004,noHit
SMc03005,SMc03005,noHit
SMc03006,SMc03006,noHit
SMc03007,SMc03007,noHit
SMc03008,SMc03008,noHit
SMc03009,SMc03009,noHit
SMc03010,SMc03010,SMa1561
SMc03011,SMc03011,noHit
SMc03012,SMc03012,noHit
SMc03013,SMc03013,noHit
SMc03014,SMc03014,noHit
SMc03015,SMc03015,noHit
SMc03016,SMc03016,noHit
SMc03017,SMc03017,noHit
SMc03018,SMc03018,noHit
SMc03019,SMc03019,noHit
SMc03020,SMc03020,noHit
SMc03021,SMc03021,noHit
SMc03022,SMc03022,noHit
SMc03023,SMc03023,noHit
SMc03024,SMc03024,noHit
SMc03025,SMc03025,noHit
SMc03026,SMc03026,noHit
SMc03027,SMc03027,noHit
SMc03028,SMc03028,noHit
SMc03029,SMc03029,noHit
SMc03030,SMc03030,noHit
SMc03031,SMc03031,noHit
SMc03032,SMc03032,noHit
SMc03033,SMc03033,noHit
SMc03034,SMc03034,noHit
SMc03035,SMc03035,noHit
SMc03036,SMc03036,noHit
SMc03037,SMc03037,noHit
SMc03038,SMc03038,noHit
SMc03039,SMc03039,noHit
SMc03040,SMc03040,noHit
SMc03041,SMc03041,noHit
SMc03042,SMc03042,noHit
SMc03043,SMc03043,noHit
SMc03044,SMc03044,noHit
SMc03045,SMc03045,noHit
SMc03046,SMc03046,noHit
SMc03047,SMc03047,noHit
SMc03048,SMc03048,noHit
SMc03049,SMc03049,noHit
SMc03050,SMc03050,noHit
SMc03051,SMc03051,noHit
SMc03052,SMc03052,noHit
SMc03053,SMc03053,noHit
SMc03054,SMc03054,noHit
SMc03055,SMc03055,noHit
SMc03056,SMc03056,noHit
SMc03071,SMc03071,noHit
SMc03072,SMc03072,noHit
SMc03057,SMc03057,noHit
SMc03058,SMc03058,noHit
SMc03059,SMc03059,noHit
SMc03060,SMc03060,SM_b20324
SMc03061,SMc03061,noHit
SMc03062,SMc03062,noHit
SMc03063,SMc03063,noHit
SMc03064,SMc03064,SM_b20099
SMc03065,SMc03065,noHit
SMc03066,SMc03066,noHit
SMc03067,noHit,noHit
SMc03068,SMc03068,noHit
SMc03069,SMc03069,noHit
SMc03070,SMc03070,noHit
SMc00761,SMc00761,noHit
SMc00762,SMc00762,noHit
SMc00763,SMc00763,noHit
SMc00764,SMc00764,noHit
SMc00765,SMc00765,noHit
SMc00766,SMc00766,SMa0985
SMc00767,SMc00767,noHit
SMc00768,SMc00768,noHit
SMc00769,SMc00769,SM_b20754
SMc00770,SMc00770,noHit
SMc00771,SMc00771,SM_b20281
SMc00772,SMc00772,SM_b20283
SMc00773,SMc00773,SMa0802
SMc00838,SMc00838,noHit
SMc00774,SMc00774,noHit
SMc00775,SMc00775,noHit
SMc00776,SMc00776,noHit
SMc00777,SMc00777,noHit
SMc00778,SMc00778,noHit
SMc00779,SMc00779,SM_b20097
SMc00780,SMc00780,SMa1987
SMc00781,SMc00781,noHit
SMc00782,SMc00782,noHit
SMc00783,SMc00783,noHit
SMc00784,SMc00784,noHit
SMc00785,SMc00785,noHit
SMc00786,SMc00786,SM_b20476
SMc00787,SMc00787,SM_b20477
SMc00788,SMc00788,SMa1374
SMc00789,SMc00789,noHit
SMc00790,SMc00790,noHit
SMc00791,SMc00791,noHit
SMc00792,SMc00792,noHit
SMc00793,SMc00793,noHit
SMc00794,SMc00794,noHit
SMc00795,SMc00795,noHit
SMc00796,SMc00796,noHit
SMc00797,SMc00797,noHit
SMc00798,SMc00798,noHit
SMc00799,SMc00799,noHit
SMc00800,SMc00800,noHit
SMc00801,SMc00801,noHit
SMc00802,SMc00802,noHit
SMc00803,SMc00803,noHit
SMc00804,SMc00804,noHit
SMc00805,SMc00805,noHit
SMc00806,SMc00806,noHit
SMc00807,SMc00807,noHit
SMc00808,SMc00808,noHit
SMc00809,SMc00809,noHit
SMc00810,SMc00810,noHit
SMc00811,SMc00811,noHit
SMc00812,SMc00812,SMa1358
SMc00813,SMc00813,noHit
SMc00814,SMc00814,SMa0308
SMc00815,SMc00815,noHit
SMc00816,SMc00816,noHit
SMc00817,SMc00817,noHit
SMc00818,SMc00818,noHit
SMc00819,SMc00819,SM_b20007
SMc00820,SMc00820,SMa1979
SMc00821,SMc00821,noHit
SMc00822,SMc00822,noHit
SMc00823,SMc00823,SMa5007
SMc00824,SMc00824,noHit
SMc00825,SMc00825,noHit
SMc00826,SMc00826,noHit
SMc00827,SMc00827,noHit
SMc00828,SMc00828,noHit
SMc00829,SMc00829,SM_b20375
SMc00830,SMc00830,noHit
SMc00831,SMc00831,SM_b21291
SMc00832,SMc00832,noHit
SMc00833,SMc00833,noHit
SMc00926,SMc00926,noHit
SMc00925,SMc00925,noHit
SMc00924,SMc00924,noHit
SMc00923,SMc00923,noHit
SMc00922,SMc00922,noHit
SMc00921,SMc00921,noHit
SMc00931,SMc00931,noHit
SMc00919,SMc00919,noHit
SMc00918,SMc00918,noHit
SMc00917,SMc00917,noHit
SMc00916,SMc00916,noHit
SMc00915,SMc00915,noHit
SMc00914,SMc00914,noHit
SMc00913,SMc00913,SMa0744
SMc00912,SMc00912,SMa0745
SMc00911,SMc00911,noHit
SMc00910,SMc00910,noHit
SMc00909,SMc00909,noHit
SMc00908,SMc00908,noHit
SMc00907,SMc00907,noHit
SMc00906,SMc00906,SM_b21092
SMc00905,SMc00905,noHit
SMc00904,SMc00904,noHit
SMc00902,SMc00902,noHit
SMc00930,SMc00930,noHit
SMc00900,SMc00900,noHit
SMc00899,SMc00899,noHit
SMc00898,SMc00898,SM_b21555
SMc00897,SMc00897,noHit
SMc00896,SMc00896,noHit
SMc00895,SMc00895,noHit
SMc00894,SMc00894,noHit
SMc00893,SMc00893,noHit
SMc00892,SMc00892,noHit
SMc00934,noHit,noHit
SMc00891,SMc00891,noHit
SMc00933,SMc00933,noHit
SMc00932,SMc00932,noHit
SMc00888,SMc00888,noHit
SMc00887,SMc00887,noHit
SMc00929,SMc00929,SMa0750
SMc00886,SMc00886,noHit
SMc00885,SMc00885,noHit
SMc00884,SMc00884,SM_b20890
SMc00883,SMc00883,noHit
SMc00882,SMc00882,noHit
SMc00881,SMc00881,SMa0705
SMc00880,SMc00880,noHit
SMc00879,SMc00879,noHit
SMc00878,SMc00878,noHit
SMc00877,SMc00877,noHit
SMc00876,SMc00876,noHit
SMc00874,SMc00874,noHit
SMc00873,SMc00873,SMa1798
SMc00928,SMc00928,noHit
SMc00872,SMc00872,noHit
SMc00871,SMc00871,noHit
SMc00870,SMc00870,noHit
SMc00869,SMc00869,noHit
SMc00868,SMc00868,noHit
SMc00867,SMc00867,noHit
SMc00866,SMc00866,noHit
SMc00865,SMc00865,noHit
SMc00864,SMc00864,noHit
SMc00863,SMc00863,noHit
SMc00862,SMc00862,noHit
SMc00861,SMc00861,noHit
SMc00860,SMc00860,noHit
SMc00859,SMc00859,noHit
SMc00858,SMc00858,noHit
SMc00857,SMc00857,noHit
SMc00856,SMc00856,noHit
SMc00855,SMc00855,noHit
SMc00854,SMc00854,noHit
SMc00853,SMc00853,noHit
